scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
fm200g_s5_dcqn,dcqcn,2,28,0b001b01-0b004001-10000-3,27,64,8388608,0.020000000,0.029467063,0.009467063,8388608,1,7088667731.481,0,0
fm200g_s5_dcqn,dcqcn,2,26,0b001901-0b004001-10000-3,25,64,8388608,0.020000000,0.029958823,0.009958823,8388608,1,6738634073.525,0,0
fm200g_s5_dcqn,dcqcn,2,18,0b001101-0b004001-10000-3,17,64,8388608,0.020000000,0.030002766,0.010002766,8388608,1,6709030682.113,0,0
fm200g_s5_dcqn,dcqcn,2,14,0b000d01-0b004001-10000-3,13,64,8388608,0.020000000,0.030102744,0.010102744,8388608,1,6642637287.454,0,0
fm200g_s5_dcqn,dcqcn,2,2,0b000101-0b004001-10000-3,1,64,8388608,0.020000000,0.030319787,0.010319787,8388608,1,6502931116.698,0,0
fm200g_s5_dcqn,dcqcn,2,3,0b000201-0b004001-10000-3,2,64,8388608,0.020000000,0.030463200,0.010463200,8388608,1,6413799220.124,0,0
fm200g_s5_dcqn,dcqcn,2,21,0b001401-0b004001-10000-3,20,64,8388608,0.020000000,0.030745126,0.010745126,8388608,1,6245516711.484,0,0
fm200g_s5_dcqn,dcqcn,2,8,0b000701-0b004001-10000-3,7,64,8388608,0.020000000,0.030885791,0.010885791,8388608,1,6164812828.025,0,0
fm200g_s5_dcqn,dcqcn,2,16,0b000f01-0b004001-10000-3,15,64,8388608,0.020000000,0.031838609,0.011838609,8388608,1,5668644348.335,0,0
fm200g_s5_dcqn,dcqcn,2,12,0b000b01-0b004001-10000-3,11,64,8388608,0.020000000,0.031899430,0.011899430,8388608,1,5639670471.611,0,0
fm200g_s5_dcqn,dcqcn,2,13,0b000c01-0b004001-10000-3,12,64,8388608,0.020000000,0.032094017,0.012094017,8388608,1,5548930847.377,0,0
fm200g_s5_dcqn,dcqcn,2,32,0b001f01-0b004001-10000-3,31,64,8388608,0.020000000,0.032181158,0.012181158,8388608,1,5509235164.670,0,0
fm200g_s5_dcqn,dcqcn,2,29,0b001c01-0b004001-10000-3,28,64,8388608,0.020000000,0.032278744,0.012278744,8388608,1,5465450212.172,0,0
fm200g_s5_dcqn,dcqcn,2,15,0b000e01-0b004001-10000-3,14,64,8388608,0.020000000,0.032312348,0.012312348,8388608,1,5450533399.478,0,0
fm200g_s5_dcqn,dcqcn,2,10,0b000901-0b004001-10000-3,9,64,8388608,0.020000000,0.032415192,0.012415192,8388608,1,5405382695.652,0,0
fm200g_s5_dcqn,dcqcn,2,20,0b001301-0b004001-10000-3,19,64,8388608,0.020000000,0.032785073,0.012785073,8388608,1,5249001237.615,0,0
fm200g_s5_dcqn,dcqcn,2,7,0b000601-0b004001-10000-3,6,64,8388608,0.020000000,0.032895230,0.012895230,8388608,1,5204161848.994,0,0
fm200g_s5_dcqn,dcqcn,2,17,0b001001-0b004001-10000-3,16,64,8388608,0.020000000,0.032943860,0.012943860,8388608,1,5184609845.904,0,0
fm200g_s5_dcqn,dcqcn,2,23,0b001601-0b004001-10000-3,22,64,8388608,0.020000000,0.032979518,0.012979518,8388608,1,5170366418.845,0,0
fm200g_s5_dcqn,dcqcn,2,4,0b000301-0b004001-10000-3,3,64,8388608,0.020000000,0.033272707,0.013272707,8388608,1,5056155010.429,0,0
fm200g_s5_dcqn,dcqcn,2,1,0b000001-0b004001-10000-3,0,64,8388608,0.020000000,0.033276966,0.013276966,8388608,1,5054533091.370,0,0
fm200g_s5_dcqn,dcqcn,2,30,0b001d01-0b004001-10000-3,29,64,8388608,0.020000000,0.033280109,0.013280109,8388608,1,5053336836.317,0,0
fm200g_s5_dcqn,dcqcn,2,27,0b001a01-0b004001-10000-3,26,64,8388608,0.020000000,0.033391040,0.013391040,8388608,1,5011475135.613,0,0
fm200g_s5_dcqn,dcqcn,2,19,0b001201-0b004001-10000-3,18,64,8388608,0.020000000,0.033546175,0.013546175,8388608,1,4954082167.106,0,0
fm200g_s5_dcqn,dcqcn,2,9,0b000801-0b004001-10000-3,8,64,8388608,0.020000000,0.033591387,0.013591387,8388608,1,4937602321.235,0,0
fm200g_s5_dcqn,dcqcn,2,11,0b000a01-0b004001-10000-3,10,64,8388608,0.020000000,0.033684057,0.013684057,8388608,1,4904164313.259,0,0
fm200g_s5_dcqn,dcqcn,2,6,0b000501-0b004001-10000-3,5,64,8388608,0.020000000,0.033898124,0.013898124,8388608,1,4828627518.361,0,0
fm200g_s5_dcqn,dcqcn,2,22,0b001501-0b004001-10000-3,21,64,8388608,0.020000000,0.033996924,0.013996924,8388608,1,4794543715.462,0,0
fm200g_s5_dcqn,dcqcn,2,5,0b000401-0b004001-10000-3,4,64,8388608,0.020000000,0.034020188,0.014020188,8388608,1,4786588025.781,0,0
fm200g_s5_dcqn,dcqcn,2,25,0b001801-0b004001-10000-3,24,64,8388608,0.020000000,0.034306217,0.014306217,8388608,1,4690888164.216,0,0
fm200g_s5_dcqn,dcqcn,2,24,0b001701-0b004001-10000-3,23,64,8388608,0.020000000,0.034335823,0.014335823,8388608,1,4681200653.775,0,0
fm200g_s5_dcqn,dcqcn,2,31,0b001e01-0b004001-10000-3,30,64,8388608,0.020000000,0.034463573,0.014463573,8388608,1,4639853789.931,0,0
fm200g_s5_dcqn,dcqcn,2,0,0b004101-0b004001-10000-3,65,64,1386879564,0.010000000,,,314192368,0,64449716512.821,0,0
