scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
fm400g_s2_cbap_b32,cbap_sba,2,21,20,64,4194304,14999999,20005434,23600958,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,18,17,64,4194304,14999999,20005369,23908626,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,17,16,64,4194304,14999999,20005347,24226582,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,19,18,64,4194304,14999999,20005391,24340018,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,27,26,64,4194304,14999999,20005565,24461474,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,32,31,64,4194304,14999999,20005673,24478070,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,6,5,64,4194304,14999999,20005108,24489006,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,34,33,64,4194304,14999999,20005717,24578402,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,24,23,64,4194304,14999999,20005499,24718698,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,61,60,64,4194304,14999999,20006304,24802694,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,26,25,64,4194304,14999999,20005543,24864590,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,15,14,64,4194304,14999999,20005304,24935566,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,12,11,64,4194304,14999999,20005239,25063062,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,35,34,64,4194304,14999999,20005738,25207078,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,58,57,64,4194304,14999999,20006238,25217554,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,30,29,64,4194304,14999999,20005630,25292450,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,52,51,64,4194304,14999999,20006108,25330386,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,37,36,64,4194304,14999999,20005782,25373382,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,13,12,64,4194304,14999999,20005260,25377158,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,59,58,64,4194304,14999999,20006260,25485594,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,51,50,64,4194304,14999999,20006086,25544350,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,3,2,64,4194304,14999999,20005043,25557426,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,11,10,64,4194304,14999999,20005217,25572802,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,40,39,64,4194304,14999999,20005847,25591518,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,5,4,64,4194304,14999999,20005086,25600834,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,63,62,64,4194304,14999999,20006347,25604370,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,49,48,64,4194304,14999999,20006043,25614246,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,43,42,64,4194304,14999999,20005912,25660222,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,16,15,64,4194304,14999999,20005326,25666058,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,54,53,64,4194304,14999999,20006151,25695214,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,62,61,64,4194304,14999999,20006325,25705210,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,56,55,64,4194304,14999999,20006195,25731912,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,64,63,64,4194304,14999999,20006369,25732809,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,4,3,64,4194304,14999999,20005065,25732905,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,39,38,64,4194304,14999999,20005825,25737464,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,41,40,64,4194304,14999999,20005869,25738561,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,47,46,64,4194304,14999999,20005999,25743596,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,45,44,64,4194304,14999999,20005956,25754584,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,31,30,64,4194304,14999999,20005652,25758500,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,38,37,64,4194304,14999999,20005804,25762567,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,22,21,64,4194304,14999999,20005456,25763170,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,10,9,64,4194304,14999999,20005195,25769716,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,33,32,64,4194304,14999999,20005695,25773796,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,57,56,64,4194304,14999999,20006217,25786967,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,9,8,64,4194304,14999999,20005173,25794895,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,29,28,64,4194304,14999999,20005608,25798800,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,23,22,64,4194304,14999999,20005478,25803303,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,20,19,64,4194304,14999999,20005412,25809074,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,42,41,64,4194304,14999999,20005891,25809318,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,53,52,64,4194304,14999999,20006130,25809428,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,46,45,64,4194304,14999999,20005978,25820623,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,48,47,64,4194304,14999999,20006021,25829213,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,8,7,64,4194304,14999999,20005152,25834907,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,44,43,64,4194304,14999999,20005934,25843987,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,36,35,64,4194304,14999999,20005760,25845199,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,55,54,64,4194304,14999999,20006173,25845736,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,50,49,64,4194304,14999999,20006064,25855455,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,1,0,64,4194304,14999999,20005000,25856394,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,2,1,64,4194304,14999999,20005021,25865021,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,7,6,64,4194304,14999999,20005130,25866775,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,14,13,64,4194304,14999999,20005282,25868307,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,25,24,64,4194304,14999999,20005521,25869224,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,60,59,64,4194304,14999999,20006282,25873617,20000000,20005000,4194304
fm400g_s2_cbap_b32,cbap_sba,2,28,27,64,4194304,14999999,20005586,25876464,20000000,20005000,4194304
