scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
fm400g_s2_cbap_b8,cbap_sba,2,21,0b001401-0b004001-10000-3,20,64,4194304,0.020000000,0.023600958,0.003600958,4194304,1,9318195880.096,0,0
fm400g_s2_cbap_b8,cbap_sba,2,18,0b001101-0b004001-10000-3,17,64,4194304,0.020000000,0.023908626,0.003908626,4194304,1,8584712888.877,0,0
fm400g_s2_cbap_b8,cbap_sba,2,17,0b001001-0b004001-10000-3,16,64,4194304,0.020000000,0.024226582,0.004226582,4194304,1,7938904769.859,0,0
fm400g_s2_cbap_b8,cbap_sba,2,19,0b001201-0b004001-10000-3,18,64,4194304,0.020000000,0.024340018,0.004340018,4194304,1,7731403878.970,0,0
fm400g_s2_cbap_b8,cbap_sba,2,27,0b001a01-0b004001-10000-3,26,64,4194304,0.020000000,0.024461474,0.004461474,4194304,1,7520929629.983,0,0
fm400g_s2_cbap_b8,cbap_sba,2,32,0b001f01-0b004001-10000-3,31,64,4194304,0.020000000,0.024478070,0.004478070,4194304,1,7493056606.976,0,0
fm400g_s2_cbap_b8,cbap_sba,2,6,0b000501-0b004001-10000-3,5,64,4194304,0.020000000,0.024489006,0.004489006,4194304,1,7474802216.794,0,0
fm400g_s2_cbap_b8,cbap_sba,2,34,0b002101-0b004001-10000-3,33,64,4194304,0.020000000,0.024578402,0.004578402,4194304,1,7328852293.879,0,0
fm400g_s2_cbap_b8,cbap_sba,2,24,0b001701-0b004001-10000-3,23,64,4194304,0.020000000,0.024718698,0.004718698,4194304,1,7110951368.365,0,0
fm400g_s2_cbap_b8,cbap_sba,2,61,0b003c01-0b004001-10000-3,60,64,4194304,0.020000000,0.024802694,0.004802694,4194304,1,6986585445.585,0,0
fm400g_s2_cbap_b8,cbap_sba,2,26,0b001901-0b004001-10000-3,25,64,4194304,0.020000000,0.024864590,0.004864590,4194304,1,6897689630.575,0,0
fm400g_s2_cbap_b8,cbap_sba,2,15,0b000e01-0b004001-10000-3,14,64,4194304,0.020000000,0.024935566,0.004935566,4194304,1,6798497274.679,0,0
fm400g_s2_cbap_b8,cbap_sba,2,12,0b000b01-0b004001-10000-3,11,64,4194304,0.020000000,0.025063062,0.005063062,4194304,1,6627300238.472,0,0
fm400g_s2_cbap_b8,cbap_sba,2,35,0b002201-0b004001-10000-3,34,64,4194304,0.020000000,0.025207078,0.005207078,4194304,1,6444004103.645,0,0
fm400g_s2_cbap_b8,cbap_sba,2,58,0b003901-0b004001-10000-3,57,64,4194304,0.020000000,0.025217554,0.005217554,4194304,1,6431065591.271,0,0
