scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
fm400g_s2_dcqn_b32,dcqcn,2,0,0b004101-0b004001-10000-3,0,0,1,0.010000000,0.000000000,0.000000000,0.000000000,2355879564,400000000000,4000000000,223500000000,0,0.000000000,0,11257000,0,2355879564,3230,1.000000000,1.000000000,0,0
fm400g_s2_dcqn_b32,dcqcn,2,1,0b000001-0b004001-10000-3,0,1,64,0.020000000,0.025268142,0.025419345,0.005419345,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,11257000,0,4194304,3665,1.000000000,0.947670612,0,0
fm400g_s2_dcqn_b32,dcqcn,2,2,0b000101-0b004001-10000-3,0,1,64,0.020000000,0.026351272,0.026363341,0.006363341,4194304,400000000000,4000000000,53500000000,0,0.000000000,0,11257000,0,4194304,3258,1.000000000,0.919590736,0,1
fm400g_s2_dcqn_b32,dcqcn,2,3,0b000201-0b004001-10000-3,0,1,64,0.020000000,0.026338392,0.026350475,0.006350475,4194304,400000000000,4000000000,53500000000,0,0.000000000,0,11257000,0,4194304,3356,1.000000000,0.919590736,0,1
fm400g_s2_dcqn_b32,dcqcn,2,4,0b000301-0b004001-10000-3,0,1,64,0.020000000,0.025735464,0.025747545,0.005747545,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,11257000,0,4194304,3712,1.000000000,0.947860732,0,0
fm400g_s2_dcqn_b32,dcqcn,2,5,0b000401-0b004001-10000-3,0,1,64,0.020000000,0.025604203,0.025621761,0.005621761,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,11257000,0,4194304,3784,1.000000000,0.952033461,0,0
fm400g_s2_dcqn_b32,dcqcn,2,6,0b000501-0b004001-10000-3,0,1,64,0.020000000,0.025888919,0.025912401,0.005912401,4194304,400000000000,4000000000,15622311506,0,0.000000000,0,11257000,0,4194304,3437,1.000000000,0.933492401,0,0
fm400g_s2_dcqn_b32,dcqcn,2,7,0b000601-0b004001-10000-3,0,1,64,0.020000000,0.025817146,0.025829214,0.005829214,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,11257000,0,4194304,3397,1.000000000,0.941105525,0,0
fm400g_s2_dcqn_b32,dcqcn,2,8,0b000701-0b004001-10000-3,0,1,64,0.020000000,0.026182845,0.026194922,0.006194922,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,11257000,0,4194304,3481,1.000000000,0.930740345,0,0
fm400g_s2_dcqn_b32,dcqcn,2,9,0b000801-0b004001-10000-3,0,1,64,0.020000000,0.025846379,0.025858462,0.005858462,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,11257000,0,4194304,3647,1.000000000,0.934036457,0,0
