time_ns,node_id,if_index,q_index,event_type
20008841,75,5,3,1
20008841,76,5,3,1
20008841,77,5,3,1
20008841,80,5,3,1
20008841,81,5,3,1
20008841,82,5,3,1
20008841,83,5,3,1
20008861,70,5,3,1
20008861,71,5,3,1
20008861,72,5,3,1
20008861,74,5,3,1
20009101,69,7,3,1
20009101,70,6,3,1
20009101,70,7,3,1
20009101,71,8,3,1
20009101,71,7,3,1
20009101,72,8,3,1
20009101,73,7,3,1
20009101,73,6,3,1
20009101,74,8,3,1
20009101,75,7,3,1
20009101,75,8,3,1
20009101,75,6,3,1
20009101,76,6,3,1
20009101,76,8,3,1
20009101,77,6,3,1
20009101,77,8,3,1
20009101,78,6,3,1
20009101,78,8,3,1
20009101,79,6,3,1
20009101,79,7,3,1
20009101,80,6,3,1
20009101,81,7,3,1
20009101,82,8,3,1
20009101,82,6,3,1
20009101,82,7,3,1
20009101,83,7,3,1
20009101,83,8,3,1
20009121,68,7,3,1
20009121,68,6,3,1
20009121,69,8,3,1
20020161,88,17,3,1
20020161,85,17,3,1
20020181,87,17,3,1
20020181,86,17,3,1
20039466,88,17,3,0
20039486,85,17,3,0
20039506,87,17,3,0
20039526,86,17,3,0
20044687,88,17,3,1
20044707,85,17,3,1
20044727,87,17,3,1
20044747,86,17,3,1
20063386,85,17,3,0
20063426,87,17,3,0
20063446,86,17,3,0
20063466,88,17,3,0
20068807,85,17,3,1
20068847,87,17,3,1
20068867,86,17,3,1
20068907,88,17,3,1
20086166,85,17,3,0
20086206,87,17,3,0
20086226,86,17,3,0
20086246,88,17,3,0
20091307,85,17,3,1
20091327,87,17,3,1
20091347,86,17,3,1
20091387,88,17,3,1
20107706,85,17,3,0
20107726,88,17,3,0
20107746,86,17,3,0
20107766,87,17,3,0
20113027,88,17,3,1
20113087,85,17,3,1
20113107,86,17,3,1
20113147,87,17,3,1
20129426,85,17,3,0
20129446,88,17,3,0
20129466,86,17,3,0
20129486,87,17,3,0
20134787,85,17,3,1
20134807,88,17,3,1
20134827,87,17,3,1
20134827,86,17,3,1
