scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
fm400g_s2_dcqs,dcqcn,2,0,0b004101-0b004001-10000-3,0,0,1,0.010000000,0.000000000,0.000000000,0.000000000,2355879564,400000000000,4000000000,20624999999,0,0.000000000,0,22455000,0,2355879564,3195,1.000000000,1.000000000,0,0
fm400g_s2_dcqs,dcqcn,2,1,0b000001-0b004001-10000-3,0,1,64,0.020000000,0.026218385,0.026246758,0.006246758,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,22455000,0,4194304,3099,1.000000000,0.920752388,0,0
fm400g_s2_dcqs,dcqcn,2,2,0b000101-0b004001-10000-3,0,1,64,0.020000000,0.026220844,0.026249294,0.006249294,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,22455000,0,4194304,3225,1.000000000,0.920752388,0,0
fm400g_s2_dcqs,dcqcn,2,3,0b000201-0b004001-10000-3,0,1,64,0.020000000,0.026182971,0.026195130,0.006195130,4194304,400000000000,4000000000,16375000000,0,0.000000000,0,22455000,0,4194304,3407,1.000000000,0.916758091,0,1
fm400g_s2_dcqs,dcqcn,2,4,0b000301-0b004001-10000-3,0,1,64,0.020000000,0.025722874,0.025830233,0.005830233,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,22455000,0,4194304,3627,1.000000000,0.938149331,0,0
fm400g_s2_dcqs,dcqcn,2,5,0b000401-0b004001-10000-3,0,1,64,0.020000000,0.026429139,0.026441207,0.006441207,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,22455000,0,4194304,3189,1.000000000,0.906378111,0,0
fm400g_s2_dcqs,dcqcn,2,6,0b000501-0b004001-10000-3,0,1,64,0.020000000,0.025346022,0.025358101,0.005358101,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,22455000,0,4194304,3446,1.000000000,0.948311073,0,0
fm400g_s2_dcqs,dcqcn,2,7,0b000601-0b004001-10000-3,0,1,64,0.020000000,0.026229813,0.026254478,0.006254478,4194304,400000000000,4000000000,8898363275,0,0.000000000,0,22455000,0,4194304,3275,1.000000000,0.913177005,0,0
fm400g_s2_dcqs,dcqcn,2,8,0b000701-0b004001-10000-3,0,1,64,0.020000000,0.025995053,0.026007133,0.006007133,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,22455000,0,4194304,3422,1.000000000,0.931223423,0,0
fm400g_s2_dcqs,dcqcn,2,9,0b000801-0b004001-10000-3,0,1,64,0.020000000,0.026054635,0.026066703,0.006066703,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,22455000,0,4194304,3505,1.000000000,0.927585831,0,0
fm400g_s2_dcqs,dcqcn,2,10,0b000901-0b004001-10000-3,0,1,64,0.020000000,0.025523173,0.025535241,0.005535241,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,22455000,0,4194304,3498,1.000000000,0.937735640,0,0
fm400g_s2_dcqs,dcqcn,2,11,0b000a01-0b004001-10000-3,0,1,64,0.020000000,0.026200383,0.026221530,0.006221530,4194304,400000000000,4000000000,4803659606,0,0.000000000,0,22455000,0,4194304,3336,1.000000000,0.916758091,0,0
fm400g_s2_dcqs,dcqcn,2,12,0b000b01-0b004001-10000-3,0,1,64,0.020000000,0.025875108,0.025899881,0.005899881,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,22455000,0,4194304,3602,1.000000000,0.935350234,0,0
fm400g_s2_dcqs,dcqcn,2,13,0b000c01-0b004001-10000-3,0,1,64,0.020000000,0.025951513,0.025963581,0.005963581,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,22455000,0,4194304,3555,1.000000000,0.934965066,0,0
