scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
fm400g_s2_dctcp,dctcp,2,4,3,64,4194304,14999999,20000000,24714545,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,10,9,64,4194304,14999999,20000000,24715001,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,23,22,64,4194304,14999999,20000000,24731857,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,34,33,64,4194304,14999999,20000000,24732833,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,32,31,64,4194304,14999999,20000000,24733509,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,37,36,64,4194304,14999999,20000000,24733785,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,59,58,64,4194304,14999999,20000000,24734901,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,52,51,64,4194304,14999999,20000000,24744117,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,45,44,64,4194304,14999999,20000000,24902233,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,48,47,64,4194304,14999999,20000000,24902689,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,41,40,64,4194304,14999999,20000000,25041745,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,42,41,64,4194304,14999999,20000000,25042161,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,44,43,64,4194304,14999999,20000000,25042577,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,63,62,64,4194304,14999999,20000000,25238753,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,43,42,64,4194304,14999999,20000000,25240169,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,57,56,64,4194304,14999999,20000000,25240185,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,13,12,64,4194304,14999999,20000000,25254501,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,31,30,64,4194304,14999999,20000000,25254717,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,6,5,64,4194304,14999999,20000000,25300373,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,19,18,64,4194304,14999999,20000000,25300389,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,26,25,64,4194304,14999999,20000000,25300405,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,35,34,64,4194304,14999999,20000000,25300421,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,38,37,64,4194304,14999999,20000000,25300437,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,7,6,64,4194304,14999999,20000000,25300453,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,20,19,64,4194304,14999999,20000000,25300469,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,28,27,64,4194304,14999999,20000000,25300485,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,36,35,64,4194304,14999999,20000000,25300501,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,40,39,64,4194304,14999999,20000000,25300517,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,9,8,64,4194304,14999999,20000000,25418453,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,29,28,64,4194304,14999999,20000000,25418509,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,58,57,64,4194304,14999999,20000000,25418685,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,15,14,64,4194304,14999999,20000000,25418821,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,33,32,64,4194304,14999999,20000000,25421397,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,64,63,64,4194304,14999999,20000000,25421493,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,39,38,64,4194304,14999999,20000000,25423569,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,17,16,64,4194304,14999999,20000000,25499165,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,25,24,64,4194304,14999999,20000000,25499221,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,53,52,64,4194304,14999999,20000000,25499317,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,18,17,64,4194304,14999999,20000000,25501113,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,27,26,64,4194304,14999999,20000000,25501169,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,56,55,64,4194304,14999999,20000000,25501265,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,49,48,64,4194304,14999999,20000000,25620721,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,50,49,64,4194304,14999999,20000000,25620917,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,51,50,64,4194304,14999999,20000000,25620933,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,16,15,64,4194304,14999999,20000000,25851549,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,62,61,64,4194304,14999999,20000000,25851765,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,61,60,64,4194304,14999999,20000000,25865441,0,20000000,4194304
fm400g_s2_dctcp,dctcp,2,8,7,64,4194304,14999999,20000000,25871277,0,20000000,4194304
