flow_id,round_id,total_feedback,int_hop_count,actionable_feedback,late_same_round_feedback,stale_older_round_feedback,feedback_during_off,live_rate_changes_during_off,first_feedback_time,last_feedback_time,mean_remaining_unsent_ratio,min_remaining_unsent_ratio,mean_remaining_unsent_bytes,min_remaining_unsent_bytes,max_normalized_load,mean_normalized_load,first_rate_before,last_rate_after,feedback_changed_live_rate,late_action_ratio,actionable_byte_ratio
0,0,958106,1,958106,0,0,0,0,0.010004046,0.040999994,0.806354239,0.612771176,1899673473.390,1443615092,18.681351434,0.859449211,400000000000,320000000000,2793,0.000000000,0.806354239
1,0,4406,3,4385,21,0,21,1,0.020012097,0.026183856,0.442837627,0.000000000,1857395.631,0,18.424314815,6.679597255,400000000000,14441876009,2083,0.000226963,0.442837627
2,0,4406,3,4378,28,0,28,1,0.020013105,0.026220901,0.442457990,0.000000000,1855803.317,0,18.466814406,6.670991153,400000000000,18485622918,2075,0.000226963,0.442457990
3,0,4406,3,4377,29,0,29,1,0.020014113,0.026252999,0.442411174,0.000000000,1855606.958,0,18.425308544,6.645625178,400000000000,19383173967,2026,0.000226963,0.442411174
4,0,4406,3,4397,9,0,9,1,0.020012118,0.025759870,0.434395442,0.000000000,1821986.542,0,18.466716893,5.751287044,400000000000,5973259105,2530,0.000226963,0.434395442
5,0,4406,3,4378,28,0,28,1,0.020012202,0.026219671,0.442384272,0.000000000,1855494.123,0,18.924815711,6.851118303,400000000000,19258395151,1992,0.000226963,0.442384272
6,0,4406,3,4394,12,0,12,1,0.020012139,0.025995256,0.436946595,0.000000000,1832686.852,0,18.454219205,6.077543491,400000000000,8246475645,2577,0.000226963,0.436946595
7,0,4406,3,4395,11,0,11,9,0.020013147,0.025981117,0.435762927,0.000000000,1827722.188,0,18.482385075,6.169336772,400000000000,7747983063,2618,0.002042669,0.435762927
8,0,4406,3,4379,27,0,27,1,0.020013210,0.026239432,0.442403528,0.000000000,1855574.885,0,18.995651780,6.826904131,400000000000,18292301384,2022,0.000226963,0.442403528
9,0,4406,3,4391,15,0,15,1,0.020012160,0.026089093,0.447274844,0.000000000,1876006.667,0,18.428389632,6.350084430,400000000000,10293169266,2617,0.000226963,0.447274844
10,0,4406,3,4397,9,0,9,1,0.020012223,0.025745843,0.434057505,0.000000000,1820569.129,0,18.452885541,5.764574213,400000000000,5901930372,2536,0.000226963,0.434057505
11,0,4406,3,4380,26,0,26,1,0.020012307,0.026222859,0.442421186,0.000000000,1855648.950,0,18.918792956,6.847633343,400000000000,17331579662,2010,0.000226963,0.442421186
12,0,4406,3,4378,28,0,28,3,0.020013315,0.026213716,0.442427854,0.000000000,1855676.917,0,18.939214783,6.827385375,400000000000,18993986513,2071,0.000680890,0.442427854
13,0,4406,3,4393,13,0,13,1,0.020012244,0.025998833,0.445736279,0.000000000,1869553.456,0,18.456941641,6.194833625,400000000000,8642574659,2632,0.000226963,0.445736279
14,0,4406,3,4378,28,0,28,2,0.020012412,0.026214621,0.442415954,0.000000000,1855627.005,0,18.933421182,6.847120707,400000000000,18946454385,2015,0.000453926,0.442415954
15,0,4406,3,4392,14,0,14,13,0.020012265,0.026050942,0.447168970,0.000000000,1875562.598,0,18.471649288,6.358055808,400000000000,10546755352,2658,0.002950522,0.447168970
16,0,4406,3,4378,28,0,28,1,0.020013420,0.026219772,0.442408227,0.000000000,1855594.595,0,18.870361964,6.826652032,400000000000,19047837638,2052,0.000226963,0.442408227
17,0,4406,3,4393,13,0,13,6,0.020012370,0.026042620,0.441228058,0.000000000,1850644.610,0,18.454414182,6.156135312,400000000000,10201272564,2659,0.001361779,0.441228058
18,0,4406,3,4391,15,0,15,1,0.020013483,0.026090108,0.440669969,0.000000000,1848303.813,0,18.451447145,6.188328066,400000000000,10066636552,2659,0.000226963,0.440669969
19,0,4406,3,4395,11,0,11,1,0.020012349,0.025934295,0.437018499,0.000000000,1832988.438,0,18.475871406,6.080707108,400000000000,7434943146,2627,0.000226963,0.437018499
20,0,4406,3,4395,11,0,11,1,0.020013357,0.025945549,0.435920202,0.000000000,1828381.847,0,18.474134581,6.172601137,400000000000,7234940568,2640,0.000226963,0.435920202
21,0,4406,3,4385,21,0,21,1,0.020012496,0.026175155,0.442511435,0.000000000,1856027.483,0,18.428398308,6.689432314,400000000000,14416772117,2111,0.000226963,0.442511435
22,0,4406,3,4378,28,0,28,1,0.020013504,0.026232374,0.442443154,0.000000000,1855741.089,0,18.457643112,6.656732757,400000000000,19118139568,2073,0.000226963,0.442443154
23,0,4406,3,4397,9,0,9,9,0.020012328,0.025714203,0.433742492,0.000000000,1819247.867,0,18.468034156,5.765603802,400000000000,5870033206,2550,0.002042669,0.433742492
24,0,4406,3,4384,22,0,22,1,0.020014512,0.026149987,0.442467968,0.000000000,1855845.167,0,18.425043930,6.657011604,400000000000,14963332074,2177,0.000226963,0.442467968
25,0,4406,3,4391,15,0,15,1,0.020012475,0.026082056,0.440880201,0.000000000,1849185.591,0,18.490767106,6.178002314,400000000000,9929686690,2631,0.000226963,0.440880201
26,0,4406,3,4395,11,0,11,1,0.020012454,0.025933599,0.437023238,0.000000000,1833008.316,0,18.468865171,6.085247188,400000000000,7305062698,2635,0.000226963,0.437023238
27,0,4406,3,4391,15,0,15,1,0.020013567,0.026068885,0.440679602,0.000000000,1848344.218,0,18.444076019,6.186194725,400000000000,10404791027,2666,0.000226963,0.440679602
28,0,4406,3,4395,11,0,11,1,0.020013462,0.025955085,0.435923447,0.000000000,1828395.459,0,18.466555594,6.171281942,400000000000,7007243129,2642,0.000226963,0.435923447
29,0,4406,3,4392,14,0,14,10,0.020012559,0.026064170,0.446931692,0.000000000,1874567.384,0,18.462224129,6.361102652,400000000000,10050481751,2673,0.002269632,0.446931692
30,0,4406,3,4385,21,0,21,1,0.020012601,0.026161038,0.445573942,0.000000000,1868872.568,0,18.329102463,6.763966191,400000000000,13842998997,2095,0.000226963,0.445573942
