scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
fm400g_s2_hpcc_b32,hpcc,2,34,33,64,4194304,14999999,20000000,25902320,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,37,36,64,4194304,14999999,20000000,25905676,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,10,9,64,4194304,14999999,20000000,25913284,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,4,3,64,4194304,14999999,20000000,25947764,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,52,51,64,4194304,14999999,20000000,25948179,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,32,31,64,4194304,14999999,20000000,25952181,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,48,47,64,4194304,14999999,20000000,25963366,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,43,42,64,4194304,14999999,20000000,25967352,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,41,40,64,4194304,14999999,20000000,25985440,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,61,60,64,4194304,14999999,20000000,25990108,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,5,4,64,4194304,14999999,20000000,25998879,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,11,10,64,4194304,14999999,20000000,25999509,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,23,22,64,4194304,14999999,20000000,25999610,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,45,44,64,4194304,14999999,20000000,26011897,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,31,30,64,4194304,14999999,20000000,26017520,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,59,58,64,4194304,14999999,20000000,26020849,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,42,41,64,4194304,14999999,20000000,26038873,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,64,63,64,4194304,14999999,20000000,26043904,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,14,13,64,4194304,14999999,20000000,26047570,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,46,45,64,4194304,14999999,20000000,26061308,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,63,62,64,4194304,14999999,20000000,26061388,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,44,43,64,4194304,14999999,20000000,26061552,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,57,56,64,4194304,14999999,20000000,26075556,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,13,12,64,4194304,14999999,20000000,26087395,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,15,14,64,4194304,14999999,20000000,26093484,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,39,38,64,4194304,14999999,20000000,26100437,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,58,57,64,4194304,14999999,20000000,26101806,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,33,32,64,4194304,14999999,20000000,26112288,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,9,8,64,4194304,14999999,20000000,26113540,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,30,29,64,4194304,14999999,20000000,26139287,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,8,7,64,4194304,14999999,20000000,26146742,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,20,19,64,4194304,14999999,20000000,26148798,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,18,17,64,4194304,14999999,20000000,26151127,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,55,54,64,4194304,14999999,20000000,26161137,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,7,6,64,4194304,14999999,20000000,26166228,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,60,59,64,4194304,14999999,20000000,26166476,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,62,61,64,4194304,14999999,20000000,26170460,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,27,26,64,4194304,14999999,20000000,26174149,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,29,28,64,4194304,14999999,20000000,26175220,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,17,16,64,4194304,14999999,20000000,26175309,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,53,52,64,4194304,14999999,20000000,26179463,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,40,39,64,4194304,14999999,20000000,26181566,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,36,35,64,4194304,14999999,20000000,26182433,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,19,18,64,4194304,14999999,20000000,26188956,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,26,25,64,4194304,14999999,20000000,26190941,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,6,5,64,4194304,14999999,20000000,26191697,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,12,11,64,4194304,14999999,20000000,26192485,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,28,27,64,4194304,14999999,20000000,26194793,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,38,37,64,4194304,14999999,20000000,26196139,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,16,15,64,4194304,14999999,20000000,26197154,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,2,1,64,4194304,14999999,20000000,26198379,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,54,53,64,4194304,14999999,20000000,26199559,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,47,46,64,4194304,14999999,20000000,26201762,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,56,55,64,4194304,14999999,20000000,26203943,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,25,24,64,4194304,14999999,20000000,26211688,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,35,34,64,4194304,14999999,20000000,26218274,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,50,49,64,4194304,14999999,20000000,26220505,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,49,48,64,4194304,14999999,20000000,26224061,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,51,50,64,4194304,14999999,20000000,26229673,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,3,2,64,4194304,14999999,20000000,26230525,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,22,21,64,4194304,14999999,20000000,26231312,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,24,23,64,4194304,14999999,20000000,26232671,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,21,20,64,4194304,14999999,20000000,26236402,0,20000000,4194304
fm400g_s2_hpcc_b32,hpcc,2,1,0,64,4194304,14999999,20000000,26257333,0,20000000,4194304
