scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
fm400g_s2_hpcc_b32,hpcc,2,0,0b004101-0b004001-10000-3,0,0,1,0.010000000,0.000000000,0.000000000,0.000000000,2355879564,400000000000,4000000000,320000000000,0,0.000004046,0,11332792,0,2355879564,0,1.000000000,1.000000000,0,0
fm400g_s2_hpcc_b32,hpcc,2,1,0b000001-0b004001-10000-3,0,1,64,0.020000000,0.026245247,0.026257333,0.006257333,4194304,400000000000,4000000000,19298543855,0,0.000012097,0,11332792,0,4194304,0,1.000000000,1.000000000,0,0
fm400g_s2_hpcc_b32,hpcc,2,2,0b000101-0b004001-10000-3,0,1,64,0.020000000,0.026186303,0.026198379,0.006198379,4194304,400000000000,4000000000,17515634636,0,0.000013105,0,11332792,0,4194304,0,1.000000000,1.000000000,0,0
fm400g_s2_hpcc_b32,hpcc,2,3,0b000201-0b004001-10000-3,0,1,64,0.020000000,0.026218424,0.026230525,0.006230525,4194304,400000000000,4000000000,19446816702,0,0.000014113,0,11332792,0,4194304,0,1.000000000,1.000000000,0,0
fm400g_s2_hpcc_b32,hpcc,2,4,0b000301-0b004001-10000-3,0,1,64,0.020000000,0.025935639,0.025947764,0.005947764,4194304,400000000000,4000000000,6050829610,0,0.000012118,0,11332792,0,4194304,0,1.000000000,1.000000000,0,0
fm400g_s2_hpcc_b32,hpcc,2,5,0b000401-0b004001-10000-3,0,1,64,0.020000000,0.025986679,0.025998879,0.005998879,4194304,400000000000,4000000000,7018246018,0,0.000012202,0,11332792,0,4194304,0,1.000000000,1.000000000,0,0
fm400g_s2_hpcc_b32,hpcc,2,6,0b000501-0b004001-10000-3,0,1,64,0.020000000,0.026179620,0.026191697,0.006191697,4194304,400000000000,4000000000,9605917644,0,0.000012139,0,11332792,0,4194304,0,1.000000000,1.000000000,0,0
fm400g_s2_hpcc_b32,hpcc,2,7,0b000601-0b004001-10000-3,0,1,64,0.020000000,0.026154132,0.026166228,0.006166228,4194304,400000000000,4000000000,9677644731,0,0.000013147,0,11332792,0,4194304,0,1.000000000,1.000000000,0,0
fm400g_s2_hpcc_b32,hpcc,2,8,0b000701-0b004001-10000-3,0,1,64,0.020000000,0.026134640,0.026146742,0.006146742,4194304,400000000000,4000000000,10739458828,0,0.000013210,0,11332792,0,4194304,0,1.000000000,1.000000000,0,0
fm400g_s2_hpcc_b32,hpcc,2,9,0b000801-0b004001-10000-3,0,1,64,0.020000000,0.026101446,0.026113540,0.006113540,4194304,400000000000,4000000000,8131767276,0,0.000012160,0,11332792,0,4194304,0,1.000000000,1.000000000,0,0
fm400g_s2_hpcc_b32,hpcc,2,10,0b000901-0b004001-10000-3,0,1,64,0.020000000,0.025901099,0.025913284,0.005913284,4194304,400000000000,4000000000,6014974058,0,0.000012223,0,11332792,0,4194304,0,1.000000000,1.000000000,0,0
fm400g_s2_hpcc_b32,hpcc,2,11,0b000a01-0b004001-10000-3,0,1,64,0.020000000,0.025987305,0.025999509,0.005999509,4194304,400000000000,4000000000,6896867507,0,0.000012307,0,11332792,0,4194304,0,1.000000000,1.000000000,0,0
