flow_id,qp_id,total_rounds,direct_hpcc_updates,gated_late_updates,gated_stale_updates,rate_total_variation,minimum_rate,maximum_rate,mean_round_start_rate
0,0b004101-0b004001-10000-3,1,958461,0,0,852748616896.000,4000000000,400000000000,400000000000.000
1,0b000001-0b004001-10000-3,1,4406,0,0,936041303049.000,4000000000,400000000000,400000000000.000
2,0b000101-0b004001-10000-3,1,4406,0,0,959187139807.000,4000000000,400000000000,400000000000.000
3,0b000201-0b004001-10000-3,1,4406,0,0,949176538548.000,4000000000,400000000000,400000000000.000
4,0b000301-0b004001-10000-3,1,4406,0,0,672328420670.000,4000000000,400000000000,400000000000.000
5,0b000401-0b004001-10000-3,1,4406,0,0,878598447732.000,4000000000,400000000000,400000000000.000
6,0b000501-0b004001-10000-3,1,4406,0,0,825852502811.000,4000000000,400000000000,400000000000.000
7,0b000601-0b004001-10000-3,1,4406,0,0,830843982874.000,4000000000,400000000000,400000000000.000
8,0b000701-0b004001-10000-3,1,4406,0,0,899052899741.000,4000000000,400000000000,400000000000.000
9,0b000801-0b004001-10000-3,1,4406,0,0,711541466749.000,4000000000,400000000000,400000000000.000
10,0b000901-0b004001-10000-3,1,4406,0,0,674822326011.000,4000000000,400000000000,400000000000.000
11,0b000a01-0b004001-10000-3,1,4406,0,0,861029384699.000,4000000000,400000000000,400000000000.000
12,0b000b01-0b004001-10000-3,1,4406,0,0,873494881915.000,4000000000,400000000000,400000000000.000
13,0b000c01-0b004001-10000-3,1,4406,0,0,671541607699.000,4000000000,400000000000,400000000000.000
14,0b000d01-0b004001-10000-3,1,4406,0,0,875056924319.000,4000000000,400000000000,400000000000.000
15,0b000e01-0b004001-10000-3,1,4406,0,0,707578260569.000,4000000000,400000000000,400000000000.000
16,0b000f01-0b004001-10000-3,1,4406,0,0,884120702974.000,4000000000,400000000000,400000000000.000
17,0b001001-0b004001-10000-3,1,4406,0,0,850265478010.000,4000000000,400000000000,400000000000.000
18,0b001101-0b004001-10000-3,1,4406,0,0,866900929957.000,4000000000,400000000000,400000000000.000
19,0b001201-0b004001-10000-3,1,4406,0,0,858685777084.000,4000000000,400000000000,400000000000.000
20,0b001301-0b004001-10000-3,1,4406,0,0,888552131517.000,4000000000,400000000000,400000000000.000
21,0b001401-0b004001-10000-3,1,4406,0,0,981542753612.000,4000000000,400000000000,400000000000.000
22,0b001501-0b004001-10000-3,1,4406,0,0,974182030465.000,4000000000,400000000000,400000000000.000
23,0b001601-0b004001-10000-3,1,4406,0,0,677001707234.000,4000000000,400000000000,400000000000.000
24,0b001701-0b004001-10000-3,1,4406,0,0,980631027850.000,4000000000,400000000000,400000000000.000
25,0b001801-0b004001-10000-3,1,4406,0,0,890016829227.000,4000000000,400000000000,400000000000.000
26,0b001901-0b004001-10000-3,1,4406,0,0,861561981397.000,4000000000,400000000000,400000000000.000
27,0b001a01-0b004001-10000-3,1,4406,0,0,904575910492.000,4000000000,400000000000,400000000000.000
28,0b001b01-0b004001-10000-3,1,4406,0,0,894517844932.000,4000000000,400000000000,400000000000.000
29,0b001c01-0b004001-10000-3,1,4406,0,0,719374776858.000,4000000000,400000000000,400000000000.000
30,0b001d01-0b004001-10000-3,1,4406,0,0,681805464181.000,4000000000,400000000000,400000000000.000
31,0b001e01-0b004001-10000-3,1,4406,0,0,685858059957.000,4000000000,400000000000,400000000000.000
32,0b001f01-0b004001-10000-3,1,4406,0,0,684250031647.000,4000000000,400000000000,400000000000.000
33,0b002001-0b004001-10000-3,1,4406,0,0,717925053020.000,4000000000,400000000000,400000000000.000
34,0b002101-0b004001-10000-3,1,4406,0,0,683468227483.000,4000000000,400000000000,400000000000.000
35,0b002201-0b004001-10000-3,1,4406,0,0,847008652258.000,4000000000,400000000000,400000000000.000
36,0b002301-0b004001-10000-3,1,4406,0,0,846922767115.000,4000000000,400000000000,400000000000.000
37,0b002401-0b004001-10000-3,1,4406,0,0,681765144572.000,4000000000,400000000000,400000000000.000
38,0b002501-0b004001-10000-3,1,4406,0,0,832925284898.000,4000000000,400000000000,400000000000.000
39,0b002601-0b004001-10000-3,1,4406,0,0,721958618858.000,4000000000,400000000000,400000000000.000
40,0b002701-0b004001-10000-3,1,4406,0,0,834669823617.000,4000000000,400000000000,400000000000.000
41,0b002801-0b004001-10000-3,1,4406,0,0,890421549843.000,4000000000,400000000000,400000000000.000
42,0b002901-0b004001-10000-3,1,4406,0,0,886796929058.000,4000000000,400000000000,400000000000.000
43,0b002a01-0b004001-10000-3,1,4406,0,0,688840814848.000,4000000000,400000000000,400000000000.000
44,0b002b01-0b004001-10000-3,1,4406,0,0,895842067423.000,4000000000,400000000000,400000000000.000
45,0b002c01-0b004001-10000-3,1,4406,0,0,829725543237.000,4000000000,400000000000,400000000000.000
46,0b002d01-0b004001-10000-3,1,4406,0,0,848003166670.000,4000000000,400000000000,400000000000.000
47,0b002e01-0b004001-10000-3,1,4406,0,0,847971194647.000,4000000000,400000000000,400000000000.000
48,0b002f01-0b004001-10000-3,1,4406,0,0,824048092992.000,4000000000,400000000000,400000000000.000
49,0b003001-0b004001-10000-3,1,4406,0,0,930946149898.000,4000000000,400000000000,400000000000.000
50,0b003101-0b004001-10000-3,1,4406,0,0,928531570529.000,4000000000,400000000000,400000000000.000
51,0b003201-0b004001-10000-3,1,4406,0,0,924058898766.000,4000000000,400000000000,400000000000.000
52,0b003301-0b004001-10000-3,1,4406,0,0,690437788808.000,4000000000,400000000000,400000000000.000
53,0b003401-0b004001-10000-3,1,4406,0,0,881811335653.000,4000000000,400000000000,400000000000.000
54,0b003501-0b004001-10000-3,1,4406,0,0,836931672718.000,4000000000,400000000000,400000000000.000
55,0b003601-0b004001-10000-3,1,4406,0,0,830551372986.000,4000000000,400000000000,400000000000.000
56,0b003701-0b004001-10000-3,1,4406,0,0,876037905839.000,4000000000,400000000000,400000000000.000
