time_ns,node_id,if_index,q_index,event_type
20146681,85,17,3,1
20146701,87,17,3,1
20146701,86,17,3,1
20146701,88,17,3,1
20163103,85,17,3,0
20163123,87,17,3,0
20163143,86,17,3,0
20163163,88,17,3,0
20168524,85,17,3,1
20168544,86,17,3,1
20168544,87,17,3,1
20168564,88,17,3,1
20184903,86,17,3,0
20184923,88,17,3,0
20184943,85,17,3,0
20184963,87,17,3,0
20190304,86,17,3,1
20190324,88,17,3,1
20190344,85,17,3,1
20190364,87,17,3,1
20206703,86,17,3,0
20206723,88,17,3,0
20206743,85,17,3,0
20206763,87,17,3,0
20212104,86,17,3,1
20212124,88,17,3,1
20212144,85,17,3,1
20212164,87,17,3,1
20228523,86,17,3,0
20228543,88,17,3,0
20228563,85,17,3,0
20228583,87,17,3,0
20233944,86,17,3,1
20233964,85,17,3,1
20233964,88,17,3,1
20233984,87,17,3,1
20250303,85,17,3,0
20250323,87,17,3,0
20250343,86,17,3,0
20250363,88,17,3,0
20255704,85,17,3,1
20255724,87,17,3,1
20255744,86,17,3,1
20255764,88,17,3,1
20272103,85,17,3,0
20272123,87,17,3,0
20272143,86,17,3,0
20272163,88,17,3,0
20277504,85,17,3,1
20277524,87,17,3,1
20277544,86,17,3,1
20277564,88,17,3,1
20293923,85,17,3,0
20293943,87,17,3,0
20293963,86,17,3,0
20293983,88,17,3,0
20299344,87,17,3,1
20299344,85,17,3,1
20299364,86,17,3,1
20299384,88,17,3,1
20315703,86,17,3,0
20315723,88,17,3,0
20315743,85,17,3,0
20315763,87,17,3,0
20321104,86,17,3,1
20321124,88,17,3,1
20321144,85,17,3,1
20321184,87,17,3,1
20337523,86,17,3,0
20337543,88,17,3,0
20337563,85,17,3,0
20337583,87,17,3,0
20342924,86,17,3,1
20342944,88,17,3,1
20342964,85,17,3,1
20342984,87,17,3,1
20359323,86,17,3,0
20359343,88,17,3,0
20359363,85,17,3,0
20359383,87,17,3,0
20364744,88,17,3,1
20364744,86,17,3,1
20364764,85,17,3,1
20364784,87,17,3,1
20381103,85,17,3,0
20381123,87,17,3,0
20381143,86,17,3,0
20381163,88,17,3,0
20386504,85,17,3,1
20386524,87,17,3,1
20386544,86,17,3,1
20386584,88,17,3,1
20402923,85,17,3,0
20402943,87,17,3,0
20402963,86,17,3,0
20402983,88,17,3,0
20408324,85,17,3,1
20408344,87,17,3,1
20408364,86,17,3,1
20408384,88,17,3,1
20424743,85,17,3,0
20424763,87,17,3,0
20424783,86,17,3,0
20424803,88,17,3,0
20430164,87,17,3,1
20430164,85,17,3,1
20430184,86,17,3,1
20430204,88,17,3,1
20446523,88,17,3,0
20446543,85,17,3,0
20446563,87,17,3,0
20446583,86,17,3,0
20451924,88,17,3,1
20451944,85,17,3,1
20451984,87,17,3,1
20452004,86,17,3,1
20468343,88,17,3,0
20468363,85,17,3,0
20468383,87,17,3,0
20468403,86,17,3,0
20473744,88,17,3,1
20473764,85,17,3,1
20473784,87,17,3,1
20473804,86,17,3,1
20489183,86,17,3,0
20490083,88,17,3,0
20490103,85,17,3,0
20490123,87,17,3,0
20494824,86,17,3,1
20495444,88,17,3,1
20495464,87,17,3,1
20495464,85,17,3,1
20499843,86,17,3,0
20511523,87,17,3,0
20511563,88,17,3,0
20511583,85,17,3,0
20517104,87,17,3,1
20517144,88,17,3,1
20517164,85,17,3,1
20533083,85,17,3,0
20533103,87,17,3,0
20533143,88,17,3,0
20538664,85,17,3,1
