batch_id,flow_id,release_time,path,available_capacity,grant_rate,applied_rate,state_transition,hold_reason,readmission_reason,first_feedback_time,handoff_rate
0,0,10005000,0,0:400000000000,400000000000,400000000000,COLLECTING->STARTUP_SENDING,,,0,0
0,0,10005000,0,,320000000000,320000000000,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,11005000,320000000000
1,1,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,2,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,3,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,4,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,5,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,6,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,7,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,8,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,9,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,10,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,11,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,12,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,13,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,14,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,15,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,16,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,17,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,18,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,19,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,20,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,21,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,22,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,23,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,24,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,25,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,26,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,27,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,28,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,29,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,30,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,31,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,32,20005000,0,0:80000000000,11500000000,11500000000,COLLECTING->STARTUP_SENDING,,,0,0
1,24,20005000,0,,12623933017,12623933017,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20528383,12623933017
1,3,20005000,0,,12569480324,12569480324,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20537003,12569480324
1,31,20005000,0,,12569480324,12569480324,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20537523,12569480324
1,19,20005000,0,,12569480324,12569480324,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20542523,12569480324
1,30,20005000,0,,12569480324,12569480324,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20543403,12569480324
1,9,20005000,0,,12569480324,12569480324,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20543723,12569480324
1,6,20005000,0,,13052921875,13052921875,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20547443,13052921875
1,27,20005000,0,,14068149132,14068149132,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20563743,14068149132
1,11,20005000,0,,14361235572,14361235572,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20571823,14361235572
1,2,20005000,0,,14361235572,14361235572,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20574003,14361235572
1,17,20005000,0,,15370622447,15370622447,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20590103,15370622447
1,15,20005000,0,,15736589648,15736589648,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20630943,15736589648
1,29,20005000,0,,16130004389,16130004389,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20639843,16130004389
1,21,20005000,0,,16554478189,16554478189,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20652803,16554478189
1,7,20005000,0,,17014324805,17014324805,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20660943,17014324805
1,5,20005000,0,,17514746123,17514746123,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20684383,17514746123
1,18,20005000,0,,18333615993,18333615993,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20767063,18333615993
1,23,20005000,0,,16494646058,16494646058,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20922703,16494646058
1,10,20005000,0,,16240218837,16240218837,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,20956203,16240218837
1,1,20005000,0,,17320203821,17320203821,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,21005000,17320203821
1,4,20005000,0,,17320203821,17320203821,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,21005000,17320203821
1,8,20005000,0,,17320203821,17320203821,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,21005000,17320203821
1,12,20005000,0,,17320203821,17320203821,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,21005000,17320203821
1,13,20005000,0,,17320203821,17320203821,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,21005000,17320203821
1,14,20005000,0,,17320203821,17320203821,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,21005000,17320203821
1,16,20005000,0,,17320203821,17320203821,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,21005000,17320203821
1,20,20005000,0,,17320203821,17320203821,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,21005000,17320203821
1,22,20005000,0,,17320203821,17320203821,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,21005000,17320203821
1,25,20005000,0,,17320203821,17320203821,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,21005000,17320203821
1,26,20005000,0,,17320203821,17320203821,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,21005000,17320203821
1,28,20005000,0,,17320203821,17320203821,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,21005000,17320203821
1,32,20005000,0,,17320203821,17320203821,STARTUP_SENDING->DCQCN_OWNED,,first_actionable_feedback,21005000,17320203821
1,32,20005000,0,,17320203821,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,21005000,17320203821
1,13,20005000,0,,17320203821,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,21005000,17320203821
1,12,20005000,0,,17320203821,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,21005000,17320203821
1,4,20005000,0,,17320203821,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,21005000,17320203821
1,1,20005000,0,,17320203821,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,21005000,17320203821
1,20,20005000,0,,17320203821,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,21005000,17320203821
1,14,20005000,0,,17320203821,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,21005000,17320203821
1,23,20005000,0,,16494646058,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20922703,16494646058
1,7,20005000,0,,17014324805,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20660943,17014324805
1,18,20005000,0,,18333615993,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20767063,18333615993
1,8,20005000,0,,17320203821,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,21005000,17320203821
1,26,20005000,0,,17320203821,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,21005000,17320203821
1,17,20005000,0,,15370622447,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20590103,15370622447
1,28,20005000,0,,17320203821,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,21005000,17320203821
1,16,20005000,0,,17320203821,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,21005000,17320203821
1,15,20005000,0,,15736589648,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20630943,15736589648
1,31,20005000,0,,12569480324,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20537523,12569480324
1,6,20005000,0,,13052921875,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20547443,13052921875
1,25,20005000,0,,17320203821,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,21005000,17320203821
1,21,20005000,0,,16554478189,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20652803,16554478189
1,30,20005000,0,,12569480324,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20543403,12569480324
1,11,20005000,0,,14361235572,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20571823,14361235572
1,29,20005000,0,,16130004389,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20639843,16130004389
1,5,20005000,0,,17514746123,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20684383,17514746123
1,10,20005000,0,,16240218837,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20956203,16240218837
1,22,20005000,0,,17320203821,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,21005000,17320203821
1,2,20005000,0,,14361235572,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20574003,14361235572
1,24,20005000,0,,12623933017,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20528383,12623933017
1,9,20005000,0,,12569480324,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20543723,12569480324
1,27,20005000,0,,14068149132,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20563743,14068149132
1,3,20005000,0,,12569480324,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20537003,12569480324
1,19,20005000,0,,12569480324,0,DCQCN_OWNED->FINISHED,,flow_completed_capacity_release,20542523,12569480324
