scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
fm400g_s5_dcql,dcqcn,2,20,19,64,8388608,14999999,20000000,26284466,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,2,1,64,8388608,14999999,20000000,26578923,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,14,13,64,8388608,14999999,20000000,26733594,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,21,20,64,8388608,14999999,20000000,26798652,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,5,4,64,8388608,14999999,20000000,27012743,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,26,25,64,8388608,14999999,20000000,27173308,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,11,10,64,8388608,14999999,20000000,27248828,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,25,24,64,8388608,14999999,20000000,27290669,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,9,8,64,8388608,14999999,20000000,27302439,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,32,31,64,8388608,14999999,20000000,27302608,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,4,3,64,8388608,14999999,20000000,27343360,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,17,16,64,8388608,14999999,20000000,27423179,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,1,0,64,8388608,14999999,20000000,27426675,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,23,22,64,8388608,14999999,20000000,27443756,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,6,5,64,8388608,14999999,20000000,27506035,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,10,9,64,8388608,14999999,20000000,27526878,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,7,6,64,8388608,14999999,20000000,27556155,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,29,28,64,8388608,14999999,20000000,27592947,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,19,18,64,8388608,14999999,20000000,27645334,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,24,23,64,8388608,14999999,20000000,27649999,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,27,26,64,8388608,14999999,20000000,27726949,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,8,7,64,8388608,14999999,20000000,27839575,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,31,30,64,8388608,14999999,20000000,27881416,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,30,29,64,8388608,14999999,20000000,27931787,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,13,12,64,8388608,14999999,20000000,27935041,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,12,11,64,8388608,14999999,20000000,27947645,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,18,17,64,8388608,14999999,20000000,27990338,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,16,15,64,8388608,14999999,20000000,28027498,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,22,21,64,8388608,14999999,20000000,28039488,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,28,27,64,8388608,14999999,20000000,28107719,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,3,2,64,8388608,14999999,20000000,28129108,0,20000000,8388608
fm400g_s5_dcql,dcqcn,2,15,14,64,8388608,14999999,20000000,28225864,0,20000000,8388608
