scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
fm400g_s5_dcqn,dcqcn,2,26,25,64,8388608,14999999,20000000,26051284,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,15,14,64,8388608,14999999,20000000,26084336,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,3,2,64,8388608,14999999,20000000,26093428,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,5,4,64,8388608,14999999,20000000,26293705,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,18,17,64,8388608,14999999,20000000,26421092,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,14,13,64,8388608,14999999,20000000,26475961,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,22,21,64,8388608,14999999,20000000,26568221,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,12,11,64,8388608,14999999,20000000,26691922,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,6,5,64,8388608,14999999,20000000,26697510,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,11,10,64,8388608,14999999,20000000,26758372,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,10,9,64,8388608,14999999,20000000,26768671,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,13,12,64,8388608,14999999,20000000,26787446,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,17,16,64,8388608,14999999,20000000,26817138,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,7,6,64,8388608,14999999,20000000,26823812,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,21,20,64,8388608,14999999,20000000,26844246,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,24,23,64,8388608,14999999,20000000,26864770,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,9,8,64,8388608,14999999,20000000,26866370,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,31,30,64,8388608,14999999,20000000,26966732,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,19,18,64,8388608,14999999,20000000,27258779,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,23,22,64,8388608,14999999,20000000,27264851,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,16,15,64,8388608,14999999,20000000,27270431,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,1,0,64,8388608,14999999,20000000,27281270,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,25,24,64,8388608,14999999,20000000,27497403,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,2,1,64,8388608,14999999,20000000,27517696,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,8,7,64,8388608,14999999,20000000,27574166,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,20,19,64,8388608,14999999,20000000,27605743,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,30,29,64,8388608,14999999,20000000,27739215,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,29,28,64,8388608,14999999,20000000,28010437,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,28,27,64,8388608,14999999,20000000,28063246,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,32,31,64,8388608,14999999,20000000,28156441,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,27,26,64,8388608,14999999,20000000,28233191,0,20000000,8388608
fm400g_s5_dcqn,dcqcn,2,4,3,64,8388608,14999999,20000000,28239597,0,20000000,8388608
