scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
fm400g_s5_dctcp,dctcp,2,26,0b001901-0b004001-10000-3,25,64,8388608,0.020000000,0.025521621,0.005521621,8388608,1,12153833810.760,0,0
fm400g_s5_dctcp,dctcp,2,4,0b000301-0b004001-10000-3,3,64,8388608,0.020000000,0.025893293,0.005893293,8388608,1,11387328612.373,0,0
fm400g_s5_dctcp,dctcp,2,3,0b000201-0b004001-10000-3,2,64,8388608,0.020000000,0.025965085,0.005965085,8388608,1,11250277908.865,0,0
fm400g_s5_dctcp,dctcp,2,16,0b000f01-0b004001-10000-3,15,64,8388608,0.020000000,0.026094097,0.006094097,8388608,1,11012109587.360,0,0
fm400g_s5_dctcp,dctcp,2,13,0b000c01-0b004001-10000-3,12,64,8388608,0.020000000,0.026131489,0.006131489,8388608,1,10944953827.692,0,0
fm400g_s5_dctcp,dctcp,2,10,0b000901-0b004001-10000-3,9,64,8388608,0.020000000,0.026165921,0.006165921,8388608,1,10883834547.994,0,0
fm400g_s5_dctcp,dctcp,2,23,0b001601-0b004001-10000-3,22,64,8388608,0.020000000,0.026212413,0.006212413,8388608,1,10802382906.610,0,0
fm400g_s5_dctcp,dctcp,2,15,0b000e01-0b004001-10000-3,14,64,8388608,0.020000000,0.026299205,0.006299205,8388608,1,10653545010.839,0,0
fm400g_s5_dctcp,dctcp,2,21,0b001401-0b004001-10000-3,20,64,8388608,0.020000000,0.026365437,0.006365437,8388608,1,10542695497.575,0,0
fm400g_s5_dctcp,dctcp,2,2,0b000101-0b004001-10000-3,1,64,8388608,0.020000000,0.026386909,0.006386909,8388608,1,10507252256.138,0,0
fm400g_s5_dctcp,dctcp,2,17,0b001001-0b004001-10000-3,16,64,8388608,0.020000000,0.026388441,0.006388441,8388608,1,10504732531.771,0,0
fm400g_s5_dctcp,dctcp,2,9,0b000801-0b004001-10000-3,8,64,8388608,0.020000000,0.026389013,0.006389013,8388608,1,10503792056.770,0,0
fm400g_s5_dctcp,dctcp,2,18,0b001101-0b004001-10000-3,17,64,8388608,0.020000000,0.026399265,0.006399265,8388608,1,10486964362.313,0,0
fm400g_s5_dctcp,dctcp,2,27,0b001a01-0b004001-10000-3,26,64,8388608,0.020000000,0.026402017,0.006402017,8388608,1,10482456388.354,0,0
fm400g_s5_dctcp,dctcp,2,31,0b001e01-0b004001-10000-3,30,64,8388608,0.020000000,0.026405169,0.006405169,8388608,1,10477297944.832,0,0
fm400g_s5_dctcp,dctcp,2,11,0b000a01-0b004001-10000-3,10,64,8388608,0.020000000,0.026440581,0.006440581,8388608,1,10419691018.559,0,0
fm400g_s5_dctcp,dctcp,2,6,0b000501-0b004001-10000-3,5,64,8388608,0.020000000,0.026458733,0.006458733,8388608,1,10390406911.077,0,0
fm400g_s5_dctcp,dctcp,2,7,0b000601-0b004001-10000-3,6,64,8388608,0.020000000,0.026469605,0.006469605,8388608,1,10372946107.220,0,0
fm400g_s5_dctcp,dctcp,2,8,0b000701-0b004001-10000-3,7,64,8388608,0.020000000,0.026476037,0.006476037,8388608,1,10362643697.063,0,0
fm400g_s5_dctcp,dctcp,2,1,0b000001-0b004001-10000-3,0,64,8388608,0.020000000,0.026479169,0.006479169,8388608,1,10357634443.553,0,0
fm400g_s5_dctcp,dctcp,2,14,0b000d01-0b004001-10000-3,13,64,8388608,0.020000000,0.026481941,0.006481941,8388608,1,10353205004.489,0,0
fm400g_s5_dctcp,dctcp,2,25,0b001801-0b004001-10000-3,24,64,8388608,0.020000000,0.026484753,0.006484753,8388608,1,10348715517.769,0,0
fm400g_s5_dctcp,dctcp,2,32,0b001f01-0b004001-10000-3,31,64,8388608,0.020000000,0.026508905,0.006508905,8388608,1,10310315483.173,0,0
fm400g_s5_dctcp,dctcp,2,22,0b001501-0b004001-10000-3,21,64,8388608,0.020000000,0.026532797,0.006532797,8388608,1,10272608195.234,0,0
fm400g_s5_dctcp,dctcp,2,28,0b001b01-0b004001-10000-3,27,64,8388608,0.020000000,0.026566029,0.006566029,8388608,1,10220616448.694,0,0
fm400g_s5_dctcp,dctcp,2,30,0b001d01-0b004001-10000-3,29,64,8388608,0.020000000,0.026569701,0.006569701,8388608,1,10214903844.178,0,0
fm400g_s5_dctcp,dctcp,2,5,0b000401-0b004001-10000-3,4,64,8388608,0.020000000,0.026572753,0.006572753,8388608,1,10210160643.493,0,0
fm400g_s5_dctcp,dctcp,2,29,0b001c01-0b004001-10000-3,28,64,8388608,0.020000000,0.026576685,0.006576685,8388608,1,10204056298.880,0,0
fm400g_s5_dctcp,dctcp,2,20,0b001301-0b004001-10000-3,19,64,8388608,0.020000000,0.026587077,0.006587077,8388608,1,10187958027.514,0,0
fm400g_s5_dctcp,dctcp,2,19,0b001201-0b004001-10000-3,18,64,8388608,0.020000000,0.026613349,0.006613349,8388608,1,10147485638.517,0,0
fm400g_s5_dctcp,dctcp,2,24,0b001701-0b004001-10000-3,23,64,8388608,0.020000000,0.026658261,0.006658261,8388608,1,10079037754.753,0,0
fm400g_s5_dctcp,dctcp,2,12,0b000b01-0b004001-10000-3,11,64,8388608,0.020000000,0.026658953,0.006658953,8388608,1,10077990338.721,0,0
fm400g_s5_dctcp,dctcp,2,0,0b004101-0b004001-10000-3,65,64,2355879564,0.010000000,,,975293536,0,251688654451.613,0,0
