time_ns,node_id,if_index,q_index,event_type
20158421,87,17,3,1
20175326,87,17,3,0
20180667,87,17,3,1
20197666,87,17,3,0
20203007,87,17,3,1
20220006,87,17,3,0
20225367,87,17,3,1
20242426,87,17,3,0
20247787,87,17,3,1
20264846,87,17,3,0
20270207,87,17,3,1
20284866,87,17,3,0
20290627,87,17,3,1
20304366,87,17,3,0
20310107,87,17,3,1
20323806,87,17,3,0
20329547,87,17,3,1
20343246,87,17,3,0
20348987,87,17,3,1
20362686,87,17,3,0
20368427,87,17,3,1
20382126,87,17,3,0
20387867,87,17,3,1
20401086,87,17,3,0
20406967,87,17,3,1
20420306,87,17,3,0
20426167,87,17,3,1
20438526,87,17,3,0
20445127,87,17,3,1
20455466,87,17,3,0
20462207,87,17,3,1
20472506,87,17,3,0
20480027,87,17,3,1
20487466,87,17,3,0
20496767,87,17,3,1
20503946,87,17,3,0
20513367,87,17,3,1
20520566,87,17,3,0
20529227,87,17,3,1
20548066,87,17,3,0
20553547,87,17,3,1
20570686,87,17,3,0
20576027,87,17,3,1
20593046,87,17,3,0
20598407,87,17,3,1
20615466,87,17,3,0
20620827,87,17,3,1
20637886,87,17,3,0
20643247,87,17,3,1
20658146,87,17,3,0
20663867,87,17,3,1
20677586,87,17,3,0
20683327,87,17,3,1
20697026,87,17,3,0
20702767,87,17,3,1
20716466,87,17,3,0
20722207,87,17,3,1
20735906,87,17,3,0
20741647,87,17,3,1
20755346,87,17,3,0
20761087,87,17,3,1
20773986,87,17,3,0
20779887,87,17,3,1
20793226,87,17,3,0
20799087,87,17,3,1
20811786,87,17,3,0
20818347,87,17,3,1
20828606,87,17,3,0
20835307,87,17,3,1
20845606,87,17,3,0
20853087,87,17,3,1
20861326,87,17,3,0
20870547,87,17,3,1
20877806,87,17,3,0
20887227,87,17,3,1
20894426,87,17,3,0
20903107,87,17,3,1
20921906,87,17,3,0
20927567,87,17,3,1
20944806,87,17,3,0
20950167,87,17,3,1
20967166,87,17,3,0
20972507,87,17,3,1
20989546,87,17,3,0
20994907,87,17,3,1
21011906,87,17,3,0
21017367,87,17,3,1
21032466,87,17,3,0
21038107,87,17,3,1
21051806,87,17,3,0
21057487,87,17,3,1
21071166,87,17,3,0
21076907,87,17,3,1
21090606,87,17,3,0
21096347,87,17,3,1
21110046,87,17,3,0
21115787,87,17,3,1
21129466,87,17,3,0
21135227,87,17,3,1
21147946,87,17,3,0
21153927,87,17,3,1
21167306,87,17,3,0
21173167,87,17,3,1
21185886,87,17,3,0
21192427,87,17,3,1
21202866,87,17,3,0
21209567,87,17,3,1
21219766,87,17,3,0
21227247,87,17,3,1
21235766,87,17,3,0
21244927,87,17,3,1
21252246,87,17,3,0
21261527,87,17,3,1
21268806,87,17,3,0
21277487,87,17,3,1
21296326,87,17,3,0
21302247,87,17,3,1
21319626,87,17,3,0
21325007,87,17,3,1
21342026,87,17,3,0
21347367,87,17,3,1
21364406,87,17,3,0
21369767,87,17,3,1
21385986,87,17,3,0
21391567,87,17,3,1
21407186,87,17,3,0
21413067,87,17,3,1
21426666,87,17,3,0
21432367,87,17,3,1
21446126,87,17,3,0
21451827,87,17,3,1
21465626,87,17,3,0
21471267,87,17,3,1
21485006,87,17,3,0
21490707,87,17,3,1
21504046,87,17,3,0
21509907,87,17,3,1
21521866,87,17,3,0
21527947,87,17,3,1
21541086,87,17,3,0
21547127,87,17,3,1
21559466,87,17,3,0
21566227,87,17,3,1
21576486,87,17,3,0
21583287,87,17,3,1
21592966,87,17,3,0
21600407,87,17,3,1
21608786,87,17,3,0
21617827,87,17,3,1
21626166,87,17,3,0
21635387,87,17,3,1
21643206,87,17,3,0
21651827,87,17,3,1
21669866,87,17,3,0
21676367,87,17,3,1
21693486,87,17,3,0
21699407,87,17,3,1
21715886,87,17,3,0
21721727,87,17,3,1
21738286,87,17,3,0
21744127,87,17,3,1
21758686,87,17,3,0
21764707,87,17,3,1
21777746,87,17,3,0
21783967,87,17,3,1
21797426,87,17,3,0
21803527,87,17,3,1
21817586,87,17,3,0
21823587,87,17,3,1
21837626,87,17,3,0
21843627,87,17,3,1
21857126,87,17,3,0
21863247,87,17,3,1
21875246,87,17,3,0
21881507,87,17,3,1
21892066,87,17,3,0
21898527,87,17,3,1
21909586,87,17,3,0
21916107,87,17,3,1
21925806,87,17,3,0
21932967,87,17,3,1
21941926,87,17,3,0
21949207,87,17,3,1
21958346,87,17,3,0
21966247,87,17,3,1
21974426,87,17,3,0
21983787,87,17,3,1
21992166,87,17,3,0
22001727,87,17,3,1
22010046,87,17,3,0
22018967,87,17,3,1
22033086,87,17,3,0
22040427,87,17,3,1
22052806,87,17,3,0
22059447,87,17,3,1
22071226,87,17,3,0
22077747,87,17,3,1
22089726,87,17,3,0
22096247,87,17,3,1
22106506,87,17,3,0
22113087,87,17,3,1
22122746,87,17,3,0
22129487,87,17,3,1
22139246,87,17,3,0
22145887,87,17,3,1
22156906,87,17,3,0
22163547,87,17,3,1
22174026,87,17,3,0
22180627,87,17,3,1
22190186,87,17,3,0
22196867,87,17,3,1
22205006,87,17,3,0
22211787,87,17,3,1
22218886,87,17,3,0
22225787,87,17,3,1
22232466,87,17,3,0
22239407,87,17,3,1
22245306,87,17,3,0
22254287,87,17,3,1
22259646,87,17,3,0
22268527,87,17,3,1
22273866,87,17,3,0
22283667,87,17,3,1
22289066,87,17,3,0
22298667,87,17,3,1
22304006,87,17,3,0
22312347,87,17,3,1
22317846,87,17,3,0
22324127,87,17,3,1
22329086,87,17,3,0
