time_ns,node_id,if_index,q_index,event_type
20161078,87,17,3,1
20177568,87,17,3,0
20182976,87,17,3,1
20199471,87,17,3,0
20204879,87,17,3,1
20221395,87,17,3,0
20226803,87,17,3,1
20242962,87,17,3,0
20248832,87,17,3,1
20264655,87,17,3,0
20270504,87,17,3,1
20284752,87,17,3,0
20291273,87,17,3,1
20303925,87,17,3,0
20309942,87,17,3,1
20323182,87,17,3,0
20329073,87,17,3,1
20342292,87,17,3,0
20348162,87,17,3,1
20361402,87,17,3,0
20367293,87,17,3,1
20380449,87,17,3,0
20386445,87,17,3,1
20399139,87,17,3,0
20405534,87,17,3,1
20418207,87,17,3,0
20424917,87,17,3,1
20437233,87,17,3,0
20444195,87,17,3,1
20454474,87,17,3,0
20462171,87,17,3,1
20471799,87,17,3,0
20479475,87,17,3,1
20489040,87,17,3,0
20498522,87,17,3,1
20505357,87,17,3,0
20515490,87,17,3,1
20522304,87,17,3,0
20532395,87,17,3,1
20551221,87,17,3,0
20559149,87,17,3,1
20574384,87,17,3,0
20581157,87,17,3,1
20596203,87,17,3,0
20602934,87,17,3,1
20613696,87,17,3,0
20620427,87,17,3,1
20631378,87,17,3,0
20638067,87,17,3,1
20646372,87,17,3,0
20653460,87,17,3,1
20663949,87,17,3,0
20670722,87,17,3,1
20683290,87,17,3,0
20690084,87,17,3,1
20702442,87,17,3,0
20709152,87,17,3,1
20721552,87,17,3,0
20728220,87,17,3,1
20739276,87,17,3,0
20745839,87,17,3,1
20753808,87,17,3,0
20760539,87,17,3,1
20766639,87,17,3,0
20778557,87,17,3,1
20785308,87,17,3,0
20799473,87,17,3,1
20806161,87,17,3,0
20822342,87,17,3,1
20827329,87,17,3,0
20843594,87,17,3,1
20851962,87,17,3,0
20861738,87,17,3,1
20866683,87,17,3,0
