scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
fx200g_s0_hpccx,hpcc,2,30,0b001d01-0b004001-10000-3,29,64,262144,0.020000000,0.020489236,0.000489236,262144,1,4286585615.122,0,0
fx200g_s0_hpccx,hpcc,2,4,0b000301-0b004001-10000-3,3,64,262144,0.020000000,0.020489253,0.000489253,262144,1,4286436669.780,0,0
fx200g_s0_hpccx,hpcc,2,13,0b000c01-0b004001-10000-3,12,64,262144,0.020000000,0.020489270,0.000489270,262144,1,4286287734.789,0,0
fx200g_s0_hpccx,hpcc,2,60,0b003b01-0b004001-10000-3,59,64,262144,0.020000000,0.020489287,0.000489287,262144,1,4286138810.146,0,0
fx200g_s0_hpccx,hpcc,2,10,0b000901-0b004001-10000-3,9,64,262144,0.020000000,0.020489304,0.000489304,262144,1,4285989895.852,0,0
fx200g_s0_hpccx,hpcc,2,31,0b001e01-0b004001-10000-3,30,64,262144,0.020000000,0.020489321,0.000489321,262144,1,4285840991.905,0,0
fx200g_s0_hpccx,hpcc,2,23,0b001601-0b004001-10000-3,22,64,262144,0.020000000,0.020489380,0.000489380,262144,1,4285324287.874,0,0
fx200g_s0_hpccx,hpcc,2,43,0b002a01-0b004001-10000-3,42,64,262144,0.020000000,0.020489397,0.000489397,262144,1,4285175430.172,0,0
fx200g_s0_hpccx,hpcc,2,32,0b001f01-0b004001-10000-3,31,64,262144,0.020000000,0.020489414,0.000489414,262144,1,4285026582.811,0,0
fx200g_s0_hpccx,hpcc,2,57,0b003801-0b004001-10000-3,56,64,262144,0.020000000,0.020489431,0.000489431,262144,1,4284877745.791,0,0
fx200g_s0_hpccx,hpcc,2,34,0b002101-0b004001-10000-3,33,64,262144,0.020000000,0.020489532,0.000489532,262144,1,4283993691.934,0,0
fx200g_s0_hpccx,hpcc,2,63,0b003e01-0b004001-10000-3,62,64,262144,0.020000000,0.020489549,0.000489549,262144,1,4283844926.657,0,0
fx200g_s0_hpccx,hpcc,2,37,0b002401-0b004001-10000-3,36,64,262144,0.020000000,0.020489566,0.000489566,262144,1,4283696171.711,0,0
fx200g_s0_hpccx,hpcc,2,52,0b003301-0b004001-10000-3,51,64,262144,0.020000000,0.020489625,0.000489625,262144,1,4283179984.682,0,0
fx200g_s0_hpccx,hpcc,2,59,0b003a01-0b004001-10000-3,58,64,262144,0.020000000,0.020489726,0.000489726,262144,1,4282296631.177,0,0
fx200g_s0_hpccx,hpcc,2,9,0b000801-0b004001-10000-3,8,64,262144,0.020000000,0.020535523,0.000535523,262144,1,3916082035.692,0,0
fx200g_s0_hpccx,hpcc,2,15,0b000e01-0b004001-10000-3,14,64,262144,0.020000000,0.020535582,0.000535582,262144,1,3915650637.998,0,0
fx200g_s0_hpccx,hpcc,2,29,0b001c01-0b004001-10000-3,28,64,262144,0.020000000,0.020535641,0.000535641,262144,1,3915219335.338,0,0
fx200g_s0_hpccx,hpcc,2,33,0b002001-0b004001-10000-3,32,64,262144,0.020000000,0.020535700,0.000535700,262144,1,3914788127.683,0,0
fx200g_s0_hpccx,hpcc,2,39,0b002601-0b004001-10000-3,38,64,262144,0.020000000,0.020535801,0.000535801,262144,1,3914050179.078,0,0
