scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
fx200g_s0_hpccx,hpcc,2,0,0b004101-0b004001-10000-3,0,0,1,0.010000000,0.000000000,0.000000000,0.000000000,995117472,200000000000,2000000000,160000000000,0,0.000004092,0,13028290,0,995117472,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,1,0b000001-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020768556,0.000768556,262144,200000000000,5633495108,75597318836,0,0.000012225,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,2,0b000101-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020768590,0.000768590,262144,200000000000,5656899351,75686223299,0,0.000014241,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,3,0b000201-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020768624,0.000768624,262144,200000000000,5609931927,75774999104,0,0.000016257,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,4,0b000301-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020489253,0.000489253,262144,200000000000,5649067252,7290796834,0,0.000012267,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,5,0b000401-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020745042,0.000745042,262144,200000000000,5643647674,42384328447,0,0.000012393,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,6,0b000501-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020698183,0.000698183,262144,200000000000,5647229924,22543411600,0,0.000012309,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,7,0b000601-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020698462,0.000698462,262144,200000000000,5640698332,22601369384,0,0.000014325,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,8,0b000701-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020745144,0.000745144,262144,200000000000,5641916161,42460836975,0,0.000014409,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,9,0b000801-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020535523,0.000535523,262144,200000000000,5602651941,8578664457,0,0.000012351,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,10,0b000901-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020489304,0.000489304,262144,200000000000,5641867020,7291652719,0,0.000012435,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,11,0b000a01-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020745059,0.000745059,262144,200000000000,5636534673,42398351757,0,0.000012603,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,12,0b000b01-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020745161,0.000745161,262144,200000000000,5644257419,42470953799,0,0.000014619,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,13,0b000c01-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020489270,0.000489270,262144,200000000000,5640086919,7290704076,0,0.000012477,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,14,0b000d01-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020745076,0.000745076,262144,200000000000,5629389092,42408459441,0,0.000012813,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,15,0b000e01-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020535582,0.000535582,262144,200000000000,5595573213,8580077534,0,0.000012519,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,16,0b000f01-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020745178,0.000745178,262144,200000000000,5646528228,42486228457,0,0.000014829,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,17,0b001001-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020698301,0.000698301,262144,200000000000,5588445993,22513825735,0,0.000012729,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,18,0b001101-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020698445,0.000698445,262144,200000000000,5667308372,22542719881,0,0.000014955,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,19,0b001201-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020698284,0.000698284,262144,200000000000,5632911711,22566751809,0,0.000012687,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,20,0b001301-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020698538,0.000698538,262144,200000000000,5645479596,22618205426,0,0.000014703,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,21,0b001401-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020768573,0.000768573,262144,200000000000,5622256519,75640914401,0,0.000013023,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,22,0b001501-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020768607,0.000768607,262144,200000000000,5666434940,75729529182,0,0.000015039,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,23,0b001601-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020489380,0.000489380,262144,200000000000,5634772582,7293145861,0,0.000012645,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,24,0b001701-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020768641,0.000768641,262144,200000000000,5619286858,75805442751,0,0.000017055,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,25,0b001801-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020698335,0.000698335,262144,200000000000,5651585184,22519793252,0,0.000012939,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,26,0b001901-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020698318,0.000698318,262144,200000000000,5625683726,22572147956,0,0.000012897,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,27,0b001a01-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020698521,0.000698521,262144,200000000000,5625846340,22559167569,0,0.000015165,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,28,0b001b01-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020698572,0.000698572,262144,200000000000,5647735090,22625666574,0,0.000014913,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,29,0b001c01-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020535641,0.000535641,262144,200000000000,5652738726,8580753903,0,0.000013149,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,30,0b001d01-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020489236,0.000489236,262144,200000000000,5615069011,7289269245,0,0.000013233,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,31,0b001e01-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020489321,0.000489321,262144,200000000000,5618594236,7291243231,0,0.000013107,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,32,0b001f01-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020489414,0.000489414,262144,200000000000,5627549186,7293750585,0,0.000012855,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,33,0b002001-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020535700,0.000535700,262144,200000000000,5645453309,8582504623,0,0.000013359,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,34,0b002101-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020489532,0.000489532,262144,200000000000,5620393226,7296396565,0,0.000013065,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,35,0b002201-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020698352,0.000698352,262144,200000000000,5611468554,22578212220,0,0.000013317,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
fx200g_s0_hpccx,hpcc,2,36,0b002301-0b004001-10000-3,0,1,64,0.020000000,0.020011550,0.020698589,0.000698589,262144,200000000000,5652395369,22628779800,0,0.000015333,1,13028290,0,262144,0,1.000000000,1.000000000,0,0
