time_ns,node_id,if_index,q_index,event_type
20307682,87,17,3,1
20325092,87,17,3,0
20330534,87,17,3,1
20347892,87,17,3,0
20353334,87,17,3,1
20370732,87,17,3,0
20376174,87,17,3,1
20393572,87,17,3,0
20399014,87,17,3,1
20416412,87,17,3,0
20421894,87,17,3,1
20438612,87,17,3,0
20444094,87,17,3,1
20460932,87,17,3,0
20466454,87,17,3,1
20483372,87,17,3,0
20488854,87,17,3,1
20505692,87,17,3,0
20511214,87,17,3,1
20528172,87,17,3,0
20533694,87,17,3,1
20550612,87,17,3,0
20556134,87,17,3,1
20573092,87,17,3,0
20578614,87,17,3,1
20595532,87,17,3,0
20601054,87,17,3,1
20618012,87,17,3,0
20623534,87,17,3,1
20640452,87,17,3,0
20645934,87,17,3,1
20662732,87,17,3,0
20668214,87,17,3,1
20685052,87,17,3,0
20690534,87,17,3,1
20707372,87,17,3,0
20712894,87,17,3,1
20729812,87,17,3,0
20735294,87,17,3,1
20752132,87,17,3,0
20757654,87,17,3,1
20774572,87,17,3,0
20780054,87,17,3,1
20796892,87,17,3,0
20802414,87,17,3,1
20819372,87,17,3,0
20824894,87,17,3,1
20841812,87,17,3,0
20847334,87,17,3,1
20864292,87,17,3,0
20869814,87,17,3,1
20886412,87,17,3,0
20892294,87,17,3,1
20906092,87,17,3,0
20912054,87,17,3,1
20925772,87,17,3,0
20931734,87,17,3,1
20945452,87,17,3,0
20951414,87,17,3,1
20965132,87,17,3,0
20971094,87,17,3,1
20984812,87,17,3,0
20990774,87,17,3,1
21002572,87,17,3,0
21009294,87,17,3,1
21019732,87,17,3,0
21026534,87,17,3,1
21036972,87,17,3,0
21045854,87,17,3,1
21053372,87,17,3,0
21062894,87,17,3,1
21070172,87,17,3,0
21079654,87,17,3,1
21086932,87,17,3,0
21096414,87,17,3,1
21103692,87,17,3,0
21113174,87,17,3,1
21133092,87,17,3,0
21138774,87,17,3,1
21156372,87,17,3,0
21161814,87,17,3,1
21179212,87,17,3,0
21184654,87,17,3,1
21202052,87,17,3,0
21207494,87,17,3,1
21224812,87,17,3,0
21230294,87,17,3,1
21246852,87,17,3,0
21252334,87,17,3,1
21269172,87,17,3,0
21274694,87,17,3,1
21291612,87,17,3,0
21297094,87,17,3,1
21313932,87,17,3,0
21319454,87,17,3,1
21336412,87,17,3,0
21341934,87,17,3,1
21358852,87,17,3,0
21364374,87,17,3,1
21381372,87,17,3,0
21386894,87,17,3,1
21403772,87,17,3,0
21409294,87,17,3,1
21426292,87,17,3,0
21431814,87,17,3,1
21448692,87,17,3,0
21454174,87,17,3,1
21470972,87,17,3,0
21476454,87,17,3,1
21493292,87,17,3,0
21498774,87,17,3,1
21515572,87,17,3,0
21521094,87,17,3,1
21538052,87,17,3,0
21543534,87,17,3,1
21560372,87,17,3,0
21565894,87,17,3,1
21582772,87,17,3,0
21588254,87,17,3,1
21605132,87,17,3,0
21610654,87,17,3,1
21627612,87,17,3,0
21633134,87,17,3,1
21650052,87,17,3,0
21655574,87,17,3,1
21672572,87,17,3,0
21678094,87,17,3,1
21694732,87,17,3,0
21700614,87,17,3,1
21714532,87,17,3,0
21720454,87,17,3,1
21734092,87,17,3,0
21740054,87,17,3,1
21753812,87,17,3,0
21759774,87,17,3,1
21773452,87,17,3,0
21779414,87,17,3,1
21793172,87,17,3,0
21799134,87,17,3,1
21811252,87,17,3,0
21817934,87,17,3,1
21828292,87,17,3,0
21835094,87,17,3,1
21845572,87,17,3,0
21854334,87,17,3,1
21862612,87,17,3,0
21872374,87,17,3,1
21879372,87,17,3,0
21889214,87,17,3,1
21896132,87,17,3,0
21905974,87,17,3,1
21912812,87,17,3,0
21922774,87,17,3,1
21942092,87,17,3,0
21949254,87,17,3,1
21965452,87,17,3,0
21972094,87,17,3,1
21988372,87,17,3,0
21994974,87,17,3,1
22011172,87,17,3,0
22017814,87,17,3,1
22033812,87,17,3,0
22040454,87,17,3,1
22055772,87,17,3,0
22062414,87,17,3,1
22078092,87,17,3,0
22084814,87,17,3,1
22100532,87,17,3,0
22107212,87,17,3,1
22122892,87,17,3,0
22129734,87,17,3,1
22145252,87,17,3,0
22152374,87,17,3,1
22167092,87,17,3,0
22177860,87,17,3,1
22187652,87,17,3,0
