scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
fx200g_s1_dctcpx,dctcp,2,0,0b004101-0b004001-10000-3,0,0,1,0.010000000,0.000000000,0.000000000,0.000000000,1073469891,200000000000,176057405148,200000000000,0,0.000000000,0,20071000,0,1073469891,0,1.000000000,1.000000000,0,0
fx200g_s1_dctcpx,dctcp,2,1,0b000001-0b004001-10000-3,0,1,64,0.020000000,0.022481778,0.022902819,0.002902819,1048576,200000000000,25000637033,12500476845,0,0.000000000,0,20071000,0,1048576,0,1.000000000,1.000000000,0,0
fx200g_s1_dctcpx,dctcp,2,2,0b000101-0b004001-10000-3,0,1,64,0.020000000,0.022482378,0.022902897,0.002902897,1048576,200000000000,25000000000,12500000000,0,0.000000000,0,20071000,0,1048576,0,1.000000000,1.000000000,0,0
fx200g_s1_dctcpx,dctcp,2,3,0b000201-0b004001-10000-3,0,1,64,0.020000000,0.022483018,0.022902935,0.002902935,1048576,200000000000,25000000000,12500000000,0,0.000000000,0,20071000,0,1048576,0,1.000000000,1.000000000,0,0
fx200g_s1_dctcpx,dctcp,2,4,0b000301-0b004001-10000-3,0,1,64,0.020000000,0.021848938,0.022663597,0.002663597,1048576,200000000000,25000634958,12500475292,0,0.000000000,0,20071000,0,1048576,0,1.000000000,1.000000000,0,0
fx200g_s1_dctcpx,dctcp,2,5,0b000401-0b004001-10000-3,0,1,64,0.020000000,0.022282778,0.022888534,0.002888534,1048576,200000000000,25000626791,12500469178,0,0.000000000,0,20071000,0,1048576,0,1.000000000,1.000000000,0,0
fx200g_s1_dctcpx,dctcp,2,6,0b000501-0b004001-10000-3,0,1,64,0.020000000,0.022115418,0.022832335,0.002832335,1048576,200000000000,25000632896,12500473748,0,0.000000000,0,20071000,0,1048576,0,1.000000000,1.000000000,0,0
fx200g_s1_dctcpx,dctcp,2,7,0b000601-0b004001-10000-3,0,1,64,0.020000000,0.022116618,0.022832609,0.002832609,1048576,200000000000,25000000000,12500000000,0,0.000000000,0,20071000,0,1048576,0,1.000000000,1.000000000,0,0
fx200g_s1_dctcpx,dctcp,2,8,0b000701-0b004001-10000-3,0,1,64,0.020000000,0.022283338,0.022888728,0.002888728,1048576,200000000000,25000000000,12500000000,0,0.000000000,0,20071000,0,1048576,0,1.000000000,1.000000000,0,0
fx200g_s1_dctcpx,dctcp,2,9,0b000801-0b004001-10000-3,0,1,64,0.020000000,0.021893858,0.022699164,0.002699164,1048576,200000000000,25000630848,12500472215,0,0.000000000,0,20071000,0,1048576,0,1.000000000,1.000000000,0,0
fx200g_s1_dctcpx,dctcp,2,10,0b000901-0b004001-10000-3,0,1,64,0.020000000,0.021849578,0.022664456,0.002664456,1048576,200000000000,25000000000,12500000000,0,0.000000000,0,20071000,0,1048576,0,1.000000000,1.000000000,0,0
