scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
fx400g_s0_hpccx,hpcc,2,30,29,64,262144,14999999,20000000,20257008,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,4,3,64,262144,14999999,20000000,20257017,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,13,12,64,262144,14999999,20000000,20257026,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,60,59,64,262144,14999999,20000000,20257035,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,10,9,64,262144,14999999,20000000,20257044,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,31,30,64,262144,14999999,20000000,20257053,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,23,22,64,262144,14999999,20000000,20257083,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,43,42,64,262144,14999999,20000000,20257092,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,32,31,64,262144,14999999,20000000,20257101,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,57,56,64,262144,14999999,20000000,20257110,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,34,33,64,262144,14999999,20000000,20257161,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,63,62,64,262144,14999999,20000000,20257170,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,37,36,64,262144,14999999,20000000,20257179,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,52,51,64,262144,14999999,20000000,20257230,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,59,58,64,262144,14999999,20000000,20257260,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,9,8,64,262144,14999999,20000000,20280306,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,15,14,64,262144,14999999,20000000,20280336,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,29,28,64,262144,14999999,20000000,20280366,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,33,32,64,262144,14999999,20000000,20280396,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,39,38,64,262144,14999999,20000000,20280447,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,58,57,64,262144,14999999,20000000,20280477,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,64,63,64,262144,14999999,20000000,20280507,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,45,44,64,262144,14999999,20000000,20303847,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,48,47,64,262144,14999999,20000000,20303898,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,41,40,64,262144,14999999,20000000,20327112,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,42,41,64,262144,14999999,20000000,20327184,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,44,43,64,262144,14999999,20000000,20327193,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,6,5,64,262144,14999999,20000000,20361789,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,19,18,64,262144,14999999,20000000,20361840,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,17,16,64,262144,14999999,20000000,20361849,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,26,25,64,262144,14999999,20000000,20361858,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,25,24,64,262144,14999999,20000000,20361888,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,35,34,64,262144,14999999,20000000,20361897,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,53,52,64,262144,14999999,20000000,20361906,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,38,37,64,262144,14999999,20000000,20361915,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,18,17,64,262144,14999999,20000000,20361924,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,7,6,64,262144,14999999,20000000,20361933,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,27,26,64,262144,14999999,20000000,20361963,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,20,19,64,262144,14999999,20000000,20361972,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,56,55,64,262144,14999999,20000000,20361981,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,28,27,64,262144,14999999,20000000,20361990,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,36,35,64,262144,14999999,20000000,20362020,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,40,39,64,262144,14999999,20000000,20362029,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,49,48,64,262144,14999999,20000000,20373630,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,50,49,64,262144,14999999,20000000,20373639,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,51,50,64,262144,14999999,20000000,20373669,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,5,4,64,262144,14999999,20000000,20385228,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,11,10,64,262144,14999999,20000000,20385237,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,14,13,64,262144,14999999,20000000,20385246,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,46,45,64,262144,14999999,20000000,20385255,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,54,53,64,262144,14999999,20000000,20385264,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,61,60,64,262144,14999999,20000000,20385273,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,8,7,64,262144,14999999,20000000,20385282,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,12,11,64,262144,14999999,20000000,20385291,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,16,15,64,262144,14999999,20000000,20385300,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,47,46,64,262144,14999999,20000000,20385309,0,20000000,262144
fx400g_s0_hpccx,hpcc,2,55,54,64,262144,14999999,20000000,20385318,0,20000000,262144
