scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
fx400g_s1_dcqx,dcqcn,2,4,3,64,1048576,14999999,20000000,21319478,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,10,9,64,1048576,14999999,20000000,21319507,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,13,12,64,1048576,14999999,20000000,21319516,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,23,22,64,1048576,14999999,20000000,21319525,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,32,31,64,1048576,14999999,20000000,21319574,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,34,33,64,1048576,14999999,20000000,21319603,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,31,30,64,1048576,14999999,20000000,21319772,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,37,36,64,1048576,14999999,20000000,21319801,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,43,42,64,1048576,14999999,20000000,21319850,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,52,51,64,1048576,14999999,20000000,21319879,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,57,56,64,1048576,14999999,20000000,21319888,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,59,58,64,1048576,14999999,20000000,21319897,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,63,62,64,1048576,14999999,20000000,21319906,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,9,8,64,1048576,14999999,20000000,21335915,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,15,14,64,1048576,14999999,20000000,21335964,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,29,28,64,1048576,14999999,20000000,21336273,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,33,32,64,1048576,14999999,20000000,21336282,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,39,38,64,1048576,14999999,20000000,21336311,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,58,57,64,1048576,14999999,20000000,21336420,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,64,63,64,1048576,14999999,20000000,21336449,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,6,5,64,1048576,14999999,20000000,21342478,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,19,18,64,1048576,14999999,20000000,21342807,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,26,25,64,1048576,14999999,20000000,21342896,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,35,34,64,1048576,14999999,20000000,21343165,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,38,37,64,1048576,14999999,20000000,21343294,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,45,44,64,1048576,14999999,20000000,21343403,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,7,6,64,1048576,14999999,20000000,21343712,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,20,19,64,1048576,14999999,20000000,21343941,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,28,27,64,1048576,14999999,20000000,21344050,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,36,35,64,1048576,14999999,20000000,21344279,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,40,39,64,1048576,14999999,20000000,21344408,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,48,47,64,1048576,14999999,20000000,21344537,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,17,16,64,1048576,14999999,20000000,21345226,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,25,24,64,1048576,14999999,20000000,21345235,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,53,52,64,1048576,14999999,20000000,21345244,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,18,17,64,1048576,14999999,20000000,21345313,0,20000000,1048576
fx400g_s1_dcqx,dcqcn,2,27,26,64,1048576,14999999,20000000,21345322,0,20000000,1048576
