flow_id,qp_id,total_rounds,direct_hpcc_updates,gated_late_updates,gated_stale_updates,rate_total_variation,minimum_rate,maximum_rate,mean_round_start_rate
0,0b004101-0b004001-10000-3,1,940992,0,0,721590763742.000,4000000000,400000000000,400000000000.000
1,0b000001-0b004001-10000-3,1,1102,0,0,801694543008.000,4000000000,400000000000,400000000000.000
2,0b000101-0b004001-10000-3,1,1102,0,0,805603464483.000,4000000000,400000000000,400000000000.000
3,0b000201-0b004001-10000-3,1,1102,0,0,800285173860.000,4000000000,400000000000,400000000000.000
4,0b000301-0b004001-10000-3,1,1102,0,0,539067539255.000,5130164385,400000000000,400000000000.000
5,0b000401-0b004001-10000-3,1,1102,0,0,787076836058.000,4000000000,400000000000,400000000000.000
6,0b000501-0b004001-10000-3,1,1102,0,0,617245030082.000,6331379748,400000000000,400000000000.000
7,0b000601-0b004001-10000-3,1,1102,0,0,628801277538.000,6360978863,400000000000,400000000000.000
8,0b000701-0b004001-10000-3,1,1102,0,0,774251752610.000,4000000000,400000000000,400000000000.000
9,0b000801-0b004001-10000-3,1,1102,0,0,495129962949.000,4000000000,400000000000,400000000000.000
10,0b000901-0b004001-10000-3,1,1102,0,0,539978185191.000,5215812421,400000000000,400000000000.000
11,0b000a01-0b004001-10000-3,1,1102,0,0,783210732132.000,4000000000,400000000000,400000000000.000
12,0b000b01-0b004001-10000-3,1,1102,0,0,775829003044.000,4000000000,400000000000,400000000000.000
13,0b000c01-0b004001-10000-3,1,1102,0,0,503659263497.000,4000000000,400000000000,400000000000.000
14,0b000d01-0b004001-10000-3,1,1102,0,0,774625138574.000,4000000000,400000000000,400000000000.000
15,0b000e01-0b004001-10000-3,1,1102,0,0,495538993822.000,4000000000,400000000000,400000000000.000
16,0b000f01-0b004001-10000-3,1,1102,0,0,775318209218.000,4000000000,400000000000,400000000000.000
17,0b001001-0b004001-10000-3,1,1102,0,0,562751627676.000,4568574554,400000000000,400000000000.000
18,0b001101-0b004001-10000-3,1,1102,0,0,569957069708.000,4598002013,400000000000,400000000000.000
19,0b001201-0b004001-10000-3,1,1102,0,0,615220006606.000,6164835108,400000000000,400000000000.000
20,0b001301-0b004001-10000-3,1,1102,0,0,626469428647.000,6218324329,400000000000,400000000000.000
21,0b001401-0b004001-10000-3,1,1102,0,0,805493846905.000,4000000000,400000000000,400000000000.000
22,0b001501-0b004001-10000-3,1,1102,0,0,801843642096.000,4000000000,400000000000,400000000000.000
23,0b001601-0b004001-10000-3,1,1102,0,0,539348875754.000,5303577185,400000000000,400000000000.000
24,0b001701-0b004001-10000-3,1,1102,0,0,805887788595.000,4000000000,400000000000,400000000000.000
25,0b001801-0b004001-10000-3,1,1102,0,0,567432409011.000,4760608762,400000000000,400000000000.000
26,0b001901-0b004001-10000-3,1,1102,0,0,614747726466.000,6104148163,400000000000,400000000000.000
27,0b001a01-0b004001-10000-3,1,1102,0,0,569975100407.000,4604613989,400000000000,400000000000.000
28,0b001b01-0b004001-10000-3,1,1102,0,0,626595172686.000,6221272946,400000000000,400000000000.000
29,0b001c01-0b004001-10000-3,1,1102,0,0,496469329459.000,4000000000,400000000000,400000000000.000
30,0b001d01-0b004001-10000-3,1,1102,0,0,725616099674.000,4000000000,400000000000,400000000000.000
31,0b001e01-0b004001-10000-3,1,1102,0,0,505143141941.000,4000000000,400000000000,400000000000.000
32,0b001f01-0b004001-10000-3,1,1102,0,0,540222898339.000,5393698802,400000000000,400000000000.000
33,0b002001-0b004001-10000-3,1,1102,0,0,497189285629.000,4000000000,400000000000,400000000000.000
34,0b002101-0b004001-10000-3,1,1102,0,0,541583600609.000,5467723901,400000000000,400000000000.000
35,0b002201-0b004001-10000-3,1,1102,0,0,621867850178.000,6348198964,400000000000,400000000000.000
36,0b002301-0b004001-10000-3,1,1102,0,0,626651183368.000,6224057906,400000000000,400000000000.000
37,0b002401-0b004001-10000-3,1,1102,0,0,542805295459.000,5562152611,400000000000,400000000000.000
38,0b002501-0b004001-10000-3,1,1102,0,0,620313829099.000,6257598994,400000000000,400000000000.000
39,0b002601-0b004001-10000-3,1,1102,0,0,497993462592.000,4000000000,400000000000,400000000000.000
40,0b002701-0b004001-10000-3,1,1102,0,0,626768862189.000,6225609767,400000000000,400000000000.000
41,0b002801-0b004001-10000-3,1,1102,0,0,676986250356.000,6517295355,400000000000,400000000000.000
42,0b002901-0b004001-10000-3,1,1102,0,0,686532522749.000,7107065746,400000000000,400000000000.000
43,0b002a01-0b004001-10000-3,1,1102,0,0,506665857952.000,4000000000,400000000000,400000000000.000
44,0b002b01-0b004001-10000-3,1,1102,0,0,684518810292.000,7110538278,400000000000,400000000000.000
45,0b002c01-0b004001-10000-3,1,1102,0,0,635070402106.000,6536159250,400000000000,400000000000.000
46,0b002d01-0b004001-10000-3,1,1102,0,0,781091028174.000,4000000000,400000000000,400000000000.000
47,0b002e01-0b004001-10000-3,1,1102,0,0,774127364808.000,4000000000,400000000000,400000000000.000
48,0b002f01-0b004001-10000-3,1,1102,0,0,644458696972.000,7050996417,400000000000,400000000000.000
49,0b003001-0b004001-10000-3,1,1102,0,0,583676634837.000,4762093189,400000000000,400000000000.000
50,0b003101-0b004001-10000-3,1,1102,0,0,582954442354.000,4681874101,400000000000,400000000000.000
51,0b003201-0b004001-10000-3,1,1102,0,0,582239098527.000,4696271207,400000000000,400000000000.000
52,0b003301-0b004001-10000-3,1,1102,0,0,544519289546.000,5860472440,400000000000,400000000000.000
53,0b003401-0b004001-10000-3,1,1102,0,0,565794883240.000,4605383498,400000000000,400000000000.000
54,0b003501-0b004001-10000-3,1,1102,0,0,779897543845.000,4000000000,400000000000,400000000000.000
55,0b003601-0b004001-10000-3,1,1102,0,0,774111756992.000,4000000000,400000000000,400000000000.000
56,0b003701-0b004001-10000-3,1,1102,0,0,568486655985.000,4629678001,400000000000,400000000000.000
57,0b003801-0b004001-10000-3,1,1102,0,0,507274385638.000,4000000000,400000000000,400000000000.000
58,0b003901-0b004001-10000-3,1,1102,0,0,500712723703.000,4000000000,400000000000,400000000000.000
59,0b003a01-0b004001-10000-3,1,1102,0,0,547130139210.000,5944585155,400000000000,400000000000.000
60,0b003b01-0b004001-10000-3,1,1102,0,0,724375702584.000,4000000000,400000000000,400000000000.000
61,0b003c01-0b004001-10000-3,1,1102,0,0,776365603660.000,4000000000,400000000000,400000000000.000
62,0b003d01-0b004001-10000-3,1,1102,0,0,773886632543.000,4000000000,400000000000,400000000000.000
63,0b003e01-0b004001-10000-3,1,1102,0,0,509082236316.000,4000000000,400000000000,400000000000.000
64,0b003f01-0b004001-10000-3,1,1102,0,0,503570786528.000,4000000000,400000000000,400000000000.000
