time_ns,node_id,if_index,q_index,event_type
20148581,86,17,3,1
20148581,88,17,3,1
20148581,85,17,3,1
20148601,87,17,3,1
20164946,86,17,3,0
20164966,88,17,3,0
20164986,85,17,3,0
20165006,87,17,3,0
20170367,86,17,3,1
20170387,88,17,3,1
20170407,87,17,3,1
20170407,85,17,3,1
20186746,87,17,3,0
20186766,86,17,3,0
20186786,88,17,3,0
20186806,85,17,3,0
20192147,87,17,3,1
20192167,86,17,3,1
20192187,88,17,3,1
20192207,85,17,3,1
20208566,87,17,3,0
20208586,86,17,3,0
20208606,88,17,3,0
20208626,85,17,3,0
20213967,87,17,3,1
20213987,86,17,3,1
20214007,88,17,3,1
20214027,85,17,3,1
20230366,87,17,3,0
20230386,86,17,3,0
20230406,88,17,3,0
20230426,85,17,3,0
20235787,87,17,3,1
20235807,88,17,3,1
20235807,86,17,3,1
20235827,85,17,3,1
20252146,88,17,3,0
20252166,85,17,3,0
20252186,87,17,3,0
20252206,86,17,3,0
20257547,88,17,3,1
20257567,85,17,3,1
20257587,87,17,3,1
20257607,86,17,3,1
20273966,88,17,3,0
20273986,85,17,3,0
20274006,87,17,3,0
20274026,86,17,3,0
20279367,88,17,3,1
20279387,85,17,3,1
20279407,87,17,3,1
20279427,86,17,3,1
20295786,88,17,3,0
20295806,85,17,3,0
20295826,87,17,3,0
20295846,86,17,3,0
20301207,88,17,3,1
20301227,87,17,3,1
20301227,85,17,3,1
20301247,86,17,3,1
20317566,86,17,3,0
20317586,88,17,3,0
20317606,85,17,3,0
20317626,87,17,3,0
20322967,86,17,3,1
20322987,88,17,3,1
20323007,85,17,3,1
20323047,87,17,3,1
20339386,86,17,3,0
20339406,88,17,3,0
20339426,85,17,3,0
20339446,87,17,3,0
20344787,86,17,3,1
20344807,88,17,3,1
20344827,85,17,3,1
20344847,87,17,3,1
20361206,86,17,3,0
20361226,88,17,3,0
20361246,85,17,3,0
20361266,87,17,3,0
20366627,88,17,3,1
20366627,86,17,3,1
20366647,85,17,3,1
20366667,87,17,3,1
20382986,87,17,3,0
20383006,86,17,3,0
20383026,88,17,3,0
20383046,85,17,3,0
20388387,87,17,3,1
20388407,86,17,3,1
20388447,88,17,3,1
20388467,85,17,3,1
20404806,87,17,3,0
20404826,86,17,3,0
20404846,88,17,3,0
20404866,85,17,3,0
20410207,87,17,3,1
20410227,86,17,3,1
20410247,88,17,3,1
20410267,85,17,3,1
20426626,87,17,3,0
20426646,86,17,3,0
20426666,88,17,3,0
20426686,85,17,3,0
20432047,86,17,3,1
20432047,87,17,3,1
20432067,88,17,3,1
20432087,85,17,3,1
20448406,88,17,3,0
20448426,85,17,3,0
20448446,87,17,3,0
20448466,86,17,3,0
20453807,88,17,3,1
20453827,85,17,3,1
20453847,87,17,3,1
20453887,86,17,3,1
20470206,88,17,3,0
20470226,85,17,3,0
20470246,87,17,3,0
20470266,86,17,3,0
20475607,88,17,3,1
20475627,85,17,3,1
20475647,87,17,3,1
20475667,86,17,3,1
20483746,86,17,3,0
20491786,88,17,3,0
20491806,85,17,3,0
20491826,87,17,3,0
20497267,88,17,3,1
20497287,85,17,3,1
20497307,87,17,3,1
20513286,88,17,3,0
20513306,85,17,3,0
20513326,87,17,3,0
20518887,88,17,3,1
20518907,87,17,3,1
20518907,85,17,3,1
20534806,87,17,3,0
20534846,88,17,3,0
20534866,85,17,3,0
20540387,87,17,3,1
20540427,88,17,3,1
20540447,85,17,3,1
20556386,87,17,3,0
20556426,88,17,3,0
20556446,85,17,3,0
20561967,87,17,3,1
20562007,88,17,3,1
20562027,85,17,3,1
20577966,87,17,3,0
20578006,88,17,3,0
20578026,85,17,3,0
20583547,87,17,3,1
20583587,88,17,3,1
20583607,85,17,3,1
20599526,87,17,3,0
20599566,88,17,3,0
20599586,85,17,3,0
20605067,87,17,3,1
20605107,85,17,3,1
20605107,88,17,3,1
20621026,85,17,3,0
20621046,88,17,3,0
20621166,87,17,3,0
20626567,88,17,3,1
20626567,85,17,3,1
20626767,87,17,3,1
20642586,88,17,3,0
20642646,85,17,3,0
20642786,87,17,3,0
20648147,88,17,3,1
20648207,85,17,3,1
20648347,87,17,3,1
20664226,85,17,3,0
20664246,88,17,3,0
20664366,87,17,3,0
20669747,85,17,3,1
20669807,88,17,3,1
20669887,87,17,3,1
20685726,85,17,3,0
20685826,88,17,3,0
20685866,87,17,3,0
20691307,85,17,3,1
20691367,87,17,3,1
20691387,88,17,3,1
20707366,87,17,3,0
20707386,85,17,3,0
20707406,88,17,3,0
20712927,87,17,3,1
20712947,85,17,3,1
20712967,88,17,3,1
20728946,87,17,3,0
20728966,85,17,3,0
20728986,88,17,3,0
20734487,87,17,3,1
20734507,85,17,3,1
20734527,88,17,3,1
20750426,87,17,3,0
20750446,85,17,3,0
20750466,88,17,3,0
20755927,87,17,3,1
20755967,85,17,3,1
20755987,88,17,3,1
20771946,87,17,3,0
20771966,85,17,3,0
20771986,88,17,3,0
20777487,85,17,3,1
20777487,87,17,3,1
20777507,88,17,3,1
20793406,85,17,3,0
20793426,88,17,3,0
20793466,87,17,3,0
20798927,85,17,3,1
20798947,88,17,3,1
20799027,87,17,3,1
20812046,88,17,3,0
