flow_id,round_id,total_feedback,int_hop_count,actionable_feedback,late_same_round_feedback,stale_older_round_feedback,feedback_during_off,live_rate_changes_during_off,first_feedback_time,last_feedback_time,mean_remaining_unsent_ratio,min_remaining_unsent_ratio,mean_remaining_unsent_bytes,min_remaining_unsent_bytes,max_normalized_load,mean_normalized_load,first_rate_before,last_rate_after,feedback_changed_live_rate,late_action_ratio,actionable_byte_ratio
0,0,952923,1,952923,0,0,0,0,0.010004046,0.040999983,0.807401457,0.614865603,1902140593.632,1448549308,19.693390759,0.906672335,400000000000,320000000000,2719,0.000000000,0.807401457
1,0,4406,3,4381,25,0,25,17,0.020012097,0.026357194,0.443535029,0.000000000,1860320.746,0,19.385218620,7.001019426,400000000000,26184012132,2055,0.003858375,0.443535029
2,0,4406,3,4370,36,0,36,1,0.020013105,0.026388648,0.443178670,0.000000000,1858826.068,0,19.402480888,7.058159126,400000000000,24704756036,2051,0.000226963,0.443178670
3,0,4406,3,4378,28,0,28,8,0.020014113,0.026359009,0.443193210,0.000000000,1858887.054,0,19.396520117,7.067438097,400000000000,23778521250,2118,0.001815706,0.443193210
4,0,4406,3,4397,9,0,9,9,0.020012118,0.025898721,0.438068864,0.000000000,1837393.990,0,19.365813351,5.893597629,400000000000,5825200896,2599,0.002042669,0.438068864
5,0,4406,3,4387,19,0,19,1,0.020012202,0.026345750,0.443151021,0.000000000,1858710.101,0,19.901339956,7.052757387,400000000000,12936841195,2044,0.000226963,0.443151021
6,0,4406,3,4395,11,0,11,4,0.020012139,0.026064495,0.438654920,0.000000000,1839852.085,0,19.374727139,6.299295558,400000000000,7433770002,2643,0.000907853,0.438654920
7,0,4406,3,4396,10,0,10,1,0.020013147,0.026033798,0.437722129,0.000000000,1835939.677,0,19.377393363,6.384989529,400000000000,6544034371,2699,0.000226963,0.437722129
8,0,4406,3,4384,22,0,22,7,0.020013210,0.026347860,0.443157906,0.000000000,1858738.980,0,19.456549518,7.049279687,400000000000,22532968468,2076,0.001588743,0.443157906
9,0,4406,3,4391,15,0,15,1,0.020012160,0.026265374,0.448539019,0.000000000,1881309.000,0,19.359533864,6.626074201,400000000000,10215643602,2020,0.000226963,0.448539019
