scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
fx400g_s4_dcqx,dcqcn,2,17,0b001001-0b004001-10000-3,16,64,4194304,0.020000000,0.025513606,0.005513606,4194304,1,6085750777.259,0,0
fx400g_s4_dcqx,dcqcn,2,33,0b002001-0b004001-10000-3,32,64,4194304,0.020000000,0.025673702,0.005673702,4194304,1,5914027913.345,0,0
fx400g_s4_dcqx,dcqcn,2,27,0b001a01-0b004001-10000-3,26,64,4194304,0.020000000,0.025687158,0.005687158,4194304,1,5900035131.783,0,0
fx400g_s4_dcqx,dcqcn,2,47,0b002e01-0b004001-10000-3,46,64,4194304,0.020000000,0.025726934,0.005726934,4194304,1,5859056870.570,0,0
fx400g_s4_dcqx,dcqcn,2,18,0b001101-0b004001-10000-3,17,64,4194304,0.020000000,0.025747550,0.005747550,4194304,1,5838040904.385,0,0
fx400g_s4_dcqx,dcqcn,2,51,0b003201-0b004001-10000-3,50,64,4194304,0.020000000,0.025753086,0.005753086,4194304,1,5832423155.155,0,0
fx400g_s4_dcqx,dcqcn,2,56,0b003701-0b004001-10000-3,55,64,4194304,0.020000000,0.025757242,0.005757242,4194304,1,5828212883.877,0,0
fx400g_s4_dcqx,dcqcn,2,26,0b001901-0b004001-10000-3,25,64,4194304,0.020000000,0.025763258,0.005763258,4194304,1,5822129080.461,0,0
fx400g_s4_dcqx,dcqcn,2,14,0b000d01-0b004001-10000-3,13,64,4194304,0.020000000,0.025784842,0.005784842,4194304,1,5800405957.501,0,0
fx400g_s4_dcqx,dcqcn,2,6,0b000501-0b004001-10000-3,5,64,4194304,0.020000000,0.025814761,0.005814761,4194304,1,5770560819.267,0,0
fx400g_s4_dcqx,dcqcn,2,31,0b001e01-0b004001-10000-3,30,64,4194304,0.020000000,0.025820991,0.005820991,4194304,1,5764384792.899,0,0
fx400g_s4_dcqx,dcqcn,2,55,0b003601-0b004001-10000-3,54,64,4194304,0.020000000,0.025824373,0.005824373,4194304,1,5761037625.853,0,0
fx400g_s4_dcqx,dcqcn,2,24,0b001701-0b004001-10000-3,23,64,4194304,0.020000000,0.025827413,0.005827413,4194304,1,5758032252.047,0,0
fx400g_s4_dcqx,dcqcn,2,36,0b002301-0b004001-10000-3,35,64,4194304,0.020000000,0.025832254,0.005832254,4194304,1,5753252859.015,0,0
fx400g_s4_dcqx,dcqcn,2,5,0b000401-0b004001-10000-3,4,64,4194304,0.020000000,0.025836681,0.005836681,4194304,1,5748889137.508,0,0
fx400g_s4_dcqx,dcqcn,2,10,0b000901-0b004001-10000-3,9,64,4194304,0.020000000,0.025857811,0.005857811,4194304,1,5728152034.950,0,0
fx400g_s4_dcqx,dcqcn,2,61,0b003c01-0b004001-10000-3,60,64,4194304,0.020000000,0.025873418,0.005873418,4194304,1,5712931039.473,0,0
fx400g_s4_dcqx,dcqcn,2,16,0b000f01-0b004001-10000-3,15,64,4194304,0.020000000,0.025898050,0.005898050,4194304,1,5689072150.965,0,0
fx400g_s4_dcqx,dcqcn,2,60,0b003b01-0b004001-10000-3,59,64,4194304,0.020000000,0.025905381,0.005905381,4194304,1,5682009678.969,0,0
fx400g_s4_dcqx,dcqcn,2,11,0b000a01-0b004001-10000-3,10,64,4194304,0.020000000,0.025919227,0.005919227,4194304,1,5668718567.475,0,0
fx400g_s4_dcqx,dcqcn,2,46,0b002d01-0b004001-10000-3,45,64,4194304,0.020000000,0.025919602,0.005919602,4194304,1,5668359460.653,0,0
fx400g_s4_dcqx,dcqcn,2,54,0b003501-0b004001-10000-3,53,64,4194304,0.020000000,0.025921738,0.005921738,4194304,1,5666314855.537,0,0
fx400g_s4_dcqx,dcqcn,2,28,0b001b01-0b004001-10000-3,27,64,4194304,0.020000000,0.025921929,0.005921929,4194304,1,5666132099.861,0,0
fx400g_s4_dcqx,dcqcn,2,35,0b002201-0b004001-10000-3,34,64,4194304,0.020000000,0.025929175,0.005929175,4194304,1,5659207562.604,0,0
fx400g_s4_dcqx,dcqcn,2,64,0b003f01-0b004001-10000-3,63,64,4194304,0.020000000,0.025959750,0.005959750,4194304,1,5630174420.068,0,0
fx400g_s4_dcqx,dcqcn,2,45,0b002c01-0b004001-10000-3,44,64,4194304,0.020000000,0.025971288,0.005971288,4194304,1,5619295535.570,0,0
fx400g_s4_dcqx,dcqcn,2,50,0b003101-0b004001-10000-3,49,64,4194304,0.020000000,0.025998539,0.005998539,4194304,1,5593767415.699,0,0
