scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
fx400g_s4_dctcpx,dctcp,2,23,0b001601-0b004001-10000-3,22,64,4194304,0.020000000,0.024745242,0.004745242,4194304,1,7071174030.745,0,0
fx400g_s4_dctcpx,dctcp,2,4,0b000301-0b004001-10000-3,3,64,4194304,0.020000000,0.024745358,0.004745358,4194304,1,7071001176.307,0,0
fx400g_s4_dctcpx,dctcp,2,10,0b000901-0b004001-10000-3,9,64,4194304,0.020000000,0.024745374,0.004745374,4194304,1,7070977334.979,0,0
fx400g_s4_dctcpx,dctcp,2,37,0b002401-0b004001-10000-3,36,64,4194304,0.020000000,0.024745510,0.004745510,4194304,1,7070774690.181,0,0
fx400g_s4_dctcpx,dctcp,2,52,0b003301-0b004001-10000-3,51,64,4194304,0.020000000,0.024745546,0.004745546,4194304,1,7070721050.855,0,0
fx400g_s4_dctcpx,dctcp,2,59,0b003a01-0b004001-10000-3,58,64,4194304,0.020000000,0.024745562,0.004745562,4194304,1,7070697211.416,0,0
fx400g_s4_dctcpx,dctcp,2,34,0b002101-0b004001-10000-3,33,64,4194304,0.020000000,0.024745718,0.004745718,4194304,1,7070464785.308,0,0
fx400g_s4_dctcpx,dctcp,2,32,0b001f01-0b004001-10000-3,31,64,4194304,0.020000000,0.024746394,0.004746394,4194304,1,7069457782.055,0,0
fx400g_s4_dctcpx,dctcp,2,45,0b002c01-0b004001-10000-3,44,64,4194304,0.020000000,0.024902610,0.004902610,4194304,1,6844197682.459,0,0
fx400g_s4_dctcpx,dctcp,2,48,0b002f01-0b004001-10000-3,47,64,4194304,0.020000000,0.024903766,0.004903766,4194304,1,6842584250.554,0,0
fx400g_s4_dctcpx,dctcp,2,41,0b002801-0b004001-10000-3,40,64,4194304,0.020000000,0.025043022,0.005043022,4194304,1,6653635855.644,0,0
fx400g_s4_dctcpx,dctcp,2,42,0b002901-0b004001-10000-3,41,64,4194304,0.020000000,0.025044078,0.005044078,4194304,1,6652242887.600,0,0
fx400g_s4_dctcpx,dctcp,2,44,0b002b01-0b004001-10000-3,43,64,4194304,0.020000000,0.025044574,0.005044574,4194304,1,6651588816.023,0,0
fx400g_s4_dctcpx,dctcp,2,13,0b000c01-0b004001-10000-3,12,64,4194304,0.020000000,0.025272490,0.005272490,4194304,1,6364057968.815,0,0
fx400g_s4_dctcpx,dctcp,2,57,0b003801-0b004001-10000-3,56,64,4194304,0.020000000,0.025272966,0.005272966,4194304,1,6363483474.007,0,0
fx400g_s4_dctcpx,dctcp,2,63,0b003e01-0b004001-10000-3,62,64,4194304,0.020000000,0.025273022,0.005273022,4194304,1,6363415893.201,0,0
fx400g_s4_dctcpx,dctcp,2,31,0b001e01-0b004001-10000-3,30,64,4194304,0.020000000,0.025273078,0.005273078,4194304,1,6363348313.831,0,0
fx400g_s4_dctcpx,dctcp,2,43,0b002a01-0b004001-10000-3,42,64,4194304,0.020000000,0.025273154,0.005273154,4194304,1,6363256601.267,0,0
fx400g_s4_dctcpx,dctcp,2,6,0b000501-0b004001-10000-3,5,64,4194304,0.020000000,0.025291470,0.005291470,4194304,1,6341230697.708,0,0
fx400g_s4_dctcpx,dctcp,2,26,0b001901-0b004001-10000-3,25,64,4194304,0.020000000,0.025291526,0.005291526,4194304,1,6341163588.727,0,0
fx400g_s4_dctcpx,dctcp,2,38,0b002501-0b004001-10000-3,37,64,4194304,0.020000000,0.025291542,0.005291542,4194304,1,6341144414.993,0,0
