scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
fx400g_s4_dctcpx,dctcp,2,23,22,64,4194304,14999999,20000000,24745242,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,4,3,64,4194304,14999999,20000000,24745358,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,10,9,64,4194304,14999999,20000000,24745374,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,37,36,64,4194304,14999999,20000000,24745510,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,52,51,64,4194304,14999999,20000000,24745546,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,59,58,64,4194304,14999999,20000000,24745562,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,34,33,64,4194304,14999999,20000000,24745718,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,32,31,64,4194304,14999999,20000000,24746394,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,45,44,64,4194304,14999999,20000000,24902610,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,48,47,64,4194304,14999999,20000000,24903766,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,41,40,64,4194304,14999999,20000000,25043022,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,42,41,64,4194304,14999999,20000000,25044078,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,44,43,64,4194304,14999999,20000000,25044574,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,13,12,64,4194304,14999999,20000000,25272490,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,57,56,64,4194304,14999999,20000000,25272966,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,63,62,64,4194304,14999999,20000000,25273022,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,31,30,64,4194304,14999999,20000000,25273078,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,43,42,64,4194304,14999999,20000000,25273154,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,6,5,64,4194304,14999999,20000000,25291470,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,26,25,64,4194304,14999999,20000000,25291526,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,38,37,64,4194304,14999999,20000000,25291542,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,7,6,64,4194304,14999999,20000000,25291558,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,20,19,64,4194304,14999999,20000000,25291574,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,28,27,64,4194304,14999999,20000000,25291590,0,20000000,4194304
fx400g_s4_dctcpx,dctcp,2,36,35,64,4194304,14999999,20000000,25291606,0,20000000,4194304
