time_ns,node_id,if_index,q_index,event_type
20148982,86,17,3,1
20148982,88,17,3,1
20148982,85,17,3,1
20149003,87,17,3,1
20165481,86,17,3,0
20165502,88,17,3,0
20165523,85,17,3,0
20165544,87,17,3,0
20170868,88,17,3,1
20170868,86,17,3,1
20170889,85,17,3,1
20170910,87,17,3,1
20187363,88,17,3,0
20187384,85,17,3,0
20187405,87,17,3,0
20187426,86,17,3,0
20192771,88,17,3,1
20192792,87,17,3,1
20192792,85,17,3,1
20192813,86,17,3,1
20209308,87,17,3,0
20209329,86,17,3,0
20209350,88,17,3,0
20209371,85,17,3,0
20214716,86,17,3,1
20214716,87,17,3,1
20214737,85,17,3,1
20214737,88,17,3,1
20231148,85,17,3,0
20231190,86,17,3,0
20231211,88,17,3,0
20231253,87,17,3,0
20236556,85,17,3,1
20236577,86,17,3,1
20236598,88,17,3,1
20236640,87,17,3,1
20252967,86,17,3,0
20252988,88,17,3,0
20253009,85,17,3,0
20253030,87,17,3,0
20258375,88,17,3,1
20258375,86,17,3,1
20258396,85,17,3,1
20258417,87,17,3,1
20274681,87,17,3,0
20274702,86,17,3,0
20274723,88,17,3,0
20274744,85,17,3,0
20280068,87,17,3,1
20280089,86,17,3,1
20280131,88,17,3,1
20280152,85,17,3,1
20296416,87,17,3,0
20296437,86,17,3,0
20296458,88,17,3,0
20296479,85,17,3,0
20301824,87,17,3,1
20301845,86,17,3,1
20301866,88,17,3,1
20301887,85,17,3,1
20318214,87,17,3,0
20318235,86,17,3,0
20318256,88,17,3,0
20318277,85,17,3,0
20323622,86,17,3,1
20323622,87,17,3,1
20323643,88,17,3,1
20323664,85,17,3,1
20339907,88,17,3,0
20339928,85,17,3,0
20339949,87,17,3,0
20339970,86,17,3,0
20345315,88,17,3,1
20345336,85,17,3,1
20345357,87,17,3,1
20345378,86,17,3,1
20361684,86,17,3,0
20361705,88,17,3,0
20361726,85,17,3,0
20361747,87,17,3,0
20367071,86,17,3,1
20367092,88,17,3,1
20367113,85,17,3,1
20367134,87,17,3,1
20383419,86,17,3,0
20383440,88,17,3,0
20383461,85,17,3,0
20383482,87,17,3,0
20388827,86,17,3,1
20388848,85,17,3,1
20388848,88,17,3,1
20388869,87,17,3,1
20405133,87,17,3,0
20405154,86,17,3,0
20405175,88,17,3,0
20405196,85,17,3,0
20410541,87,17,3,1
20410562,86,17,3,1
20410583,88,17,3,1
20410625,85,17,3,1
20426931,87,17,3,0
20426952,86,17,3,0
20426973,88,17,3,0
20426994,85,17,3,0
20432318,87,17,3,1
20432339,86,17,3,1
20432360,88,17,3,1
20432381,85,17,3,1
20448666,87,17,3,0
20448687,86,17,3,0
20448708,88,17,3,0
20448729,85,17,3,0
20454095,86,17,3,1
20454095,87,17,3,1
20454116,88,17,3,1
20454137,85,17,3,1
20470422,88,17,3,0
20470443,85,17,3,0
20470464,87,17,3,0
20470485,86,17,3,0
20475809,88,17,3,1
20475830,85,17,3,1
20475851,87,17,3,1
20475914,86,17,3,1
20492157,88,17,3,0
20492178,85,17,3,0
20492199,87,17,3,0
20492304,86,17,3,0
