scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
heff_200g,cbap_sba,2,1,0,64,262144,50000000,100005000,100743114,100000000,100005000,262144
heff_200g,cbap_sba,2,4,3,64,262144,50000000,100005130,100743130,100000000,100005000,262144
heff_200g,cbap_sba,2,6,5,64,262144,50000000,100005217,100743146,100000000,100005000,262144
heff_200g,cbap_sba,2,5,4,64,262144,50000000,100005173,100743162,100000000,100005000,262144
heff_200g,cbap_sba,2,2,1,64,262144,50000000,100005043,100743178,100000000,100005000,262144
heff_200g,cbap_sba,2,3,2,64,262144,50000000,100005086,100743194,100000000,100005000,262144
heff_200g,cbap_sba,2,7,6,64,262144,50000000,100005260,100743210,100000000,100005000,262144
heff_200g,cbap_sba,2,8,7,64,262144,50000000,100005304,100743226,100000000,100005000,262144
heff_200g,cbap_sba,2,9,8,64,262144,50000000,100005347,100743242,100000000,100005000,262144
heff_200g,cbap_sba,2,10,9,64,262144,50000000,100005391,100743258,100000000,100005000,262144
heff_200g,cbap_sba,2,11,10,64,262144,50000000,100005434,100743274,100000000,100005000,262144
heff_200g,cbap_sba,2,12,11,64,262144,50000000,100005478,100743290,100000000,100005000,262144
heff_200g,cbap_sba,2,13,12,64,262144,50000000,100005521,100743306,100000000,100005000,262144
heff_200g,cbap_sba,2,14,13,64,262144,50000000,100005565,100743322,100000000,100005000,262144
heff_200g,cbap_sba,2,15,14,64,262144,50000000,100005608,100743338,100000000,100005000,262144
heff_200g,cbap_sba,2,16,15,64,262144,50000000,100005652,100743354,100000000,100005000,262144
heff_200g,cbap_sba,2,17,16,64,262144,50000000,100005695,100743370,100000000,100005000,262144
heff_200g,cbap_sba,2,18,17,64,262144,50000000,100005738,100743386,100000000,100005000,262144
heff_200g,cbap_sba,2,19,18,64,262144,50000000,100005782,100743402,100000000,100005000,262144
heff_200g,cbap_sba,2,20,19,64,262144,50000000,100005825,100743418,100000000,100005000,262144
heff_200g,cbap_sba,2,21,20,64,262144,50000000,100005869,100743434,100000000,100005000,262144
heff_200g,cbap_sba,2,22,21,64,262144,50000000,100005912,100743450,100000000,100005000,262144
heff_200g,cbap_sba,2,23,22,64,262144,50000000,100005956,100743466,100000000,100005000,262144
heff_200g,cbap_sba,2,24,23,64,262144,50000000,100005999,100743482,100000000,100005000,262144
heff_200g,cbap_sba,2,25,24,64,262144,50000000,100006043,100743498,100000000,100005000,262144
heff_200g,cbap_sba,2,26,25,64,262144,50000000,100006086,100743514,100000000,100005000,262144
heff_200g,cbap_sba,2,32,31,64,262144,50000000,100006347,100743530,100000000,100005000,262144
heff_200g,cbap_sba,2,30,29,64,262144,50000000,100006260,100743546,100000000,100005000,262144
