scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
pf_burst_10g,dcqcn,2,4,0b000301-0b004001-10000-3,3,64,262144,0.100000000,0.114051106,0.014051106,262144,1,149251738.618,0,0
pf_burst_10g,dcqcn,2,10,0b000901-0b004001-10000-3,9,64,262144,0.100000000,0.114053820,0.014053820,262144,1,149222915.905,0,0
pf_burst_10g,dcqcn,2,13,0b000c01-0b004001-10000-3,12,64,262144,0.100000000,0.114054934,0.014054934,262144,1,149211088.433,0,0
pf_burst_10g,dcqcn,2,23,0b001601-0b004001-10000-3,22,64,262144,0.100000000,0.114056048,0.014056048,262144,1,149199262.837,0,0
pf_burst_10g,dcqcn,2,32,0b001f01-0b004001-10000-3,31,64,262144,0.100000000,0.114058762,0.014058762,262144,1,149170460.386,0,0
pf_burst_10g,dcqcn,2,34,0b002101-0b004001-10000-3,33,64,262144,0.100000000,0.114061476,0.014061476,262144,1,149141669.054,0,0
pf_burst_10g,dcqcn,2,31,0b001e01-0b004001-10000-3,30,64,262144,0.100000000,0.114062590,0.014062590,262144,1,149129854.458,0,0
pf_burst_10g,dcqcn,2,30,0b001d01-0b004001-10000-3,29,64,262144,0.100000000,0.114062904,0.014062904,262144,1,149126524.650,0,0
pf_burst_10g,dcqcn,2,37,0b002401-0b004001-10000-3,36,64,262144,0.100000000,0.114064018,0.014064018,262144,1,149114712.453,0,0
pf_burst_10g,dcqcn,2,43,0b002a01-0b004001-10000-3,42,64,262144,0.100000000,0.114069932,0.014069932,262144,1,149052035.220,0,0
pf_burst_10g,dcqcn,2,60,0b003b01-0b004001-10000-3,59,64,262144,0.100000000,0.114071046,0.014071046,262144,1,149040234.820,0,0
pf_burst_10g,dcqcn,2,52,0b003301-0b004001-10000-3,51,64,262144,0.100000000,0.114072160,0.014072160,262144,1,149028436.288,0,0
pf_burst_10g,dcqcn,2,57,0b003801-0b004001-10000-3,56,64,262144,0.100000000,0.114073274,0.014073274,262144,1,149016639.625,0,0
pf_burst_10g,dcqcn,2,59,0b003a01-0b004001-10000-3,58,64,262144,0.100000000,0.114074388,0.014074388,262144,1,149004844.829,0,0
pf_burst_10g,dcqcn,2,63,0b003e01-0b004001-10000-3,62,64,262144,0.100000000,0.114075502,0.014075502,262144,1,148993051.900,0,0
pf_burst_10g,dcqcn,2,9,0b000801-0b004001-10000-3,8,64,262144,0.100000000,0.114087016,0.014087016,262144,1,148871272.667,0,0
pf_burst_10g,dcqcn,2,15,0b000e01-0b004001-10000-3,14,64,262144,0.100000000,0.114089730,0.014089730,262144,1,148842596.700,0,0
pf_burst_10g,dcqcn,2,29,0b001c01-0b004001-10000-3,28,64,262144,0.100000000,0.114094844,0.014094844,262144,1,148788592.481,0,0
pf_burst_10g,dcqcn,2,33,0b002001-0b004001-10000-3,32,64,262144,0.100000000,0.114095958,0.014095958,262144,1,148776833.756,0,0
pf_burst_10g,dcqcn,2,39,0b002601-0b004001-10000-3,38,64,262144,0.100000000,0.114097872,0.014097872,262144,1,148756635.044,0,0
pf_burst_10g,dcqcn,2,58,0b003901-0b004001-10000-3,57,64,262144,0.100000000,0.114103786,0.014103786,262144,1,148694258.407,0,0
pf_burst_10g,dcqcn,2,64,0b003f01-0b004001-10000-3,63,64,262144,0.100000000,0.114104100,0.014104100,262144,1,148690948.022,0,0
pf_burst_10g,dcqcn,2,45,0b002c01-0b004001-10000-3,44,64,262144,0.100000000,0.114204414,0.014204414,262144,1,147640867.128,0,0
pf_burst_10g,dcqcn,2,48,0b002f01-0b004001-10000-3,47,64,262144,0.100000000,0.114212728,0.014212728,262144,1,147554501.852,0,0
pf_burst_10g,dcqcn,2,41,0b002801-0b004001-10000-3,40,64,262144,0.100000000,0.114282642,0.014282642,262144,1,146832217.737,0,0
pf_burst_10g,dcqcn,2,6,0b000501-0b004001-10000-3,5,64,262144,0.100000000,0.114283756,0.014283756,262144,1,146820766.191,0,0
pf_burst_10g,dcqcn,2,42,0b002901-0b004001-10000-3,41,64,262144,0.100000000,0.114284870,0.014284870,262144,1,146809316.431,0,0
pf_burst_10g,dcqcn,2,19,0b001201-0b004001-10000-3,18,64,262144,0.100000000,0.114285984,0.014285984,262144,1,146797868.456,0,0
pf_burst_10g,dcqcn,2,44,0b002b01-0b004001-10000-3,43,64,262144,0.100000000,0.114287098,0.014287098,262144,1,146786422.267,0,0
pf_burst_10g,dcqcn,2,26,0b001901-0b004001-10000-3,25,64,262144,0.100000000,0.114288212,0.014288212,262144,1,146774977.863,0,0
pf_burst_10g,dcqcn,2,35,0b002201-0b004001-10000-3,34,64,262144,0.100000000,0.114289326,0.014289326,262144,1,146763535.243,0,0
pf_burst_10g,dcqcn,2,38,0b002501-0b004001-10000-3,37,64,262144,0.100000000,0.114291240,0.014291240,262144,1,146743879.467,0,0
pf_burst_10g,dcqcn,2,7,0b000601-0b004001-10000-3,6,64,262144,0.100000000,0.114293154,0.014293154,262144,1,146724228.956,0,0
pf_burst_10g,dcqcn,2,20,0b001301-0b004001-10000-3,19,64,262144,0.100000000,0.114295068,0.014295068,262144,1,146704583.707,0,0
pf_burst_10g,dcqcn,2,28,0b001b01-0b004001-10000-3,27,64,262144,0.100000000,0.114297782,0.014297782,262144,1,146676736.294,0,0
pf_burst_10g,dcqcn,2,36,0b002301-0b004001-10000-3,35,64,262144,0.100000000,0.114299696,0.014299696,262144,1,146657103.759,0,0
pf_burst_10g,dcqcn,2,40,0b002701-0b004001-10000-3,39,64,262144,0.100000000,0.114301610,0.014301610,262144,1,146637476.480,0,0
pf_burst_10g,dcqcn,2,17,0b001001-0b004001-10000-3,16,64,262144,0.100000000,0.114305124,0.014305124,262144,1,146601455.534,0,0
pf_burst_10g,dcqcn,2,25,0b001801-0b004001-10000-3,24,64,262144,0.100000000,0.114306238,0.014306238,262144,1,146590039.953,0,0
pf_burst_10g,dcqcn,2,53,0b003401-0b004001-10000-3,52,64,262144,0.100000000,0.114308952,0.014308952,262144,1,146562236.004,0,0
pf_burst_10g,dcqcn,2,18,0b001101-0b004001-10000-3,17,64,262144,0.100000000,0.114310066,0.014310066,262144,1,146550826.530,0,0
pf_burst_10g,dcqcn,2,27,0b001a01-0b004001-10000-3,26,64,262144,0.100000000,0.114311180,0.014311180,262144,1,146539418.832,0,0
pf_burst_10g,dcqcn,2,56,0b003701-0b004001-10000-3,55,64,262144,0.100000000,0.114313894,0.014313894,262144,1,146511634.081,0,0
pf_burst_10g,dcqcn,2,5,0b000401-0b004001-10000-3,4,64,262144,0.100000000,0.114324608,0.014324608,262144,1,146402051.630,0,0
pf_burst_10g,dcqcn,2,11,0b000a01-0b004001-10000-3,10,64,262144,0.100000000,0.114325722,0.014325722,262144,1,146390667.081,0,0
pf_burst_10g,dcqcn,2,14,0b000d01-0b004001-10000-3,13,64,262144,0.100000000,0.114326036,0.014326036,262144,1,146387458.471,0,0
