scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
pf_burst_10g,dcqcn,2,4,3,64,262144,50000000,100000000,114051106,0,100000000,262144
pf_burst_10g,dcqcn,2,10,9,64,262144,50000000,100000000,114053820,0,100000000,262144
pf_burst_10g,dcqcn,2,13,12,64,262144,50000000,100000000,114054934,0,100000000,262144
pf_burst_10g,dcqcn,2,23,22,64,262144,50000000,100000000,114056048,0,100000000,262144
pf_burst_10g,dcqcn,2,32,31,64,262144,50000000,100000000,114058762,0,100000000,262144
pf_burst_10g,dcqcn,2,34,33,64,262144,50000000,100000000,114061476,0,100000000,262144
pf_burst_10g,dcqcn,2,31,30,64,262144,50000000,100000000,114062590,0,100000000,262144
pf_burst_10g,dcqcn,2,30,29,64,262144,50000000,100000000,114062904,0,100000000,262144
pf_burst_10g,dcqcn,2,37,36,64,262144,50000000,100000000,114064018,0,100000000,262144
pf_burst_10g,dcqcn,2,43,42,64,262144,50000000,100000000,114069932,0,100000000,262144
pf_burst_10g,dcqcn,2,60,59,64,262144,50000000,100000000,114071046,0,100000000,262144
pf_burst_10g,dcqcn,2,52,51,64,262144,50000000,100000000,114072160,0,100000000,262144
pf_burst_10g,dcqcn,2,57,56,64,262144,50000000,100000000,114073274,0,100000000,262144
pf_burst_10g,dcqcn,2,59,58,64,262144,50000000,100000000,114074388,0,100000000,262144
pf_burst_10g,dcqcn,2,63,62,64,262144,50000000,100000000,114075502,0,100000000,262144
pf_burst_10g,dcqcn,2,9,8,64,262144,50000000,100000000,114087016,0,100000000,262144
pf_burst_10g,dcqcn,2,15,14,64,262144,50000000,100000000,114089730,0,100000000,262144
pf_burst_10g,dcqcn,2,29,28,64,262144,50000000,100000000,114094844,0,100000000,262144
pf_burst_10g,dcqcn,2,33,32,64,262144,50000000,100000000,114095958,0,100000000,262144
pf_burst_10g,dcqcn,2,39,38,64,262144,50000000,100000000,114097872,0,100000000,262144
pf_burst_10g,dcqcn,2,58,57,64,262144,50000000,100000000,114103786,0,100000000,262144
pf_burst_10g,dcqcn,2,64,63,64,262144,50000000,100000000,114104100,0,100000000,262144
pf_burst_10g,dcqcn,2,45,44,64,262144,50000000,100000000,114204414,0,100000000,262144
pf_burst_10g,dcqcn,2,48,47,64,262144,50000000,100000000,114212728,0,100000000,262144
pf_burst_10g,dcqcn,2,41,40,64,262144,50000000,100000000,114282642,0,100000000,262144
pf_burst_10g,dcqcn,2,6,5,64,262144,50000000,100000000,114283756,0,100000000,262144
pf_burst_10g,dcqcn,2,42,41,64,262144,50000000,100000000,114284870,0,100000000,262144
pf_burst_10g,dcqcn,2,19,18,64,262144,50000000,100000000,114285984,0,100000000,262144
pf_burst_10g,dcqcn,2,44,43,64,262144,50000000,100000000,114287098,0,100000000,262144
pf_burst_10g,dcqcn,2,26,25,64,262144,50000000,100000000,114288212,0,100000000,262144
pf_burst_10g,dcqcn,2,35,34,64,262144,50000000,100000000,114289326,0,100000000,262144
pf_burst_10g,dcqcn,2,38,37,64,262144,50000000,100000000,114291240,0,100000000,262144
pf_burst_10g,dcqcn,2,7,6,64,262144,50000000,100000000,114293154,0,100000000,262144
pf_burst_10g,dcqcn,2,20,19,64,262144,50000000,100000000,114295068,0,100000000,262144
pf_burst_10g,dcqcn,2,28,27,64,262144,50000000,100000000,114297782,0,100000000,262144
pf_burst_10g,dcqcn,2,36,35,64,262144,50000000,100000000,114299696,0,100000000,262144
pf_burst_10g,dcqcn,2,40,39,64,262144,50000000,100000000,114301610,0,100000000,262144
pf_burst_10g,dcqcn,2,17,16,64,262144,50000000,100000000,114305124,0,100000000,262144
pf_burst_10g,dcqcn,2,25,24,64,262144,50000000,100000000,114306238,0,100000000,262144
pf_burst_10g,dcqcn,2,53,52,64,262144,50000000,100000000,114308952,0,100000000,262144
pf_burst_10g,dcqcn,2,18,17,64,262144,50000000,100000000,114310066,0,100000000,262144
pf_burst_10g,dcqcn,2,27,26,64,262144,50000000,100000000,114311180,0,100000000,262144
pf_burst_10g,dcqcn,2,56,55,64,262144,50000000,100000000,114313894,0,100000000,262144
pf_burst_10g,dcqcn,2,5,4,64,262144,50000000,100000000,114324608,0,100000000,262144
pf_burst_10g,dcqcn,2,11,10,64,262144,50000000,100000000,114325722,0,100000000,262144
pf_burst_10g,dcqcn,2,14,13,64,262144,50000000,100000000,114326036,0,100000000,262144
pf_burst_10g,dcqcn,2,46,45,64,262144,50000000,100000000,114327150,0,100000000,262144
pf_burst_10g,dcqcn,2,54,53,64,262144,50000000,100000000,114328264,0,100000000,262144
pf_burst_10g,dcqcn,2,61,60,64,262144,50000000,100000000,114328578,0,100000000,262144
pf_burst_10g,dcqcn,2,8,7,64,262144,50000000,100000000,114329692,0,100000000,262144
pf_burst_10g,dcqcn,2,12,11,64,262144,50000000,100000000,114330806,0,100000000,262144
pf_burst_10g,dcqcn,2,16,15,64,262144,50000000,100000000,114331120,0,100000000,262144
pf_burst_10g,dcqcn,2,47,46,64,262144,50000000,100000000,114332234,0,100000000,262144
pf_burst_10g,dcqcn,2,55,54,64,262144,50000000,100000000,114333348,0,100000000,262144
pf_burst_10g,dcqcn,2,62,61,64,262144,50000000,100000000,114334462,0,100000000,262144
pf_burst_10g,dcqcn,2,49,48,64,262144,50000000,100000000,114343576,0,100000000,262144
pf_burst_10g,dcqcn,2,50,49,64,262144,50000000,100000000,114344690,0,100000000,262144
pf_burst_10g,dcqcn,2,51,50,64,262144,50000000,100000000,114345804,0,100000000,262144
pf_burst_10g,dcqcn,2,1,0,64,262144,50000000,100000000,114365318,0,100000000,262144
pf_burst_10g,dcqcn,2,21,20,64,262144,50000000,100000000,114365632,0,100000000,262144
pf_burst_10g,dcqcn,2,2,1,64,262144,50000000,100000000,114365946,0,100000000,262144
pf_burst_10g,dcqcn,2,22,21,64,262144,50000000,100000000,114366260,0,100000000,262144
pf_burst_10g,dcqcn,2,3,2,64,262144,50000000,100000000,114366574,0,100000000,262144
pf_burst_10g,dcqcn,2,24,23,64,262144,50000000,100000000,114366888,0,100000000,262144
