scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
pv10g_16m_cbap,cbap_sba,2,22,0b001501-0b004001-10000-3,21,64,16777216,0.020000000,0.872705895,0.852705895,16777216,1,157402134.531,0,0
pv10g_16m_cbap,cbap_sba,2,11,0b000a01-0b004001-10000-3,10,64,16777216,0.020000000,0.890556429,0.870556429,16777216,1,154174644.548,0,0
pv10g_16m_cbap,cbap_sba,2,48,0b002f01-0b004001-10000-3,47,64,16777216,0.020000000,0.892957363,0.872957363,16777216,1,153750611.071,0,0
pv10g_16m_cbap,cbap_sba,2,38,0b002501-0b004001-10000-3,37,64,16777216,0.020000000,0.894396697,0.874396697,16777216,1,153497524.019,0,0
pv10g_16m_cbap,cbap_sba,2,20,0b001301-0b004001-10000-3,19,64,16777216,0.020000000,0.896861631,0.876861631,16777216,1,153066029.183,0,0
pv10g_16m_cbap,cbap_sba,2,41,0b002801-0b004001-10000-3,40,64,16777216,0.020000000,0.897392965,0.877392965,16777216,1,152973335.044,0,0
pv10g_16m_cbap,cbap_sba,2,50,0b003101-0b004001-10000-3,49,64,16777216,0.020000000,0.898027499,0.878027499,16777216,1,152862784.085,0,0
pv10g_16m_cbap,cbap_sba,2,61,0b003c01-0b004001-10000-3,60,64,16777216,0.020000000,0.898162033,0.878162033,16777216,1,152839365.580,0,0
pv10g_16m_cbap,cbap_sba,2,53,0b003401-0b004001-10000-3,52,64,16777216,0.020000000,0.899161367,0.879161367,16777216,1,152665634.590,0,0
pv10g_16m_cbap,cbap_sba,2,33,0b002001-0b004001-10000-3,32,64,16777216,0.020000000,0.903404701,0.883404701,16777216,1,151932322.579,0,0
pv10g_16m_cbap,cbap_sba,2,36,0b002301-0b004001-10000-3,35,64,16777216,0.020000000,0.903653635,0.883653635,16777216,1,151889521.736,0,0
pv10g_16m_cbap,cbap_sba,2,9,0b000801-0b004001-10000-3,8,64,16777216,0.020000000,0.906315369,0.886315369,16777216,1,151433375.404,0,0
pv10g_16m_cbap,cbap_sba,2,23,0b001601-0b004001-10000-3,22,64,16777216,0.020000000,0.907804303,0.887804303,16777216,1,151179406.933,0,0
pv10g_16m_cbap,cbap_sba,2,63,0b003e01-0b004001-10000-3,62,64,16777216,0.020000000,0.908462837,0.888462837,16777216,1,151067351.847,0,0
pv10g_16m_cbap,cbap_sba,2,29,0b001c01-0b004001-10000-3,28,64,16777216,0.020000000,0.912402171,0.892402171,16777216,1,150400494.711,0,0
pv10g_16m_cbap,cbap_sba,2,2,0b000101-0b004001-10000-3,1,64,16777216,0.020000000,0.912755105,0.892755105,16777216,1,150341036.694,0,0
pv10g_16m_cbap,cbap_sba,2,55,0b003601-0b004001-10000-3,54,64,16777216,0.020000000,0.914536039,0.894536039,16777216,1,150041722.355,0,0
pv10g_16m_cbap,cbap_sba,2,44,0b002b01-0b004001-10000-3,43,64,16777216,0.020000000,0.915379373,0.895379373,16777216,1,149900402.050,0,0
pv10g_16m_cbap,cbap_sba,2,46,0b002d01-0b004001-10000-3,45,64,16777216,0.020000000,0.915645907,0.895645907,16777216,1,149855793.401,0,0
pv10g_16m_cbap,cbap_sba,2,28,0b001b01-0b004001-10000-3,27,64,16777216,0.020000000,0.915978841,0.895978841,16777216,1,149800108.951,0,0
pv10g_16m_cbap,cbap_sba,2,47,0b002e01-0b004001-10000-3,46,64,16777216,0.020000000,0.917850975,0.897850975,16777216,1,149487756.585,0,0
pv10g_16m_cbap,cbap_sba,2,5,0b000401-0b004001-10000-3,4,64,16777216,0.020000000,0.918603909,0.898603909,16777216,1,149362501.827,0,0
pv10g_16m_cbap,cbap_sba,2,4,0b000301-0b004001-10000-3,3,64,16777216,0.020000000,0.919059243,0.899059243,16777216,1,149286856.283,0,0
pv10g_16m_cbap,cbap_sba,2,13,0b000c01-0b004001-10000-3,12,64,16777216,0.020000000,0.920193777,0.900193777,16777216,1,149098706.778,0,0
pv10g_16m_cbap,cbap_sba,2,21,0b001401-0b004001-10000-3,20,64,16777216,0.020000000,0.920371511,0.900371511,16777216,1,149069274.583,0,0
pv10g_16m_cbap,cbap_sba,2,15,0b000e01-0b004001-10000-3,14,64,16777216,0.020000000,0.920483645,0.900483645,16777216,1,149050711.521,0,0
pv10g_16m_cbap,cbap_sba,2,7,0b000601-0b004001-10000-3,6,64,16777216,0.020000000,0.921726179,0.901726179,16777216,1,148845327.025,0,0
pv10g_16m_cbap,cbap_sba,2,51,0b003201-0b004001-10000-3,50,64,16777216,0.020000000,0.921793513,0.901793513,16777216,1,148834213.226,0,0
pv10g_16m_cbap,cbap_sba,2,1,0b000001-0b004001-10000-3,0,64,16777216,0.020000000,0.921808047,0.901808047,16777216,1,148831814.538,0,0
pv10g_16m_cbap,cbap_sba,2,54,0b003501-0b004001-10000-3,53,64,16777216,0.020000000,0.923378581,0.903378581,16777216,1,148573068.725,0,0
pv10g_16m_cbap,cbap_sba,2,26,0b001901-0b004001-10000-3,25,64,16777216,0.020000000,0.924429115,0.904429115,16777216,1,148400494.604,0,0
pv10g_16m_cbap,cbap_sba,2,40,0b002701-0b004001-10000-3,39,64,16777216,0.020000000,0.924783649,0.904783649,16777216,1,148342344.768,0,0
pv10g_16m_cbap,cbap_sba,2,64,0b003f01-0b004001-10000-3,63,64,16777216,0.020000000,0.924817383,0.904817383,16777216,1,148336814.170,0,0
pv10g_16m_cbap,cbap_sba,2,12,0b000b01-0b004001-10000-3,11,64,16777216,0.020000000,0.924948717,0.904948717,16777216,1,148315286.246,0,0
pv10g_16m_cbap,cbap_sba,2,49,0b003001-0b004001-10000-3,48,64,16777216,0.020000000,0.925489651,0.905489651,16777216,1,148226683.598,0,0
pv10g_16m_cbap,cbap_sba,2,60,0b003b01-0b004001-10000-3,59,64,16777216,0.020000000,0.926139385,0.906139385,16777216,1,148120399.821,0,0
