flow_id,group_id,round_id,round_bytes,selected_rate_bps,max_rate_bps,phase_offset_ns,path_or_bottleneck_id
0,0,0,1334233276,10000000000,10000000000,0,84:1
1,1,0,16777216,10000000000,10000000000,0,84:1
2,1,0,16777216,10000000000,10000000000,0,84:1
3,1,0,16777216,10000000000,10000000000,0,84:1
4,1,0,16777216,10000000000,10000000000,0,84:1
5,1,0,16777216,10000000000,10000000000,0,84:1
6,1,0,16777216,10000000000,10000000000,0,84:1
7,1,0,16777216,10000000000,10000000000,0,84:1
8,1,0,16777216,10000000000,10000000000,0,84:1
9,1,0,16777216,10000000000,10000000000,0,84:1
10,1,0,16777216,10000000000,10000000000,0,84:1
11,1,0,16777216,10000000000,10000000000,0,84:1
12,1,0,16777216,10000000000,10000000000,0,84:1
13,1,0,16777216,10000000000,10000000000,0,84:1
14,1,0,16777216,10000000000,10000000000,0,84:1
15,1,0,16777216,10000000000,10000000000,0,84:1
16,1,0,16777216,10000000000,10000000000,0,84:1
17,1,0,16777216,10000000000,10000000000,0,84:1
18,1,0,16777216,10000000000,10000000000,0,84:1
19,1,0,16777216,10000000000,10000000000,0,84:1
20,1,0,16777216,10000000000,10000000000,0,84:1
21,1,0,16777216,10000000000,10000000000,0,84:1
22,1,0,16777216,10000000000,10000000000,0,84:1
23,1,0,16777216,10000000000,10000000000,0,84:1
24,1,0,16777216,10000000000,10000000000,0,84:1
25,1,0,16777216,10000000000,10000000000,0,84:1
26,1,0,16777216,10000000000,10000000000,0,84:1
27,1,0,16777216,10000000000,10000000000,0,84:1
28,1,0,16777216,10000000000,10000000000,0,84:1
29,1,0,16777216,10000000000,10000000000,0,84:1
30,1,0,16777216,10000000000,10000000000,0,84:1
31,1,0,16777216,10000000000,10000000000,0,84:1
32,1,0,16777216,10000000000,10000000000,0,84:1
33,1,0,16777216,10000000000,10000000000,0,84:1
34,1,0,16777216,10000000000,10000000000,0,84:1
35,1,0,16777216,10000000000,10000000000,0,84:1
36,1,0,16777216,10000000000,10000000000,0,84:1
37,1,0,16777216,10000000000,10000000000,0,84:1
38,1,0,16777216,10000000000,10000000000,0,84:1
39,1,0,16777216,10000000000,10000000000,0,84:1
40,1,0,16777216,10000000000,10000000000,0,84:1
41,1,0,16777216,10000000000,10000000000,0,84:1
42,1,0,16777216,10000000000,10000000000,0,84:1
43,1,0,16777216,10000000000,10000000000,0,84:1
44,1,0,16777216,10000000000,10000000000,0,84:1
45,1,0,16777216,10000000000,10000000000,0,84:1
46,1,0,16777216,10000000000,10000000000,0,84:1
47,1,0,16777216,10000000000,10000000000,0,84:1
48,1,0,16777216,10000000000,10000000000,0,84:1
49,1,0,16777216,10000000000,10000000000,0,84:1
50,1,0,16777216,10000000000,10000000000,0,84:1
51,1,0,16777216,10000000000,10000000000,0,84:1
52,1,0,16777216,10000000000,10000000000,0,84:1
53,1,0,16777216,10000000000,10000000000,0,84:1
54,1,0,16777216,10000000000,10000000000,0,84:1
55,1,0,16777216,10000000000,10000000000,0,84:1
56,1,0,16777216,10000000000,10000000000,0,84:1
57,1,0,16777216,10000000000,10000000000,0,84:1
58,1,0,16777216,10000000000,10000000000,0,84:1
59,1,0,16777216,10000000000,10000000000,0,84:1
60,1,0,16777216,10000000000,10000000000,0,84:1
61,1,0,16777216,10000000000,10000000000,0,84:1
62,1,0,16777216,10000000000,10000000000,0,84:1
63,1,0,16777216,10000000000,10000000000,0,84:1
64,1,0,16777216,10000000000,10000000000,0,84:1
