scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
pv10g_16m_dcqn,dcqcn,2,31,30,64,16777216,14999999,20000000,866459726,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,21,20,64,16777216,14999999,20000000,882455860,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,58,57,64,16777216,14999999,20000000,893068794,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,50,49,64,16777216,14999999,20000000,896621728,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,49,48,64,16777216,14999999,20000000,898324262,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,55,54,64,16777216,14999999,20000000,900243596,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,10,9,64,16777216,14999999,20000000,901720530,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,27,26,64,16777216,14999999,20000000,904957464,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,15,14,64,16777216,14999999,20000000,905087198,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,24,23,64,16777216,14999999,20000000,905776932,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,41,40,64,16777216,14999999,20000000,909901066,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,25,24,64,16777216,14999999,20000000,910409200,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,47,46,64,16777216,14999999,20000000,911386934,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,30,29,64,16777216,14999999,20000000,911513468,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,42,41,64,16777216,14999999,20000000,911585602,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,19,18,64,16777216,14999999,20000000,912544936,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,8,7,64,16777216,14999999,20000000,913231470,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,29,28,64,16777216,14999999,20000000,913442804,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,39,38,64,16777216,14999999,20000000,914876538,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,43,42,64,16777216,14999999,20000000,916207072,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,32,31,64,16777216,14999999,20000000,917173606,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,7,6,64,16777216,14999999,20000000,917178540,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,13,12,64,16777216,14999999,20000000,918494674,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,1,0,64,16777216,14999999,20000000,919700408,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,51,50,64,16777216,14999999,20000000,919925342,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,44,43,64,16777216,14999999,20000000,920667876,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,4,3,64,16777216,14999999,20000000,921088810,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,46,45,64,16777216,14999999,20000000,921207344,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,16,15,64,16777216,14999999,20000000,921387478,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,64,63,64,16777216,14999999,20000000,921753212,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,23,22,64,16777216,14999999,20000000,921954146,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,35,34,64,16777216,14999999,20000000,924141480,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,52,51,64,16777216,14999999,20000000,924701614,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,5,4,64,16777216,14999999,20000000,924892148,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,22,21,64,16777216,14999999,20000000,925711482,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,34,33,64,16777216,14999999,20000000,926306016,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,56,55,64,16777216,14999999,20000000,926598950,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,20,19,64,16777216,14999999,20000000,927695884,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,14,13,64,16777216,14999999,20000000,928194418,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,57,56,64,16777216,14999999,20000000,928239352,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,6,5,64,16777216,14999999,20000000,928466686,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,18,17,64,16777216,14999999,20000000,930062020,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,36,35,64,16777216,14999999,20000000,930315754,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,48,47,64,16777216,14999999,20000000,930592688,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,17,16,64,16777216,14999999,20000000,931377622,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,28,27,64,16777216,14999999,20000000,932260156,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,53,52,64,16777216,14999999,20000000,932938690,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,45,44,64,16777216,14999999,20000000,933196424,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,54,53,64,16777216,14999999,20000000,934001358,0,20000000,16777216
pv10g_16m_dcqn,dcqcn,2,9,8,64,16777216,14999999,20000000,934203092,0,20000000,16777216
