scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
pv10g_16m_hpcc,hpcc,2,0,0b004101-0b004001-10000-3,65,64,1334233276,0.010000000,,,24800552,0,214259628.510,0,0
pv10g_16m_hpcc,hpcc,2,1,0b000001-0b004001-10000-3,0,64,16777216,0.020000000,,,15873648,0,138634480.349,0,0
pv10g_16m_hpcc,hpcc,2,2,0b000101-0b004001-10000-3,1,64,16777216,0.020000000,,,15884120,0,138725938.865,0,0
pv10g_16m_hpcc,hpcc,2,3,0b000201-0b004001-10000-3,2,64,16777216,0.020000000,,,15923152,0,139066829.694,0,0
pv10g_16m_hpcc,hpcc,2,4,0b000301-0b004001-10000-3,3,64,16777216,0.020000000,,,15840328,0,138343475.983,0,0
pv10g_16m_hpcc,hpcc,2,5,0b000401-0b004001-10000-3,4,64,16777216,0.020000000,,,15866032,0,138567965.066,0,0
pv10g_16m_hpcc,hpcc,2,6,0b000501-0b004001-10000-3,5,64,16777216,0.020000000,,,15841280,0,138351790.393,0,0
pv10g_16m_hpcc,hpcc,2,7,0b000601-0b004001-10000-3,6,64,16777216,0.020000000,,,15846040,0,138393362.445,0,0
pv10g_16m_hpcc,hpcc,2,8,0b000701-0b004001-10000-3,7,64,16777216,0.020000000,,,15928864,0,139116716.157,0,0
pv10g_16m_hpcc,hpcc,2,9,0b000801-0b004001-10000-3,8,64,16777216,0.020000000,,,15922200,0,139058515.284,0,0
pv10g_16m_hpcc,hpcc,2,10,0b000901-0b004001-10000-3,9,64,16777216,0.020000000,,,15743224,0,137495406.114,0,0
pv10g_16m_hpcc,hpcc,2,11,0b000a01-0b004001-10000-3,10,64,16777216,0.020000000,,,15865080,0,138559650.655,0,0
pv10g_16m_hpcc,hpcc,2,12,0b000b01-0b004001-10000-3,11,64,16777216,0.020000000,,,15902208,0,138883912.664,0,0
pv10g_16m_hpcc,hpcc,2,13,0b000c01-0b004001-10000-3,12,64,16777216,0.020000000,,,15869840,0,138601222.707,0,0
pv10g_16m_hpcc,hpcc,2,14,0b000d01-0b004001-10000-3,13,64,16777216,0.020000000,,,15972656,0,139499179.039,0,0
pv10g_16m_hpcc,hpcc,2,15,0b000e01-0b004001-10000-3,14,64,16777216,0.020000000,,,15900304,0,138867283.843,0,0
pv10g_16m_hpcc,hpcc,2,16,0b000f01-0b004001-10000-3,15,64,16777216,0.020000000,,,15912680,0,138975371.179,0,0
pv10g_16m_hpcc,hpcc,2,17,0b001001-0b004001-10000-3,16,64,16777216,0.020000000,,,15882216,0,138709310.044,0,0
pv10g_16m_hpcc,hpcc,2,18,0b001101-0b004001-10000-3,17,64,16777216,0.020000000,,,15908872,0,138942113.537,0,0
