scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
pv10g_1m_dcql,dcqcn,2,31,30,64,1048576,14999999,20000000,68476663,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,55,54,64,1048576,14999999,20000000,70172894,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,50,49,64,1048576,14999999,20000000,70394130,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,14,13,64,1048576,14999999,20000000,72571002,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,54,53,64,1048576,14999999,20000000,72938764,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,10,9,64,1048576,14999999,20000000,73287617,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,13,12,64,1048576,14999999,20000000,73578415,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,43,42,64,1048576,14999999,20000000,73853874,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,8,7,64,1048576,14999999,20000000,73909452,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,1,0,64,1048576,14999999,20000000,74705329,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,64,63,64,1048576,14999999,20000000,74769707,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,44,43,64,1048576,14999999,20000000,75085310,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,37,36,64,1048576,14999999,20000000,75116829,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,23,22,64,1048576,14999999,20000000,75117207,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,60,59,64,1048576,14999999,20000000,75123682,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,19,18,64,1048576,14999999,20000000,75448157,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,17,16,64,1048576,14999999,20000000,75458966,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,3,2,64,1048576,14999999,20000000,75533000,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,49,48,64,1048576,14999999,20000000,75820316,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,24,23,64,1048576,14999999,20000000,76188647,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,46,45,64,1048576,14999999,20000000,76263425,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,48,47,64,1048576,14999999,20000000,76298203,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,61,60,64,1048576,14999999,20000000,76388981,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,53,52,64,1048576,14999999,20000000,76470464,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,57,56,64,1048576,14999999,20000000,76588235,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,30,29,64,1048576,14999999,20000000,76666794,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,5,4,64,1048576,14999999,20000000,76886640,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,42,41,64,1048576,14999999,20000000,76908868,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,40,39,64,1048576,14999999,20000000,77076422,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,7,6,64,1048576,14999999,20000000,77186417,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,2,1,64,1048576,14999999,20000000,77238288,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,52,51,64,1048576,14999999,20000000,77304018,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,59,58,64,1048576,14999999,20000000,77387735,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,62,61,64,1048576,14999999,20000000,77456832,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,58,57,64,1048576,14999999,20000000,77506309,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,47,46,64,1048576,14999999,20000000,77511714,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,45,44,64,1048576,14999999,20000000,77517539,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,16,15,64,1048576,14999999,20000000,77527009,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,51,50,64,1048576,14999999,20000000,77646766,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,33,32,64,1048576,14999999,20000000,77821063,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,63,62,64,1048576,14999999,20000000,78280188,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,34,33,64,1048576,14999999,20000000,78683489,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,36,35,64,1048576,14999999,20000000,78797262,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,12,11,64,1048576,14999999,20000000,78868031,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,22,21,64,1048576,14999999,20000000,78897649,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,20,19,64,1048576,14999999,20000000,79033144,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,11,10,64,1048576,14999999,20000000,79259664,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,18,17,64,1048576,14999999,20000000,79375846,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,6,5,64,1048576,14999999,20000000,79598876,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,9,8,64,1048576,14999999,20000000,79604054,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,32,31,64,1048576,14999999,20000000,79654456,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,56,55,64,1048576,14999999,20000000,79902276,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,4,3,64,1048576,14999999,20000000,80012545,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,27,26,64,1048576,14999999,20000000,80061224,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,35,34,64,1048576,14999999,20000000,80117356,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,28,27,64,1048576,14999999,20000000,80130144,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,39,38,64,1048576,14999999,20000000,80201632,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,41,40,64,1048576,14999999,20000000,80395452,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,38,37,64,1048576,14999999,20000000,80412338,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,15,14,64,1048576,14999999,20000000,80469952,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,21,20,64,1048576,14999999,20000000,80509585,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,26,25,64,1048576,14999999,20000000,80527066,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,25,24,64,1048576,14999999,20000000,80694062,0,20000000,1048576
pv10g_1m_dcql,dcqcn,2,29,28,64,1048576,14999999,20000000,81233205,0,20000000,1048576
