scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
pv10g_256k_cbap,cbap_sba,2,1,0b000001-0b004001-10000-3,0,64,262144,0.020000000,0.034254875,0.014254875,262144,1,147118231.482,0,0
pv10g_256k_cbap,cbap_sba,2,2,0b000101-0b004001-10000-3,1,64,262144,0.020000000,0.034255989,0.014255989,262144,1,147106735.282,0,0
pv10g_256k_cbap,cbap_sba,2,3,0b000201-0b004001-10000-3,2,64,262144,0.020000000,0.034256303,0.014256303,262144,1,147103495.205,0,0
pv10g_256k_cbap,cbap_sba,2,4,0b000301-0b004001-10000-3,3,64,262144,0.020000000,0.034256617,0.014256617,262144,1,147100255.271,0,0
pv10g_256k_cbap,cbap_sba,2,5,0b000401-0b004001-10000-3,4,64,262144,0.020000000,0.034256931,0.014256931,262144,1,147097015.480,0,0
pv10g_256k_cbap,cbap_sba,2,6,0b000501-0b004001-10000-3,5,64,262144,0.020000000,0.034257245,0.014257245,262144,1,147093775.831,0,0
pv10g_256k_cbap,cbap_sba,2,7,0b000601-0b004001-10000-3,6,64,262144,0.020000000,0.034257559,0.014257559,262144,1,147090536.325,0,0
pv10g_256k_cbap,cbap_sba,2,8,0b000701-0b004001-10000-3,7,64,262144,0.020000000,0.034257873,0.014257873,262144,1,147087296.962,0,0
pv10g_256k_cbap,cbap_sba,2,9,0b000801-0b004001-10000-3,8,64,262144,0.020000000,0.034258187,0.014258187,262144,1,147084057.742,0,0
pv10g_256k_cbap,cbap_sba,2,10,0b000901-0b004001-10000-3,9,64,262144,0.020000000,0.034258501,0.014258501,262144,1,147080818.664,0,0
pv10g_256k_cbap,cbap_sba,2,11,0b000a01-0b004001-10000-3,10,64,262144,0.020000000,0.034258815,0.014258815,262144,1,147077579.729,0,0
pv10g_256k_cbap,cbap_sba,2,12,0b000b01-0b004001-10000-3,11,64,262144,0.020000000,0.034259129,0.014259129,262144,1,147074340.936,0,0
pv10g_256k_cbap,cbap_sba,2,13,0b000c01-0b004001-10000-3,12,64,262144,0.020000000,0.034259443,0.014259443,262144,1,147071102.286,0,0
pv10g_256k_cbap,cbap_sba,2,14,0b000d01-0b004001-10000-3,13,64,262144,0.020000000,0.034259757,0.014259757,262144,1,147067863.779,0,0
pv10g_256k_cbap,cbap_sba,2,15,0b000e01-0b004001-10000-3,14,64,262144,0.020000000,0.034260071,0.014260071,262144,1,147064625.415,0,0
pv10g_256k_cbap,cbap_sba,2,16,0b000f01-0b004001-10000-3,15,64,262144,0.020000000,0.034260385,0.014260385,262144,1,147061387.193,0,0
pv10g_256k_cbap,cbap_sba,2,17,0b001001-0b004001-10000-3,16,64,262144,0.020000000,0.034260699,0.014260699,262144,1,147058149.113,0,0
pv10g_256k_cbap,cbap_sba,2,18,0b001101-0b004001-10000-3,17,64,262144,0.020000000,0.034261013,0.014261013,262144,1,147054911.176,0,0
pv10g_256k_cbap,cbap_sba,2,19,0b001201-0b004001-10000-3,18,64,262144,0.020000000,0.034261327,0.014261327,262144,1,147051673.382,0,0
pv10g_256k_cbap,cbap_sba,2,20,0b001301-0b004001-10000-3,19,64,262144,0.020000000,0.034261641,0.014261641,262144,1,147048435.731,0,0
pv10g_256k_cbap,cbap_sba,2,21,0b001401-0b004001-10000-3,20,64,262144,0.020000000,0.034261955,0.014261955,262144,1,147045198.221,0,0
pv10g_256k_cbap,cbap_sba,2,22,0b001501-0b004001-10000-3,21,64,262144,0.020000000,0.034262269,0.014262269,262144,1,147041960.855,0,0
pv10g_256k_cbap,cbap_sba,2,23,0b001601-0b004001-10000-3,22,64,262144,0.020000000,0.034262583,0.014262583,262144,1,147038723.631,0,0
pv10g_256k_cbap,cbap_sba,2,24,0b001701-0b004001-10000-3,23,64,262144,0.020000000,0.034262897,0.014262897,262144,1,147035486.549,0,0
pv10g_256k_cbap,cbap_sba,2,25,0b001801-0b004001-10000-3,24,64,262144,0.020000000,0.034263211,0.014263211,262144,1,147032249.611,0,0
pv10g_256k_cbap,cbap_sba,2,26,0b001901-0b004001-10000-3,25,64,262144,0.020000000,0.034263525,0.014263525,262144,1,147029012.814,0,0
pv10g_256k_cbap,cbap_sba,2,27,0b001a01-0b004001-10000-3,26,64,262144,0.020000000,0.034263839,0.014263839,262144,1,147025776.160,0,0
pv10g_256k_cbap,cbap_sba,2,28,0b001b01-0b004001-10000-3,27,64,262144,0.020000000,0.034264153,0.014264153,262144,1,147022539.649,0,0
pv10g_256k_cbap,cbap_sba,2,29,0b001c01-0b004001-10000-3,28,64,262144,0.020000000,0.034265267,0.014265267,262144,1,147011058.398,0,0
pv10g_256k_cbap,cbap_sba,2,30,0b001d01-0b004001-10000-3,29,64,262144,0.020000000,0.034265581,0.014265581,262144,1,147007822.535,0,0
pv10g_256k_cbap,cbap_sba,2,31,0b001e01-0b004001-10000-3,30,64,262144,0.020000000,0.034265895,0.014265895,262144,1,147004586.814,0,0
pv10g_256k_cbap,cbap_sba,2,32,0b001f01-0b004001-10000-3,31,64,262144,0.020000000,0.034266209,0.014266209,262144,1,147001351.235,0,0
pv10g_256k_cbap,cbap_sba,2,33,0b002001-0b004001-10000-3,32,64,262144,0.020000000,0.034266523,0.014266523,262144,1,146998115.799,0,0
pv10g_256k_cbap,cbap_sba,2,34,0b002101-0b004001-10000-3,33,64,262144,0.020000000,0.034266837,0.014266837,262144,1,146994880.505,0,0
pv10g_256k_cbap,cbap_sba,2,35,0b002201-0b004001-10000-3,34,64,262144,0.020000000,0.034267151,0.014267151,262144,1,146991645.354,0,0
pv10g_256k_cbap,cbap_sba,2,36,0b002301-0b004001-10000-3,35,64,262144,0.020000000,0.034267465,0.014267465,262144,1,146988410.345,0,0
pv10g_256k_cbap,cbap_sba,2,37,0b002401-0b004001-10000-3,36,64,262144,0.020000000,0.034267779,0.014267779,262144,1,146985175.478,0,0
pv10g_256k_cbap,cbap_sba,2,38,0b002501-0b004001-10000-3,37,64,262144,0.020000000,0.034268093,0.014268093,262144,1,146981940.754,0,0
pv10g_256k_cbap,cbap_sba,2,39,0b002601-0b004001-10000-3,38,64,262144,0.020000000,0.034268407,0.014268407,262144,1,146978706.172,0,0
pv10g_256k_cbap,cbap_sba,2,40,0b002701-0b004001-10000-3,39,64,262144,0.020000000,0.034268721,0.014268721,262144,1,146975471.733,0,0
pv10g_256k_cbap,cbap_sba,2,41,0b002801-0b004001-10000-3,40,64,262144,0.020000000,0.034269035,0.014269035,262144,1,146972237.436,0,0
pv10g_256k_cbap,cbap_sba,2,42,0b002901-0b004001-10000-3,41,64,262144,0.020000000,0.034269349,0.014269349,262144,1,146969003.281,0,0
pv10g_256k_cbap,cbap_sba,2,43,0b002a01-0b004001-10000-3,42,64,262144,0.020000000,0.034269663,0.014269663,262144,1,146965769.269,0,0
pv10g_256k_cbap,cbap_sba,2,44,0b002b01-0b004001-10000-3,43,64,262144,0.020000000,0.034269977,0.014269977,262144,1,146962535.399,0,0
pv10g_256k_cbap,cbap_sba,2,45,0b002c01-0b004001-10000-3,44,64,262144,0.020000000,0.034270291,0.014270291,262144,1,146959301.671,0,0
pv10g_256k_cbap,cbap_sba,2,46,0b002d01-0b004001-10000-3,45,64,262144,0.020000000,0.034270605,0.014270605,262144,1,146956068.085,0,0
pv10g_256k_cbap,cbap_sba,2,47,0b002e01-0b004001-10000-3,46,64,262144,0.020000000,0.034270919,0.014270919,262144,1,146952834.642,0,0
pv10g_256k_cbap,cbap_sba,2,48,0b002f01-0b004001-10000-3,47,64,262144,0.020000000,0.034271233,0.014271233,262144,1,146949601.341,0,0
pv10g_256k_cbap,cbap_sba,2,49,0b003001-0b004001-10000-3,48,64,262144,0.020000000,0.034271547,0.014271547,262144,1,146946368.183,0,0
pv10g_256k_cbap,cbap_sba,2,50,0b003101-0b004001-10000-3,49,64,262144,0.020000000,0.034271861,0.014271861,262144,1,146943135.166,0,0
pv10g_256k_cbap,cbap_sba,2,51,0b003201-0b004001-10000-3,50,64,262144,0.020000000,0.034272175,0.014272175,262144,1,146939902.292,0,0
pv10g_256k_cbap,cbap_sba,2,52,0b003301-0b004001-10000-3,51,64,262144,0.020000000,0.034272489,0.014272489,262144,1,146936669.561,0,0
pv10g_256k_cbap,cbap_sba,2,53,0b003401-0b004001-10000-3,52,64,262144,0.020000000,0.034272803,0.014272803,262144,1,146933436.971,0,0
pv10g_256k_cbap,cbap_sba,2,54,0b003501-0b004001-10000-3,53,64,262144,0.020000000,0.034273117,0.014273117,262144,1,146930204.524,0,0
pv10g_256k_cbap,cbap_sba,2,55,0b003601-0b004001-10000-3,54,64,262144,0.020000000,0.034273431,0.014273431,262144,1,146926972.219,0,0
pv10g_256k_cbap,cbap_sba,2,56,0b003701-0b004001-10000-3,55,64,262144,0.020000000,0.034273745,0.014273745,262144,1,146923740.056,0,0
pv10g_256k_cbap,cbap_sba,2,57,0b003801-0b004001-10000-3,56,64,262144,0.020000000,0.034274059,0.014274059,262144,1,146920508.035,0,0
pv10g_256k_cbap,cbap_sba,2,58,0b003901-0b004001-10000-3,57,64,262144,0.020000000,0.034274373,0.014274373,262144,1,146917276.156,0,0
pv10g_256k_cbap,cbap_sba,2,59,0b003a01-0b004001-10000-3,58,64,262144,0.020000000,0.034274687,0.014274687,262144,1,146914044.420,0,0
pv10g_256k_cbap,cbap_sba,2,60,0b003b01-0b004001-10000-3,59,64,262144,0.020000000,0.034275001,0.014275001,262144,1,146910812.826,0,0
pv10g_256k_cbap,cbap_sba,2,61,0b003c01-0b004001-10000-3,60,64,262144,0.020000000,0.034275315,0.014275315,262144,1,146907581.374,0,0
pv10g_256k_cbap,cbap_sba,2,62,0b003d01-0b004001-10000-3,61,64,262144,0.020000000,0.034275629,0.014275629,262144,1,146904350.064,0,0
pv10g_256k_cbap,cbap_sba,2,63,0b003e01-0b004001-10000-3,62,64,262144,0.020000000,0.034275943,0.014275943,262144,1,146901118.896,0,0
pv10g_256k_cbap,cbap_sba,2,64,0b003f01-0b004001-10000-3,63,64,262144,0.020000000,0.034276257,0.014276257,262144,1,146897887.871,0,0
pv10g_256k_cbap,cbap_sba,2,0,0b004101-0b004001-10000-3,65,64,68540363,0.010005000,,,22645224,0,4768042953.020,0,0
