scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
pv10g_256k_dcql,dcqcn,2,46,45,64,262144,14999999,20000000,33983128,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,2,1,64,262144,14999999,20000000,34077842,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,47,46,64,262144,14999999,20000000,34089356,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,5,4,64,262144,14999999,20000000,34130054,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,59,58,64,262144,14999999,20000000,34146518,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,12,11,64,262144,14999999,20000000,34147533,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,17,16,64,262144,14999999,20000000,34151505,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,55,54,64,262144,14999999,20000000,34180038,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,23,22,64,262144,14999999,20000000,34364454,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,20,19,64,262144,14999999,20000000,34404429,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,24,23,64,262144,14999999,20000000,34410743,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,21,20,64,262144,14999999,20000000,34414310,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,32,31,64,262144,14999999,20000000,34468038,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,4,3,64,262144,14999999,20000000,34481152,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,10,9,64,262144,14999999,20000000,34483866,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,50,49,64,262144,14999999,20000000,34493780,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,45,44,64,262144,14999999,20000000,34552910,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,37,36,64,262144,14999999,20000000,34594107,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,34,33,64,262144,14999999,20000000,34594421,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,36,35,64,262144,14999999,20000000,34606400,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,54,53,64,262144,14999999,20000000,34608314,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,61,60,64,262144,14999999,20000000,34610228,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,57,56,64,262144,14999999,20000000,34653307,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,16,15,64,262144,14999999,20000000,34671537,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,25,24,64,262144,14999999,20000000,34696114,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,56,55,64,262144,14999999,20000000,34709260,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,11,10,64,262144,14999999,20000000,34721978,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,6,5,64,262144,14999999,20000000,34725468,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,28,27,64,262144,14999999,20000000,34753969,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,13,12,64,262144,14999999,20000000,34772461,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,42,41,64,262144,14999999,20000000,34775975,0,20000000,262144
pv10g_256k_dcql,dcqcn,2,9,8,64,262144,14999999,20000000,34777354,0,20000000,262144
