scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
pv10g_256k_hpcc,hpcc,2,0,0b004101-0b004001-10000-3,0,0,1,0.010000000,0.000000000,0.000000000,0.000000000,68540363,10000000000,100000000,8000000000,0,0.000005808,0,1303542,0,68540363,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,1,0b000001-0b004001-10000-3,0,1,64,0.020000000,0.034462267,0.034486075,0.014486075,262144,10000000000,100000000,154522094,0,0.000016274,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,2,0b000101-0b004001-10000-3,0,1,64,0.020000000,0.034828158,0.034851252,0.014851252,262144,10000000000,100000000,207403337,0,0.000056306,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,3,0b000201-0b004001-10000-3,0,1,64,0.020000000,0.035192648,0.035206527,0.015206527,262144,10000000000,100000000,1013664952,0,0.000096338,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,4,0b000301-0b004001-10000-3,0,1,64,0.020000000,0.034729985,0.034746514,0.014746514,262144,10000000000,100000000,220770995,0,0.000017108,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,5,0b000401-0b004001-10000-3,0,1,64,0.020000000,0.034822895,0.034843886,0.014843886,262144,10000000000,100000000,227538151,0,0.000019610,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,6,0b000501-0b004001-10000-3,0,1,64,0.020000000,0.034639126,0.034662353,0.014662353,262144,10000000000,100000000,239984512,0,0.000017942,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,7,0b000601-0b004001-10000-3,0,1,64,0.020000000,0.035144218,0.035158530,0.015158530,262144,10000000000,100000000,1171383538,0,0.000057974,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,8,0b000701-0b004001-10000-3,0,1,64,0.020000000,0.035004305,0.035020106,0.015020106,262144,10000000000,100000000,313477419,0,0.000059642,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,9,0b000801-0b004001-10000-3,0,1,64,0.020000000,0.034827109,0.034849237,0.014849237,262144,10000000000,100000000,241045264,0,0.000018776,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,10,0b000901-0b004001-10000-3,0,1,64,0.020000000,0.035050483,0.035066836,0.015066836,262144,10000000000,100000000,518979238,0,0.000020444,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,11,0b000a01-0b004001-10000-3,0,1,64,0.020000000,0.034353916,0.034376127,0.014376127,262144,10000000000,100000000,149045507,0,0.000023780,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,12,0b000b01-0b004001-10000-3,0,1,64,0.020000000,0.035178727,0.035192520,0.015192520,262144,10000000000,100000000,1324921777,0,0.000063812,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,13,0b000c01-0b004001-10000-3,0,1,64,0.020000000,0.034364725,0.034384814,0.014384814,262144,10000000000,100000000,115055768,0,0.000021278,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,14,0b000d01-0b004001-10000-3,0,1,64,0.020000000,0.035067532,0.035083181,0.015083181,262144,10000000000,100000000,472668042,0,0.000027950,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,15,0b000e01-0b004001-10000-3,0,1,64,0.020000000,0.035112968,0.035126636,0.015126636,262144,10000000000,100000000,1182539011,0,0.000022112,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,16,0b000f01-0b004001-10000-3,0,1,64,0.020000000,0.035003392,0.035018091,0.015018091,262144,10000000000,100000000,207110201,0,0.000067982,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,17,0b001001-0b004001-10000-3,0,1,64,0.020000000,0.035174268,0.035188152,0.015188152,262144,10000000000,100000000,1194320465,0,0.000026282,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,18,0b001101-0b004001-10000-3,0,1,64,0.020000000,0.035026747,0.035040415,0.015040415,262144,10000000000,100000000,409566758,0,0.000070484,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,19,0b001201-0b004001-10000-3,0,1,64,0.020000000,0.034715141,0.034736646,0.014736646,262144,10000000000,100000000,146528989,0,0.000025448,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,20,0b001301-0b004001-10000-3,0,1,64,0.020000000,0.034483535,0.034508453,0.014508453,262144,10000000000,100000000,177140815,0,0.000065480,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,21,0b001401-0b004001-10000-3,0,1,64,0.020000000,0.034752200,0.034769280,0.014769280,262144,10000000000,100000000,225755364,0,0.000032120,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,22,0b001501-0b004001-10000-3,0,1,64,0.020000000,0.035151156,0.035164824,0.015164824,262144,10000000000,100000000,1307853788,0,0.000072152,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,23,0b001601-0b004001-10000-3,0,1,64,0.020000000,0.034989584,0.035007119,0.015007119,262144,10000000000,100000000,294719228,0,0.000024614,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,24,0b001701-0b004001-10000-3,0,1,64,0.020000000,0.035060192,0.035074142,0.015074142,262144,10000000000,100000000,508941692,0,0.000111350,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,25,0b001801-0b004001-10000-3,0,1,64,0.020000000,0.034765704,0.034779461,0.014779461,262144,10000000000,100000000,193912241,0,0.000030452,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,26,0b001901-0b004001-10000-3,0,1,64,0.020000000,0.035143973,0.035158183,0.015158183,262144,10000000000,100000000,1058569884,0,0.000029618,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,27,0b001a01-0b004001-10000-3,0,1,64,0.020000000,0.034470262,0.034493094,0.014493094,262144,10000000000,100000000,168304272,0,0.000074654,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,28,0b001b01-0b004001-10000-3,0,1,64,0.020000000,0.034663881,0.034692584,0.014692584,262144,10000000000,100000000,145324826,0,0.000069650,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,29,0b001c01-0b004001-10000-3,0,1,64,0.020000000,0.034600175,0.034616970,0.014616970,262144,10000000000,100000000,198961164,0,0.000034622,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,30,0b001d01-0b004001-10000-3,0,1,64,0.020000000,0.034658603,0.034687233,0.014687233,262144,10000000000,100000000,150550214,0,0.000036290,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,31,0b001e01-0b004001-10000-3,0,1,64,0.020000000,0.035058512,0.035072858,0.015072858,262144,10000000000,100000000,366300347,0,0.000033788,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,32,0b001f01-0b004001-10000-3,0,1,64,0.020000000,0.034722961,0.034742831,0.014742831,262144,10000000000,100000000,153199799,0,0.000028784,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,33,0b002001-0b004001-10000-3,0,1,64,0.020000000,0.034809540,0.034827346,0.014827346,262144,10000000000,100000000,219836657,0,0.000038792,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,34,0b002101-0b004001-10000-3,0,1,64,0.020000000,0.034546586,0.034562993,0.014562993,262144,10000000000,100000000,145217864,0,0.000032954,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,35,0b002201-0b004001-10000-3,0,1,64,0.020000000,0.035033631,0.035050770,0.015050770,262144,10000000000,100000000,416428155,0,0.000037958,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,36,0b002301-0b004001-10000-3,0,1,64,0.020000000,0.035057111,0.035070843,0.015070843,262144,10000000000,100000000,380660456,0,0.000077990,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,37,0b002401-0b004001-10000-3,0,1,64,0.020000000,0.034986390,0.035003436,0.015003436,262144,10000000000,100000000,239428548,0,0.000037124,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,38,0b002501-0b004001-10000-3,0,1,64,0.020000000,0.034973481,0.034991066,0.014991066,262144,10000000000,100000000,315472420,0,0.000041294,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,39,0b002601-0b004001-10000-3,0,1,64,0.020000000,0.033898163,0.033926262,0.013926262,262144,10000000000,100000000,159678537,0,0.000042128,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,40,0b002701-0b004001-10000-3,0,1,64,0.020000000,0.034923901,0.034942786,0.014942786,262144,10000000000,100000000,361149836,0,0.000081326,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,41,0b002801-0b004001-10000-3,0,1,64,0.020000000,0.035051250,0.035067183,0.015067183,262144,10000000000,100000000,485847770,0,0.000040460,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,42,0b002901-0b004001-10000-3,0,1,64,0.020000000,0.034902692,0.034917700,0.014917700,262144,10000000000,100000000,258622746,0,0.000080492,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,43,0b002a01-0b004001-10000-3,0,1,64,0.020000000,0.035082566,0.035096622,0.015096622,262144,10000000000,100000000,448092621,0,0.000045464,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,44,0b002b01-0b004001-10000-3,0,1,64,0.020000000,0.035161817,0.035176477,0.015176477,262144,10000000000,100000000,1033524911,0,0.000119690,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,45,0b002c01-0b004001-10000-3,0,1,64,0.020000000,0.034810932,0.034828527,0.014828527,262144,10000000000,100000000,256644727,0,0.000044630,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,46,0b002d01-0b004001-10000-3,0,1,64,0.020000000,0.035088127,0.035102670,0.015102670,262144,10000000000,100000000,629471701,0,0.000039626,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,47,0b002e01-0b004001-10000-3,0,1,64,0.020000000,0.034748201,0.034763095,0.014763095,262144,10000000000,100000000,205872878,0,0.000079658,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,48,0b002f01-0b004001-10000-3,0,1,64,0.020000000,0.034654500,0.034681048,0.014681048,262144,10000000000,100000000,253027506,0,0.000084662,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,49,0b003001-0b004001-10000-3,0,1,64,0.020000000,0.035120761,0.035134429,0.015134429,262144,10000000000,100000000,979898871,0,0.000046298,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,50,0b003101-0b004001-10000-3,0,1,64,0.020000000,0.035092647,0.035106323,0.015106323,262144,10000000000,100000000,559982763,0,0.000090500,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,51,0b003201-0b004001-10000-3,0,1,64,0.020000000,0.034998348,0.035012016,0.015012016,262144,10000000000,100000000,330935038,0,0.000133034,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,52,0b003301-0b004001-10000-3,0,1,64,0.020000000,0.035000091,0.035014031,0.015014031,262144,10000000000,100000000,438351238,0,0.000048800,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,53,0b003401-0b004001-10000-3,0,1,64,0.020000000,0.034913045,0.034928261,0.014928261,262144,10000000000,100000000,334875096,0,0.000050468,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,54,0b003501-0b004001-10000-3,0,1,64,0.020000000,0.034932171,0.034947303,0.014947303,262144,10000000000,100000000,361552905,0,0.000043796,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,55,0b003601-0b004001-10000-3,0,1,64,0.020000000,0.035047917,0.035063153,0.015063153,262144,10000000000,100000000,493614569,0,0.000083828,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,56,0b003701-0b004001-10000-3,0,1,64,0.020000000,0.034558219,0.034575850,0.014575850,262144,10000000000,100000000,157279870,0,0.000094670,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,57,0b003801-0b004001-10000-3,0,1,64,0.020000000,0.034881857,0.034898650,0.014898650,262144,10000000000,100000000,276581189,0,0.000049634,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,58,0b003901-0b004001-10000-3,0,1,64,0.020000000,0.035015137,0.035031295,0.015031295,262144,10000000000,100000000,464469825,0,0.000054638,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,59,0b003a01-0b004001-10000-3,0,1,64,0.020000000,0.035101299,0.035116176,0.015116176,262144,10000000000,100000000,580516776,0,0.000052970,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,60,0b003b01-0b004001-10000-3,0,1,64,0.020000000,0.034885036,0.034900665,0.014900665,262144,10000000000,100000000,301674926,0,0.000047966,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,61,0b003c01-0b004001-10000-3,0,1,64,0.020000000,0.034984118,0.035000587,0.015000587,262144,10000000000,100000000,337584715,0,0.000052136,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,62,0b003d01-0b004001-10000-3,0,1,64,0.020000000,0.035021458,0.035035561,0.015035561,262144,10000000000,100000000,388990275,0,0.000092168,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,63,0b003e01-0b004001-10000-3,0,1,64,0.020000000,0.034665091,0.034693765,0.014693765,262144,10000000000,100000000,195010650,0,0.000053804,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
pv10g_256k_hpcc,hpcc,2,64,0b003f01-0b004001-10000-3,0,1,64,0.020000000,0.034858055,0.034873283,0.014873283,262144,10000000000,100000000,236896747,0,0.000058808,0,1303542,0,262144,0,1.000000000,1.000000000,0,0
