flow_id,qp_id,total_rounds,direct_hpcc_updates,gated_late_updates,gated_stale_updates,rate_total_variation,minimum_rate,maximum_rate,mean_round_start_rate
0,0b004101-0b004001-10000-3,1,13939,0,0,99678505333.000,100000000,10000000000,10000000000.000
1,0b000001-0b004001-10000-3,1,4398,0,0,104986139182.000,100000000,10000000000,10000000000.000
2,0b000101-0b004001-10000-3,1,4367,0,0,102808836648.000,100000000,10000000000,10000000000.000
3,0b000201-0b004001-10000-3,1,4333,0,0,98560716077.000,100000000,10000000000,10000000000.000
4,0b000301-0b004001-10000-3,1,4351,0,0,99606580605.000,100000000,10000000000,10000000000.000
5,0b000401-0b004001-10000-3,1,4406,0,0,102265383577.000,100000000,10000000000,10000000000.000
6,0b000501-0b004001-10000-3,1,4368,0,0,102642437357.000,100000000,10000000000,10000000000.000
7,0b000601-0b004001-10000-3,1,4372,0,0,99577201044.000,100000000,10000000000,10000000000.000
8,0b000701-0b004001-10000-3,1,4406,0,0,105735398217.000,100000000,10000000000,10000000000.000
9,0b000801-0b004001-10000-3,1,4406,0,0,105011469161.000,100000000,10000000000,10000000000.000
10,0b000901-0b004001-10000-3,1,4323,0,0,98784698991.000,100000000,10000000000,10000000000.000
11,0b000a01-0b004001-10000-3,1,4383,0,0,102707100714.000,100000000,10000000000,10000000000.000
12,0b000b01-0b004001-10000-3,1,4380,0,0,103831501348.000,100000000,10000000000,10000000000.000
13,0b000c01-0b004001-10000-3,1,4406,0,0,105464723641.000,100000000,10000000000,10000000000.000
14,0b000d01-0b004001-10000-3,1,4406,0,0,106968860710.000,100000000,10000000000,10000000000.000
15,0b000e01-0b004001-10000-3,1,4382,0,0,102370813503.000,100000000,10000000000,10000000000.000
16,0b000f01-0b004001-10000-3,1,4355,0,0,100976497434.000,100000000,10000000000,10000000000.000
17,0b001001-0b004001-10000-3,1,4385,0,0,104119065459.000,100000000,10000000000,10000000000.000
18,0b001101-0b004001-10000-3,1,4364,0,0,103035377800.000,100000000,10000000000,10000000000.000
19,0b001201-0b004001-10000-3,1,4380,0,0,102356501379.000,100000000,10000000000,10000000000.000
20,0b001301-0b004001-10000-3,1,4405,0,0,103547834826.000,100000000,10000000000,10000000000.000
21,0b001401-0b004001-10000-3,1,4406,0,0,104273532164.000,100000000,10000000000,10000000000.000
22,0b001501-0b004001-10000-3,1,4382,0,0,103363075461.000,100000000,10000000000,10000000000.000
23,0b001601-0b004001-10000-3,1,4401,0,0,106044171045.000,100000000,10000000000,10000000000.000
24,0b001701-0b004001-10000-3,1,4349,0,0,100617157857.000,100000000,10000000000,10000000000.000
25,0b001801-0b004001-10000-3,1,4347,0,0,100045571076.000,100000000,10000000000,10000000000.000
26,0b001901-0b004001-10000-3,1,4354,0,0,101830822295.000,100000000,10000000000,10000000000.000
27,0b001a01-0b004001-10000-3,1,4351,0,0,100607334663.000,100000000,10000000000,10000000000.000
28,0b001b01-0b004001-10000-3,1,4399,0,0,103493477064.000,100000000,10000000000,10000000000.000
29,0b001c01-0b004001-10000-3,1,4387,0,0,103351769067.000,100000000,10000000000,10000000000.000
30,0b001d01-0b004001-10000-3,1,4344,0,0,98484160320.000,100000000,10000000000,10000000000.000
31,0b001e01-0b004001-10000-3,1,4360,0,0,99706355769.000,100000000,10000000000,10000000000.000
32,0b001f01-0b004001-10000-3,1,4406,0,0,103706645408.000,100000000,10000000000,10000000000.000
33,0b002001-0b004001-10000-3,1,4360,0,0,101758295771.000,100000000,10000000000,10000000000.000
34,0b002101-0b004001-10000-3,1,4394,0,0,101933507810.000,100000000,10000000000,10000000000.000
35,0b002201-0b004001-10000-3,1,4331,0,0,98200975359.000,100000000,10000000000,10000000000.000
36,0b002301-0b004001-10000-3,1,4276,0,0,95975928211.000,100000000,10000000000,10000000000.000
37,0b002401-0b004001-10000-3,1,4406,0,0,107399123337.000,100000000,10000000000,10000000000.000
38,0b002501-0b004001-10000-3,1,4337,0,0,100008397429.000,100000000,10000000000,10000000000.000
39,0b002601-0b004001-10000-3,1,4406,0,0,105455948434.000,100000000,10000000000,10000000000.000
40,0b002701-0b004001-10000-3,1,4320,0,0,98950973538.000,100000000,10000000000,10000000000.000
41,0b002801-0b004001-10000-3,1,4332,0,0,99400670328.000,100000000,10000000000,10000000000.000
42,0b002901-0b004001-10000-3,1,4393,0,0,104718776388.000,100000000,10000000000,10000000000.000
43,0b002a01-0b004001-10000-3,1,4362,0,0,101071035687.000,100000000,10000000000,10000000000.000
44,0b002b01-0b004001-10000-3,1,4335,0,0,99471179125.000,100000000,10000000000,10000000000.000
45,0b002c01-0b004001-10000-3,1,4363,0,0,103205426973.000,100000000,10000000000,10000000000.000
46,0b002d01-0b004001-10000-3,1,4380,0,0,103654687722.000,100000000,10000000000,10000000000.000
47,0b002e01-0b004001-10000-3,1,4367,0,0,100895557236.000,100000000,10000000000,10000000000.000
48,0b002f01-0b004001-10000-3,1,4388,0,0,103828096103.000,100000000,10000000000,10000000000.000
49,0b003001-0b004001-10000-3,1,4394,0,0,103028933291.000,100000000,10000000000,10000000000.000
50,0b003101-0b004001-10000-3,1,4326,0,0,97571525258.000,100000000,10000000000,10000000000.000
51,0b003201-0b004001-10000-3,1,4391,0,0,103401434754.000,100000000,10000000000,10000000000.000
52,0b003301-0b004001-10000-3,1,4315,0,0,96810511985.000,100000000,10000000000,10000000000.000
53,0b003401-0b004001-10000-3,1,4325,0,0,97751815620.000,100000000,10000000000,10000000000.000
54,0b003501-0b004001-10000-3,1,4365,0,0,101410636193.000,100000000,10000000000,10000000000.000
55,0b003601-0b004001-10000-3,1,4352,0,0,102290367610.000,100000000,10000000000,10000000000.000
56,0b003701-0b004001-10000-3,1,4392,0,0,103850551834.000,100000000,10000000000,10000000000.000
57,0b003801-0b004001-10000-3,1,4388,0,0,101831647828.000,100000000,10000000000,10000000000.000
58,0b003901-0b004001-10000-3,1,4364,0,0,102793294471.000,100000000,10000000000,10000000000.000
59,0b003a01-0b004001-10000-3,1,4367,0,0,102613436905.000,100000000,10000000000,10000000000.000
60,0b003b01-0b004001-10000-3,1,4301,0,0,99318486849.000,100000000,10000000000,10000000000.000
61,0b003c01-0b004001-10000-3,1,4373,0,0,104045410191.000,100000000,10000000000,10000000000.000
62,0b003d01-0b004001-10000-3,1,4368,0,0,101277334928.000,100000000,10000000000,10000000000.000
63,0b003e01-0b004001-10000-3,1,4372,0,0,101457417329.000,100000000,10000000000,10000000000.000
64,0b003f01-0b004001-10000-3,1,4402,0,0,104686587286.000,100000000,10000000000,10000000000.000
