scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
pv200g_1m_dcql,dcqcn,2,4,0b000301-0b004001-10000-3,3,64,1048576,0.020000000,0.022769286,0.002769286,1048576,1,3029159140.659,0,0
pv200g_1m_dcql,dcqcn,2,35,0b002201-0b004001-10000-3,34,64,1048576,0.020000000,0.022769905,0.002769905,1048576,1,3028482204.263,0,0
pv200g_1m_dcql,dcqcn,2,23,0b001601-0b004001-10000-3,22,64,1048576,0.020000000,0.022775764,0.002775764,1048576,1,3022089774.203,0,0
pv200g_1m_dcql,dcqcn,2,7,0b000601-0b004001-10000-3,6,64,1048576,0.020000000,0.022791583,0.002791583,1048576,1,3004964566.699,0,0
pv200g_1m_dcql,dcqcn,2,52,0b003301-0b004001-10000-3,51,64,1048576,0.020000000,0.022791722,0.002791722,1048576,1,3004814949.340,0,0
pv200g_1m_dcql,dcqcn,2,59,0b003a01-0b004001-10000-3,58,64,1048576,0.020000000,0.022794181,0.002794181,1048576,1,3002170582.364,0,0
pv200g_1m_dcql,dcqcn,2,17,0b001001-0b004001-10000-3,16,64,1048576,0.020000000,0.022795400,0.002795400,1048576,1,3000861415.182,0,0
pv200g_1m_dcql,dcqcn,2,63,0b003e01-0b004001-10000-3,62,64,1048576,0.020000000,0.022804059,0.002804059,1048576,1,2991594684.705,0,0
pv200g_1m_dcql,dcqcn,2,20,0b001301-0b004001-10000-3,19,64,1048576,0.020000000,0.022805718,0.002805718,1048576,1,2989825777.216,0,0
pv200g_1m_dcql,dcqcn,2,9,0b000801-0b004001-10000-3,8,64,1048576,0.020000000,0.022821697,0.002821697,1048576,1,2972894680.045,0,0
pv200g_1m_dcql,dcqcn,2,34,0b002101-0b004001-10000-3,33,64,1048576,0.020000000,0.022831676,0.002831676,1048576,1,2962418016.751,0,0
pv200g_1m_dcql,dcqcn,2,37,0b002401-0b004001-10000-3,36,64,1048576,0.020000000,0.022834295,0.002834295,1048576,1,2959680626.046,0,0
pv200g_1m_dcql,dcqcn,2,19,0b001201-0b004001-10000-3,18,64,1048576,0.020000000,0.022837914,0.002837914,1048576,1,2955906345.294,0,0
pv200g_1m_dcql,dcqcn,2,18,0b001101-0b004001-10000-3,17,64,1048576,0.020000000,0.022840013,0.002840013,1048576,1,2953721690.711,0,0
pv200g_1m_dcql,dcqcn,2,29,0b001c01-0b004001-10000-3,28,64,1048576,0.020000000,0.022840432,0.002840432,1048576,1,2953285979.034,0,0
pv200g_1m_dcql,dcqcn,2,26,0b001901-0b004001-10000-3,25,64,1048576,0.020000000,0.022842731,0.002842731,1048576,1,2950897569.978,0,0
pv200g_1m_dcql,dcqcn,2,33,0b002001-0b004001-10000-3,32,64,1048576,0.020000000,0.022843670,0.002843670,1048576,1,2949923162.674,0,0
pv200g_1m_dcql,dcqcn,2,39,0b002601-0b004001-10000-3,38,64,1048576,0.020000000,0.022847329,0.002847329,1048576,1,2946132322.608,0,0
pv200g_1m_dcql,dcqcn,2,44,0b002b01-0b004001-10000-3,43,64,1048576,0.020000000,0.022852348,0.002852348,1048576,1,2940948299.436,0,0
pv200g_1m_dcql,dcqcn,2,58,0b003901-0b004001-10000-3,57,64,1048576,0.020000000,0.022857167,0.002857167,1048576,1,2935987990.901,0,0
pv200g_1m_dcql,dcqcn,2,56,0b003701-0b004001-10000-3,55,64,1048576,0.020000000,0.022859466,0.002859466,1048576,1,2933627467.506,0,0
pv200g_1m_dcql,dcqcn,2,41,0b002801-0b004001-10000-3,40,64,1048576,0.020000000,0.022862645,0.002862645,1048576,1,2930369640.664,0,0
pv200g_1m_dcql,dcqcn,2,45,0b002c01-0b004001-10000-3,44,64,1048576,0.020000000,0.022869824,0.002869824,1048576,1,2923039182.891,0,0
pv200g_1m_dcql,dcqcn,2,54,0b003501-0b004001-10000-3,53,64,1048576,0.020000000,0.022872083,0.002872083,1048576,1,2920740103.959,0,0
pv200g_1m_dcql,dcqcn,2,28,0b001b01-0b004001-10000-3,27,64,1048576,0.020000000,0.022874902,0.002874902,1048576,1,2917876157.170,0,0
pv200g_1m_dcql,dcqcn,2,30,0b001d01-0b004001-10000-3,29,64,1048576,0.020000000,0.022881921,0.002881921,1048576,1,2910769587.369,0,0
pv200g_1m_dcql,dcqcn,2,40,0b002701-0b004001-10000-3,39,64,1048576,0.020000000,0.022885100,0.002885100,1048576,1,2907562302.866,0,0
pv200g_1m_dcql,dcqcn,2,60,0b003b01-0b004001-10000-3,59,64,1048576,0.020000000,0.022897919,0.002897919,1048576,1,2894700645.532,0,0
pv200g_1m_dcql,dcqcn,2,8,0b000701-0b004001-10000-3,7,64,1048576,0.020000000,0.022898938,0.002898938,1048576,1,2893683134.996,0,0
pv200g_1m_dcql,dcqcn,2,13,0b000c01-0b004001-10000-3,12,64,1048576,0.020000000,0.022904917,0.002904917,1048576,1,2887727256.923,0,0
pv200g_1m_dcql,dcqcn,2,42,0b002901-0b004001-10000-3,41,64,1048576,0.020000000,0.022905456,0.002905456,1048576,1,2887191545.837,0,0
pv200g_1m_dcql,dcqcn,2,10,0b000901-0b004001-10000-3,9,64,1048576,0.020000000,0.022906875,0.002906875,1048576,1,2885782154.375,0,0
pv200g_1m_dcql,dcqcn,2,38,0b002501-0b004001-10000-3,37,64,1048576,0.020000000,0.022906894,0.002906894,1048576,1,2885763292.366,0,0
pv200g_1m_dcql,dcqcn,2,32,0b001f01-0b004001-10000-3,31,64,1048576,0.020000000,0.022908033,0.002908033,1048576,1,2884633014.825,0,0
pv200g_1m_dcql,dcqcn,2,16,0b000f01-0b004001-10000-3,15,64,1048576,0.020000000,0.022908452,0.002908452,1048576,1,2884217446.257,0,0
pv200g_1m_dcql,dcqcn,2,49,0b003001-0b004001-10000-3,48,64,1048576,0.020000000,0.022910871,0.002910871,1048576,1,2881820595.966,0,0
pv200g_1m_dcql,dcqcn,2,48,0b002f01-0b004001-10000-3,47,64,1048576,0.020000000,0.022913730,0.002913730,1048576,1,2878992906.000,0,0
pv200g_1m_dcql,dcqcn,2,57,0b003801-0b004001-10000-3,56,64,1048576,0.020000000,0.022917589,0.002917589,1048576,1,2875184955.797,0,0
pv200g_1m_dcql,dcqcn,2,25,0b001801-0b004001-10000-3,24,64,1048576,0.020000000,0.022920688,0.002920688,1048576,1,2872134236.865,0,0
pv200g_1m_dcql,dcqcn,2,47,0b002e01-0b004001-10000-3,46,64,1048576,0.020000000,0.022921387,0.002921387,1048576,1,2871447021.569,0,0
pv200g_1m_dcql,dcqcn,2,36,0b002301-0b004001-10000-3,35,64,1048576,0.020000000,0.022921486,0.002921486,1048576,1,2871349717.233,0,0
pv200g_1m_dcql,dcqcn,2,6,0b000501-0b004001-10000-3,5,64,1048576,0.020000000,0.022924865,0.002924865,1048576,1,2868032541.673,0,0
pv200g_1m_dcql,dcqcn,2,15,0b000e01-0b004001-10000-3,14,64,1048576,0.020000000,0.022930524,0.002930524,1048576,1,2862494216.051,0,0
pv200g_1m_dcql,dcqcn,2,62,0b003d01-0b004001-10000-3,61,64,1048576,0.020000000,0.022932423,0.002932423,1048576,1,2860640501.046,0,0
pv200g_1m_dcql,dcqcn,2,3,0b000201-0b004001-10000-3,2,64,1048576,0.020000000,0.022933082,0.002933082,1048576,1,2859997777.082,0,0
pv200g_1m_dcql,dcqcn,2,31,0b001e01-0b004001-10000-3,30,64,1048576,0.020000000,0.022934501,0.002934501,1048576,1,2858614803.675,0,0
pv200g_1m_dcql,dcqcn,2,27,0b001a01-0b004001-10000-3,26,64,1048576,0.020000000,0.022937360,0.002937360,1048576,1,2855832448.185,0,0
