scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
pv200g_1m_dcqs,dcqcn,2,42,0b002901-0b004001-10000-3,41,64,1048576,0.020000000,0.022532560,0.002532560,1048576,1,3312303755.883,0,0
pv200g_1m_dcqs,dcqcn,2,40,0b002701-0b004001-10000-3,39,64,1048576,0.020000000,0.022543099,0.002543099,1048576,1,3298577051.070,0,0
pv200g_1m_dcqs,dcqcn,2,18,0b001101-0b004001-10000-3,17,64,1048576,0.020000000,0.022565238,0.002565238,1048576,1,3270109050.310,0,0
pv200g_1m_dcqs,dcqcn,2,8,0b000701-0b004001-10000-3,7,64,1048576,0.020000000,0.022567217,0.002567217,1048576,1,3267588209.333,0,0
pv200g_1m_dcqs,dcqcn,2,17,0b001001-0b004001-10000-3,16,64,1048576,0.020000000,0.022613636,0.002613636,1048576,1,3209554811.764,0,0
pv200g_1m_dcqs,dcqcn,2,11,0b000a01-0b004001-10000-3,10,64,1048576,0.020000000,0.022614095,0.002614095,1048576,1,3208991257.012,0,0
pv200g_1m_dcqs,dcqcn,2,4,0b000301-0b004001-10000-3,3,64,1048576,0.020000000,0.022634354,0.002634354,1048576,1,3184313118.131,0,0
pv200g_1m_dcqs,dcqcn,2,63,0b003e01-0b004001-10000-3,62,64,1048576,0.020000000,0.022636293,0.002636293,1048576,1,3181971047.983,0,0
pv200g_1m_dcqs,dcqcn,2,5,0b000401-0b004001-10000-3,4,64,1048576,0.020000000,0.022661152,0.002661152,1048576,1,3152246846.479,0,0
pv200g_1m_dcqs,dcqcn,2,20,0b001301-0b004001-10000-3,19,64,1048576,0.020000000,0.022667011,0.002667011,1048576,1,3145321860.315,0,0
pv200g_1m_dcqs,dcqcn,2,34,0b002101-0b004001-10000-3,33,64,1048576,0.020000000,0.022676990,0.002676990,1048576,1,3133597062.372,0,0
pv200g_1m_dcqs,dcqcn,2,29,0b001c01-0b004001-10000-3,28,64,1048576,0.020000000,0.022681569,0.002681569,1048576,1,3128246187.214,0,0
pv200g_1m_dcqs,dcqcn,2,37,0b002401-0b004001-10000-3,36,64,1048576,0.020000000,0.022688268,0.002688268,1048576,1,3120450788.389,0,0
pv200g_1m_dcqs,dcqcn,2,47,0b002e01-0b004001-10000-3,46,64,1048576,0.020000000,0.022689287,0.002689287,1048576,1,3119268415.755,0,0
pv200g_1m_dcqs,dcqcn,2,56,0b003701-0b004001-10000-3,55,64,1048576,0.020000000,0.022692986,0.002692986,1048576,1,3114983887.774,0,0
pv200g_1m_dcqs,dcqcn,2,25,0b001801-0b004001-10000-3,24,64,1048576,0.020000000,0.022698925,0.002698925,1048576,1,3108129347.796,0,0
pv200g_1m_dcqs,dcqcn,2,64,0b003f01-0b004001-10000-3,63,64,1048576,0.020000000,0.022700544,0.002700544,1048576,1,3106265996.777,0,0
pv200g_1m_dcqs,dcqcn,2,46,0b002d01-0b004001-10000-3,45,64,1048576,0.020000000,0.022703803,0.002703803,1048576,1,3102521892.312,0,0
pv200g_1m_dcqs,dcqcn,2,50,0b003101-0b004001-10000-3,49,64,1048576,0.020000000,0.022707342,0.002707342,1048576,1,3098466318.625,0,0
