scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
pv200g_256k_dcql,dcqcn,2,30,0b001d01-0b004001-10000-3,29,64,262144,0.020000000,0.020464434,0.000464434,262144,1,4515500587.812,0,0
pv200g_256k_dcql,dcqcn,2,4,0b000301-0b004001-10000-3,3,64,262144,0.020000000,0.020464450,0.000464450,262144,1,4515345031.758,0,0
pv200g_256k_dcql,dcqcn,2,13,0b000c01-0b004001-10000-3,12,64,262144,0.020000000,0.020464466,0.000464466,262144,1,4515189486.421,0,0
pv200g_256k_dcql,dcqcn,2,60,0b003b01-0b004001-10000-3,59,64,262144,0.020000000,0.020464482,0.000464482,262144,1,4515033951.800,0,0
pv200g_256k_dcql,dcqcn,2,10,0b000901-0b004001-10000-3,9,64,262144,0.020000000,0.020464498,0.000464498,262144,1,4514878427.894,0,0
pv200g_256k_dcql,dcqcn,2,31,0b001e01-0b004001-10000-3,30,64,262144,0.020000000,0.020464514,0.000464514,262144,1,4514722914.702,0,0
pv200g_256k_dcql,dcqcn,2,23,0b001601-0b004001-10000-3,22,64,262144,0.020000000,0.020464570,0.000464570,262144,1,4514178702.887,0,0
pv200g_256k_dcql,dcqcn,2,43,0b002a01-0b004001-10000-3,42,64,262144,0.020000000,0.020464586,0.000464586,262144,1,4514023237.894,0,0
pv200g_256k_dcql,dcqcn,2,32,0b001f01-0b004001-10000-3,31,64,262144,0.020000000,0.020464602,0.000464602,262144,1,4513867783.608,0,0
pv200g_256k_dcql,dcqcn,2,57,0b003801-0b004001-10000-3,56,64,262144,0.020000000,0.020464618,0.000464618,262144,1,4513712340.030,0,0
pv200g_256k_dcql,dcqcn,2,34,0b002101-0b004001-10000-3,33,64,262144,0.020000000,0.020464714,0.000464714,262144,1,4512779903.338,0,0
pv200g_256k_dcql,dcqcn,2,63,0b003e01-0b004001-10000-3,62,64,262144,0.020000000,0.020464730,0.000464730,262144,1,4512624534.676,0,0
pv200g_256k_dcql,dcqcn,2,37,0b002401-0b004001-10000-3,36,64,262144,0.020000000,0.020464746,0.000464746,262144,1,4512469176.712,0,0
pv200g_256k_dcql,dcqcn,2,52,0b003301-0b004001-10000-3,51,64,262144,0.020000000,0.020464802,0.000464802,262144,1,4511925508.066,0,0
pv200g_256k_dcql,dcqcn,2,59,0b003a01-0b004001-10000-3,58,64,262144,0.020000000,0.020464898,0.000464898,262144,1,4510993809.395,0,0
pv200g_256k_dcql,dcqcn,2,9,0b000801-0b004001-10000-3,8,64,262144,0.020000000,0.020508554,0.000508554,262144,1,4123754802.833,0,0
pv200g_256k_dcql,dcqcn,2,15,0b000e01-0b004001-10000-3,14,64,262144,0.020000000,0.020508610,0.000508610,262144,1,4123300760.897,0,0
pv200g_256k_dcql,dcqcn,2,29,0b001c01-0b004001-10000-3,28,64,262144,0.020000000,0.020508706,0.000508706,262144,1,4122522635.864,0,0
pv200g_256k_dcql,dcqcn,2,33,0b002001-0b004001-10000-3,32,64,262144,0.020000000,0.020508722,0.000508722,262144,1,4122392976.911,0,0
pv200g_256k_dcql,dcqcn,2,39,0b002601-0b004001-10000-3,38,64,262144,0.020000000,0.020508818,0.000508818,262144,1,4121615194.431,0,0
pv200g_256k_dcql,dcqcn,2,58,0b003901-0b004001-10000-3,57,64,262144,0.020000000,0.020508874,0.000508874,262144,1,4121161623.506,0,0
pv200g_256k_dcql,dcqcn,2,64,0b003f01-0b004001-10000-3,63,64,262144,0.020000000,0.020508930,0.000508930,262144,1,4120708152.398,0,0
pv200g_256k_dcql,dcqcn,2,45,0b002c01-0b004001-10000-3,44,64,262144,0.020000000,0.020553146,0.000553146,262144,1,3791317301.400,0,0
pv200g_256k_dcql,dcqcn,2,48,0b002f01-0b004001-10000-3,47,64,262144,0.020000000,0.020553282,0.000553282,262144,1,3790385373.101,0,0
pv200g_256k_dcql,dcqcn,2,41,0b002801-0b004001-10000-3,40,64,262144,0.020000000,0.020597378,0.000597378,262144,1,3510594631.875,0,0
pv200g_256k_dcql,dcqcn,2,42,0b002901-0b004001-10000-3,41,64,262144,0.020000000,0.020597474,0.000597474,262144,1,3510030561.999,0,0
pv200g_256k_dcql,dcqcn,2,44,0b002b01-0b004001-10000-3,43,64,262144,0.020000000,0.020597530,0.000597530,262144,1,3509701604.940,0,0
pv200g_256k_dcql,dcqcn,2,6,0b000501-0b004001-10000-3,5,64,262144,0.020000000,0.020663426,0.000663426,262144,1,3161094078.315,0,0
pv200g_256k_dcql,dcqcn,2,19,0b001201-0b004001-10000-3,18,64,262144,0.020000000,0.020663522,0.000663522,262144,1,3160636723.424,0,0
pv200g_256k_dcql,dcqcn,2,17,0b001001-0b004001-10000-3,16,64,262144,0.020000000,0.020663538,0.000663538,262144,1,3160560510.476,0,0
pv200g_256k_dcql,dcqcn,2,26,0b001901-0b004001-10000-3,25,64,262144,0.020000000,0.020663554,0.000663554,262144,1,3160484301.202,0,0
pv200g_256k_dcql,dcqcn,2,25,0b001801-0b004001-10000-3,24,64,262144,0.020000000,0.020663570,0.000663570,262144,1,3160408095.604,0,0
pv200g_256k_dcql,dcqcn,2,35,0b002201-0b004001-10000-3,34,64,262144,0.020000000,0.020663586,0.000663586,262144,1,3160331893.681,0,0
pv200g_256k_dcql,dcqcn,2,53,0b003401-0b004001-10000-3,52,64,262144,0.020000000,0.020663642,0.000663642,262144,1,3160065215.884,0,0
pv200g_256k_dcql,dcqcn,2,38,0b002501-0b004001-10000-3,37,64,262144,0.020000000,0.020663658,0.000663658,262144,1,3159989030.495,0,0
pv200g_256k_dcql,dcqcn,2,18,0b001101-0b004001-10000-3,17,64,262144,0.020000000,0.020663674,0.000663674,262144,1,3159912848.778,0,0
pv200g_256k_dcql,dcqcn,2,7,0b000601-0b004001-10000-3,6,64,262144,0.020000000,0.020663690,0.000663690,262144,1,3159836670.735,0,0
pv200g_256k_dcql,dcqcn,2,27,0b001a01-0b004001-10000-3,26,64,262144,0.020000000,0.020663746,0.000663746,262144,1,3159570076.505,0,0
pv200g_256k_dcql,dcqcn,2,20,0b001301-0b004001-10000-3,19,64,262144,0.020000000,0.020663762,0.000663762,262144,1,3159493914.988,0,0
pv200g_256k_dcql,dcqcn,2,56,0b003701-0b004001-10000-3,55,64,262144,0.020000000,0.020663778,0.000663778,262144,1,3159417757.142,0,0
pv200g_256k_dcql,dcqcn,2,28,0b001b01-0b004001-10000-3,27,64,262144,0.020000000,0.020663794,0.000663794,262144,1,3159341602.967,0,0
pv200g_256k_dcql,dcqcn,2,36,0b002301-0b004001-10000-3,35,64,262144,0.020000000,0.020663810,0.000663810,262144,1,3159265452.464,0,0
pv200g_256k_dcql,dcqcn,2,40,0b002701-0b004001-10000-3,39,64,262144,0.020000000,0.020663866,0.000663866,262144,1,3158998954.608,0,0
pv200g_256k_dcql,dcqcn,2,49,0b003001-0b004001-10000-3,48,64,262144,0.020000000,0.020685962,0.000685962,262144,1,3057242237.908,0,0
