scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
pv200g_256k_hpcc,hpcc,2,30,0b001d01-0b004001-10000-3,29,64,262144,0.020000000,0.020489740,0.000489740,262144,1,4282174214.890,0,0
pv200g_256k_hpcc,hpcc,2,4,0b000301-0b004001-10000-3,3,64,262144,0.020000000,0.020489757,0.000489757,262144,1,4282025575.949,0,0
pv200g_256k_hpcc,hpcc,2,13,0b000c01-0b004001-10000-3,12,64,262144,0.020000000,0.020489774,0.000489774,262144,1,4281876947.327,0,0
pv200g_256k_hpcc,hpcc,2,60,0b003b01-0b004001-10000-3,59,64,262144,0.020000000,0.020489791,0.000489791,262144,1,4281728329.022,0,0
pv200g_256k_hpcc,hpcc,2,10,0b000901-0b004001-10000-3,9,64,262144,0.020000000,0.020489808,0.000489808,262144,1,4281579721.034,0,0
pv200g_256k_hpcc,hpcc,2,31,0b001e01-0b004001-10000-3,30,64,262144,0.020000000,0.020489825,0.000489825,262144,1,4281431123.360,0,0
pv200g_256k_hpcc,hpcc,2,23,0b001601-0b004001-10000-3,22,64,262144,0.020000000,0.020489884,0.000489884,262144,1,4280915482.032,0,0
pv200g_256k_hpcc,hpcc,2,43,0b002a01-0b004001-10000-3,42,64,262144,0.020000000,0.020489901,0.000489901,262144,1,4280766930.461,0,0
pv200g_256k_hpcc,hpcc,2,32,0b001f01-0b004001-10000-3,31,64,262144,0.020000000,0.020489918,0.000489918,262144,1,4280618389.200,0,0
pv200g_256k_hpcc,hpcc,2,57,0b003801-0b004001-10000-3,56,64,262144,0.020000000,0.020489935,0.000489935,262144,1,4280469858.246,0,0
pv200g_256k_hpcc,hpcc,2,34,0b002101-0b004001-10000-3,33,64,262144,0.020000000,0.020490036,0.000490036,262144,1,4279587622.134,0,0
pv200g_256k_hpcc,hpcc,2,63,0b003e01-0b004001-10000-3,62,64,262144,0.020000000,0.020490053,0.000490053,262144,1,4279439162.703,0,0
pv200g_256k_hpcc,hpcc,2,37,0b002401-0b004001-10000-3,36,64,262144,0.020000000,0.020490070,0.000490070,262144,1,4279290713.572,0,0
pv200g_256k_hpcc,hpcc,2,52,0b003301-0b004001-10000-3,51,64,262144,0.020000000,0.020490129,0.000490129,262144,1,4278775587.651,0,0
pv200g_256k_hpcc,hpcc,2,59,0b003a01-0b004001-10000-3,58,64,262144,0.020000000,0.020490230,0.000490230,262144,1,4277894049.732,0,0
pv200g_256k_hpcc,hpcc,2,9,0b000801-0b004001-10000-3,8,64,262144,0.020000000,0.020536069,0.000536069,262144,1,3912093405.886,0,0
pv200g_256k_hpcc,hpcc,2,15,0b000e01-0b004001-10000-3,14,64,262144,0.020000000,0.020536128,0.000536128,262144,1,3911662886.475,0,0
pv200g_256k_hpcc,hpcc,2,29,0b001c01-0b004001-10000-3,28,64,262144,0.020000000,0.020536187,0.000536187,262144,1,3911232461.809,0,0
