scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
pv200g_4m_cbap,cbap_sba,2,0,0b004101-0b004001-10000-3,0,0,1,0.010005000,0.000000000,0.000000000,0.000000000,1290445819,160000000000,2000000000,158523240481,0,0.000000000,0,573000,0,1290445819,9,1.000000000,1.000000000,0,0
pv200g_4m_cbap,cbap_sba,2,1,0b000001-0b004001-10000-3,0,1,64,0.020005000,0.031164078,0.031180062,0.011180062,4194304,2875000000,2000000000,5802408503,0,0.000000000,0,573000,0,4194304,7,1.000000000,0.046527406,0,0
pv200g_4m_cbap,cbap_sba,2,2,0b000101-0b004001-10000-3,0,1,64,0.020005000,0.031414316,0.031426602,0.011426602,4194304,2875000000,2000000000,12891249250,0,0.000000000,0,573000,0,4194304,12,1.000000000,0.052248485,0,0
pv200g_4m_cbap,cbap_sba,2,3,0b000201-0b004001-10000-3,0,1,64,0.020005000,0.030453970,0.030475534,0.010475534,4194304,2875000000,2000000000,3733105522,0,0.000000000,0,573000,0,4194304,9,1.000000000,0.149899372,0,0
pv200g_4m_cbap,cbap_sba,2,4,0b000301-0b004001-10000-3,0,1,64,0.020005000,0.031475823,0.031488055,0.011488055,4194304,2875000000,2000000000,20816404167,0,0.000000000,0,573000,0,4194304,7,1.000000000,0.027282955,0,0
pv200g_4m_cbap,cbap_sba,2,5,0b000401-0b004001-10000-3,0,1,64,0.020005000,0.031232377,0.031246646,0.011246646,4194304,2875000000,2000000000,6188435033,0,0.000000000,0,573000,0,4194304,7,1.000000000,0.042281637,0,0
pv200g_4m_cbap,cbap_sba,2,6,0b000501-0b004001-10000-3,0,1,64,0.020005000,0.031342762,0.031355023,0.011355023,4194304,2875000000,2000000000,8090157538,0,0.000000000,0,573000,0,4194304,9,1.000000000,0.040800063,0,0
pv200g_4m_cbap,cbap_sba,2,7,0b000601-0b004001-10000-3,0,1,64,0.020005000,0.031444284,0.031456521,0.011456521,4194304,2875000000,2000000000,15746685948,0,0.000000000,0,573000,0,4194304,7,1.000000000,0.031681538,0,0
pv200g_4m_cbap,cbap_sba,2,8,0b000701-0b004001-10000-3,0,1,64,0.020005000,0.030851982,0.030871214,0.010871214,4194304,2875000000,2000000000,4136673964,0,0.000000000,0,573000,0,4194304,11,1.000000000,0.077450640,0,0
pv200g_4m_cbap,cbap_sba,2,9,0b000801-0b004001-10000-3,0,1,64,0.020005000,0.029902293,0.029927310,0.009927310,4194304,2875000000,2000000000,3299022050,0,0.000000000,0,573000,0,4194304,3,1.000000000,0.167177666,0,0
pv200g_4m_cbap,cbap_sba,2,10,0b000901-0b004001-10000-3,0,1,64,0.020005000,0.030875919,0.030894758,0.010894758,4194304,2875000000,2000000000,4294147198,0,0.000000000,0,573000,0,4194304,7,1.000000000,0.071391353,0,0
pv200g_4m_cbap,cbap_sba,2,11,0b000a01-0b004001-10000-3,0,1,64,0.020005000,0.031376551,0.031388777,0.011388777,4194304,2875000000,2000000000,9508575855,0,0.000000000,0,573000,0,4194304,11,1.000000000,0.035201637,0,0
pv200g_4m_cbap,cbap_sba,2,12,0b000b01-0b004001-10000-3,0,1,64,0.020005000,0.031469611,0.031481884,0.011481884,4194304,2875000000,2000000000,19572107845,0,0.000000000,0,573000,0,4194304,7,1.000000000,0.026722923,0,0
pv200g_4m_cbap,cbap_sba,2,13,0b000c01-0b004001-10000-3,0,1,64,0.020005000,0.031406654,0.031418924,0.011418924,4194304,2875000000,2000000000,11622349414,0,0.000000000,0,573000,0,4194304,11,1.000000000,0.030849485,0,0
pv200g_4m_cbap,cbap_sba,2,14,0b000d01-0b004001-10000-3,0,1,64,0.020005000,0.030796054,0.030815742,0.010815742,4194304,2875000000,2000000000,4039896386,0,0.000000000,0,573000,0,4194304,5,1.000000000,0.075710477,0,0
pv200g_4m_cbap,cbap_sba,2,15,0b000e01-0b004001-10000-3,0,1,64,0.020005000,0.031104202,0.031121254,0.011121254,4194304,2875000000,2000000000,5327254687,0,0.000000000,0,573000,0,4194304,8,1.000000000,0.052333160,0,0
pv200g_4m_cbap,cbap_sba,2,16,0b000f01-0b004001-10000-3,0,1,64,0.020005000,0.031484471,0.031496663,0.011496663,4194304,2875000000,2000000000,25068222752,0,0.000000000,0,573000,0,4194304,9,1.000000000,0.030628322,0,0
pv200g_4m_cbap,cbap_sba,2,17,0b001001-0b004001-10000-3,0,1,64,0.020005000,0.031403385,0.031415562,0.011415562,4194304,2875000000,2000000000,11622349414,0,0.000000000,0,573000,0,4194304,12,1.000000000,0.032709102,0,0
pv200g_4m_cbap,cbap_sba,2,18,0b001101-0b004001-10000-3,0,1,64,0.020005000,0.031164598,0.031180694,0.011180694,4194304,2875000000,2000000000,5802408503,0,0.000000000,0,573000,0,4194304,5,1.000000000,0.064354854,0,0
pv200g_4m_cbap,cbap_sba,2,19,0b001201-0b004001-10000-3,0,1,64,0.020005000,0.030895865,0.030913814,0.010913814,4194304,2875000000,2000000000,4529673420,0,0.000000000,0,573000,0,4194304,7,1.000000000,0.143546454,0,0
pv200g_4m_cbap,cbap_sba,2,20,0b001301-0b004001-10000-3,0,1,64,0.020005000,0.030959282,0.030975758,0.010975758,4194304,2875000000,2000000000,4842724615,0,0.000000000,0,573000,0,4194304,7,1.000000000,0.073196848,0,0
pv200g_4m_cbap,cbap_sba,2,21,0b001401-0b004001-10000-3,0,1,64,0.020005000,0.030408899,0.030431710,0.010431710,4194304,2875000000,2000000000,3590961049,0,0.000000000,0,573000,0,4194304,6,1.000000000,0.153886917,0,0
pv200g_4m_cbap,cbap_sba,2,22,0b001501-0b004001-10000-3,0,1,64,0.020005000,0.030874814,0.030893526,0.010893526,4194304,2875000000,2000000000,4294147198,0,0.000000000,0,573000,0,4194304,8,1.000000000,0.098560022,0,0
pv200g_4m_cbap,cbap_sba,2,23,0b001601-0b004001-10000-3,0,1,64,0.020005000,0.031048113,0.031064382,0.011064382,4194304,2875000000,2000000000,5192713704,0,0.000000000,0,573000,0,4194304,7,1.000000000,0.065168413,0,0
pv200g_4m_cbap,cbap_sba,2,24,0b001701-0b004001-10000-3,0,1,64,0.020005000,0.030889387,0.030907702,0.010907702,4194304,2875000000,2000000000,4450144941,0,0.000000000,0,573000,0,4194304,10,1.000000000,0.073835169,0,0
pv200g_4m_cbap,cbap_sba,2,25,0b001801-0b004001-10000-3,0,1,64,0.020005000,0.030233595,0.030257286,0.010257286,4194304,2875000000,2000000000,3462346010,0,0.000000000,0,573000,0,4194304,8,1.000000000,0.127553474,0,0
pv200g_4m_cbap,cbap_sba,2,26,0b001901-0b004001-10000-3,0,1,64,0.020005000,0.031371526,0.031383705,0.011383705,4194304,2875000000,2000000000,9044749338,0,0.000000000,0,573000,0,4194304,10,1.000000000,0.046786165,0,0
