flow_id,round_id,total_feedback,int_hop_count,actionable_feedback,late_same_round_feedback,stale_older_round_feedback,feedback_during_off,live_rate_changes_during_off,first_feedback_time,last_feedback_time,mean_remaining_unsent_ratio,min_remaining_unsent_ratio,mean_remaining_unsent_bytes,min_remaining_unsent_bytes,max_normalized_load,mean_normalized_load,first_rate_before,last_rate_after,feedback_changed_live_rate,late_action_ratio,actionable_byte_ratio
0,0,438435,1,438435,0,0,0,0,0.010004092,0.044999967,0.838219264,0.676496006,1081676544.730,872981443,35.753756041,0.883909870,200000000000,160000000000,3761,0.000000000,0.838219264
1,0,4406,3,4396,10,0,10,1,0.020012225,0.032398007,0.487970396,0.000000000,2046696.185,0,35.767503113,5.948789739,200000000000,6380312128,3449,0.000226963,0.487970396
2,0,4406,3,4389,17,0,17,2,0.020014241,0.032457515,0.487680034,0.000000000,2045478.319,0,35.796839605,5.960795288,200000000000,12824797662,3438,0.000453926,0.487680034
3,0,4406,3,4396,10,0,10,9,0.020016257,0.032454424,0.487685674,0.000000000,2045501.972,0,35.790114334,5.962942204,200000000000,13231777495,3436,0.002042669,0.487685674
4,0,4406,3,4400,6,0,6,1,0.020012267,0.032251976,0.486413005,0.000000000,2040164.015,0,35.765893072,7.024076766,200000000000,3499086271,3365,0.000226963,0.486413005
5,0,4406,3,4396,10,0,10,1,0.020012393,0.032428981,0.487025408,0.000000000,2042732.616,0,35.775836357,6.305820622,200000000000,6290975157,3370,0.000226963,0.487025408
6,0,4406,3,4398,8,0,8,7,0.020012309,0.032369865,0.486764308,0.000000000,2041637.483,0,35.826352148,6.705266492,200000000000,6187867296,3369,0.001588743,0.486764308
7,0,4406,3,4401,5,0,5,5,0.020014325,0.032068734,0.486369155,0.000000000,2039980.093,0,35.833953658,6.751899861,200000000000,3117114650,3460,0.001134816,0.486369155
8,0,4406,3,4399,7,0,7,1,0.020014409,0.032338004,0.487040931,0.000000000,2042797.727,0,35.823013917,6.314661087,200000000000,4321367369,3446,0.000226963,0.487040931
9,0,4406,3,4395,11,0,11,9,0.020012351,0.032450088,0.487113046,0.000000000,2043100.196,0,35.829378854,6.843514323,200000000000,12729544067,3317,0.002042669,0.487113046
10,0,4406,3,4399,7,0,7,1,0.020012435,0.032318217,0.486414253,0.000000000,2040169.247,0,35.831987823,7.031694631,200000000000,4454720160,3345,0.000226963,0.486414253
11,0,4406,3,4397,9,0,9,1,0.020012603,0.032410253,0.487040696,0.000000000,2042796.741,0,35.759304604,6.307294319,200000000000,5849470307,3407,0.000226963,0.487040696
12,0,4406,3,4393,13,0,13,7,0.020014619,0.032447304,0.487028120,0.000000000,2042743.993,0,35.820157097,6.308519607,200000000000,13327237631,3387,0.001588743,0.487028120
13,0,4406,3,4401,5,0,5,3,0.020012477,0.032194127,0.487032100,0.000000000,2042760.685,0,35.773808098,6.897125633,200000000000,3382065601,3415,0.000680890,0.487032100
14,0,4406,3,4400,6,0,6,3,0.020012813,0.032225086,0.487046638,0.000000000,2042821.663,0,35.759831279,6.311420062,200000000000,3527135398,3480,0.000680890,0.487046638
15,0,4406,3,4397,9,0,9,1,0.020012519,0.032409796,0.487115393,0.000000000,2043110.041,0,35.825912437,6.847906175,200000000000,6166500804,3353,0.000226963,0.487115393
16,0,4406,3,4399,7,0,7,1,0.020014829,0.032315630,0.487042992,0.000000000,2042806.369,0,35.812520268,6.314572301,200000000000,4294150610,3461,0.000226963,0.487042992
17,0,4406,3,4397,9,0,9,2,0.020012729,0.032376784,0.486572890,0.000000000,2040834.618,0,35.757525804,6.658826693,200000000000,6399559951,3376,0.000453926,0.486572890
18,0,4406,3,4396,10,0,10,1,0.020014955,0.032405104,0.486519480,0.000000000,2040610.602,0,35.816936635,6.674487563,200000000000,6462642457,3371,0.000226963,0.486519480
19,0,4406,3,4400,6,0,6,1,0.020012687,0.032332432,0.486631738,0.000000000,2041081.443,0,35.764241442,6.718219712,200000000000,4090128152,3399,0.000226963,0.486631738
20,0,4406,3,4400,6,0,6,1,0.020014703,0.032254590,0.486366024,0.000000000,2039966.960,0,35.829738900,6.751812326,200000000000,3865552708,3417,0.000226963,0.486366024
21,0,4406,3,4400,6,0,6,1,0.020013023,0.032252066,0.487804164,0.000000000,2045998.958,0,35.780894338,5.963686638,200000000000,3623334714,3512,0.000226963,0.487804164
22,0,4406,3,4397,9,0,9,1,0.020015039,0.032428167,0.487686796,0.000000000,2045506.678,0,35.792914432,5.964313845,200000000000,6128728147,3447,0.000226963,0.487686796
23,0,4406,3,4399,7,0,7,1,0.020012645,0.032315069,0.486413532,0.000000000,2040166.222,0,35.805706009,7.031791840,200000000000,4360050312,3347,0.000226963,0.486413532
24,0,4406,3,4399,7,0,7,1,0.020017055,0.032332915,0.487715312,0.000000000,2045626.286,0,35.808918100,5.970077421,200000000000,4491471154,3489,0.000226963,0.487715312
25,0,4406,3,4400,6,0,6,1,0.020012939,0.032158327,0.486514129,0.000000000,2040588.158,0,35.770776095,6.669428831,200000000000,3555643195,3447,0.000226963,0.486514129
26,0,4406,3,4399,7,0,7,7,0.020012897,0.032364685,0.486552674,0.000000000,2040749.825,0,35.757603377,6.725548047,200000000000,5711714379,3393,0.001588743,0.486552674
27,0,4406,3,4400,6,0,6,1,0.020015165,0.032262689,0.486523608,0.000000000,2040627.915,0,35.811450265,6.677770691,200000000000,3600573340,3432,0.000226963,0.486523608
28,0,4406,3,4396,10,0,10,1,0.020014913,0.032395064,0.486360505,0.000000000,2039943.813,0,35.826616968,6.748721920,200000000000,6303345281,3373,0.000226963,0.486360505
29,0,4406,3,4399,7,0,7,1,0.020013149,0.032339004,0.487121398,0.000000000,2043135.227,0,35.805749867,6.854335784,200000000000,4309662141,3393,0.000226963,0.487121398
30,0,4406,3,4398,8,0,8,3,0.020013233,0.032392765,0.487685342,0.000000000,2045500.581,0,35.834420496,6.561496539,200000000000,5886782619,3425,0.000680890,0.487685342
31,0,4406,3,4400,6,0,6,1,0.020013107,0.032270160,0.487045711,0.000000000,2042817.774,0,35.790540668,6.902965555,200000000000,3611190579,3401,0.000226963,0.487045711
32,0,4406,3,4401,5,0,5,3,0.020012855,0.032123070,0.486415364,0.000000000,2040173.906,0,35.800935446,7.034417245,200000000000,3063901898,3410,0.000680890,0.486415364
33,0,4406,3,4400,6,0,6,1,0.020013359,0.032295669,0.487123035,0.000000000,2043142.094,0,35.800071783,6.855581132,200000000000,3830906760,3415,0.000226963,0.487123035
34,0,4406,3,4400,6,0,6,1,0.020013065,0.032174508,0.486416560,0.000000000,2040178.923,0,35.798453559,7.035936098,200000000000,3459891463,3400,0.000226963,0.486416560
35,0,4406,3,4399,7,0,7,6,0.020013317,0.032376381,0.486396532,0.000000000,2040094.920,0,35.823534062,6.748236005,200000000000,6077620700,3391,0.001361779,0.486396532
36,0,4406,3,4401,5,0,5,1,0.020015333,0.032244008,0.486370082,0.000000000,2039983.982,0,35.821444336,6.751746166,200000000000,3412420529,3427,0.000226963,0.486370082
37,0,4406,3,4401,5,0,5,5,0.020013275,0.032114003,0.486415364,0.000000000,2040173.906,0,35.792039294,7.036715800,200000000000,3064358105,3424,0.001134816,0.486415364
