time_ns,node_id,if_index,q_index,event_type
20148081,86,17,3,1
20148081,88,17,3,1
20148081,85,17,3,1
20148101,87,17,3,1
20164466,86,17,3,0
20164486,88,17,3,0
20164506,85,17,3,0
20164526,87,17,3,0
20169887,86,17,3,1
20169907,88,17,3,1
20169927,87,17,3,1
20169927,85,17,3,1
20186266,87,17,3,0
20186286,86,17,3,0
20186306,88,17,3,0
20186326,85,17,3,0
20191667,87,17,3,1
20191687,86,17,3,1
20191707,88,17,3,1
20191727,85,17,3,1
20208066,87,17,3,0
20208086,86,17,3,0
20208106,88,17,3,0
20208126,85,17,3,0
20213467,87,17,3,1
20213487,86,17,3,1
20213507,88,17,3,1
20213527,85,17,3,1
20229886,87,17,3,0
20229906,86,17,3,0
20229926,88,17,3,0
20229946,85,17,3,0
20235307,87,17,3,1
20235327,88,17,3,1
20235327,86,17,3,1
20235347,85,17,3,1
20251666,88,17,3,0
20251686,85,17,3,0
20251706,87,17,3,0
20251726,86,17,3,0
20257067,88,17,3,1
20257087,85,17,3,1
20257107,87,17,3,1
20257127,86,17,3,1
20273486,88,17,3,0
20273506,85,17,3,0
20273526,87,17,3,0
20273546,86,17,3,0
20278887,88,17,3,1
20278907,85,17,3,1
20278927,87,17,3,1
20278947,86,17,3,1
20295286,88,17,3,0
20295306,85,17,3,0
20295326,87,17,3,0
20295346,86,17,3,0
20300707,85,17,3,1
20300707,88,17,3,1
20300727,87,17,3,1
20300747,86,17,3,1
20317066,87,17,3,0
20317086,86,17,3,0
20317106,88,17,3,0
20317126,85,17,3,0
20322467,87,17,3,1
20322487,86,17,3,1
20322507,88,17,3,1
20322547,85,17,3,1
20338886,87,17,3,0
20338906,86,17,3,0
20338926,88,17,3,0
20338946,85,17,3,0
20344287,87,17,3,1
20344307,86,17,3,1
20344327,88,17,3,1
20344347,85,17,3,1
20360686,87,17,3,0
20360706,86,17,3,0
20360726,88,17,3,0
20360746,85,17,3,0
20366107,86,17,3,1
20366107,87,17,3,1
20366127,88,17,3,1
20366147,85,17,3,1
20382486,85,17,3,0
20382506,87,17,3,0
20382526,86,17,3,0
20382546,88,17,3,0
20387887,85,17,3,1
20387907,87,17,3,1
20387947,86,17,3,1
20387967,88,17,3,1
20404306,85,17,3,0
20404326,87,17,3,0
20404346,86,17,3,0
20404366,88,17,3,0
20409707,85,17,3,1
20409727,87,17,3,1
20409747,86,17,3,1
20409767,88,17,3,1
20426126,85,17,3,0
20426146,87,17,3,0
20426166,86,17,3,0
20426186,88,17,3,0
20431547,87,17,3,1
20431547,85,17,3,1
20431567,86,17,3,1
20431587,88,17,3,1
20447906,88,17,3,0
20447926,85,17,3,0
20447946,87,17,3,0
20447966,86,17,3,0
20453307,88,17,3,1
20453327,85,17,3,1
20453367,87,17,3,1
20453387,86,17,3,1
20469726,88,17,3,0
20469746,85,17,3,0
20469766,87,17,3,0
20469786,86,17,3,0
20475127,88,17,3,1
20475147,85,17,3,1
20475167,87,17,3,1
20475187,86,17,3,1
20485426,86,17,3,0
20490827,86,17,3,1
20491446,86,17,3,0
20491546,88,17,3,0
20491566,85,17,3,0
20491586,87,17,3,0
20497047,88,17,3,1
20497067,87,17,3,1
20497067,85,17,3,1
20512986,87,17,3,0
20513026,88,17,3,0
20513046,85,17,3,0
20518567,87,17,3,1
20518607,88,17,3,1
20518627,85,17,3,1
20534546,85,17,3,0
20534566,87,17,3,0
20534606,88,17,3,0
20540127,85,17,3,1
20540167,87,17,3,1
20540207,88,17,3,1
20556126,85,17,3,0
20556146,87,17,3,0
20556186,88,17,3,0
20561707,85,17,3,1
20561727,87,17,3,1
20561767,88,17,3,1
20577706,85,17,3,0
20577726,87,17,3,0
20577766,88,17,3,0
20583287,87,17,3,1
20583287,85,17,3,1
20583327,88,17,3,1
20599206,87,17,3,0
20599246,88,17,3,0
20599346,85,17,3,0
20604747,87,17,3,1
20604787,88,17,3,1
20604887,85,17,3,1
20620806,88,17,3,0
20620846,87,17,3,0
20620866,85,17,3,0
20626347,88,17,3,1
20626407,85,17,3,1
20626447,87,17,3,1
20642346,88,17,3,0
20642406,85,17,3,0
20642466,87,17,3,0
20647907,88,17,3,1
20647927,85,17,3,1
20647987,87,17,3,1
20663906,85,17,3,0
20663966,87,17,3,0
20664006,88,17,3,0
20669467,85,17,3,1
20669527,87,17,3,1
20669547,88,17,3,1
20685486,85,17,3,0
20685506,88,17,3,0
20685546,87,17,3,0
20691047,87,17,3,1
20691047,85,17,3,1
20691067,88,17,3,1
20707046,87,17,3,0
20707066,85,17,3,0
20707086,88,17,3,0
20712607,87,17,3,1
20712627,85,17,3,1
20712647,88,17,3,1
20728606,87,17,3,0
20728626,85,17,3,0
20728646,88,17,3,0
20734127,87,17,3,1
20734147,85,17,3,1
20734167,88,17,3,1
20750066,88,17,3,0
20750106,87,17,3,0
20750126,85,17,3,0
20755567,88,17,3,1
20755627,85,17,3,1
20755687,87,17,3,1
20771546,88,17,3,0
20771606,85,17,3,0
20771666,87,17,3,0
20777087,88,17,3,1
20777147,85,17,3,1
20777187,87,17,3,1
20793126,85,17,3,0
20793146,88,17,3,0
20793186,87,17,3,0
20798687,85,17,3,1
20798707,88,17,3,1
20798747,87,17,3,1
20814006,88,17,3,0
20814706,85,17,3,0
20814766,87,17,3,0
20819687,88,17,3,1
20820287,87,17,3,1
20820287,85,17,3,1
20826026,88,17,3,0
20836266,87,17,3,0
20836286,85,17,3,0
20841987,87,17,3,1
20842007,85,17,3,1
20857806,87,17,3,0
20857826,85,17,3,0
20863607,85,17,3,1
20863607,87,17,3,1
20879386,85,17,3,0
20879446,87,17,3,0
20885227,85,17,3,1
20885287,87,17,3,1
20901206,85,17,3,0
20901266,87,17,3,0
20907047,85,17,3,1
20907087,87,17,3,1
20922786,87,17,3,0
20922806,85,17,3,0
20928707,85,17,3,1
20928707,87,17,3,1
20942126,85,17,3,0
20942166,87,17,3,0
20947907,85,17,3,1
20947927,87,17,3,1
20958826,85,17,3,0
20961506,87,17,3,0
20967367,87,17,3,1
20981126,87,17,3,0
20987307,87,17,3,1
21000966,87,17,3,0
21007147,87,17,3,1
21020826,87,17,3,0
21026967,87,17,3,1
21040486,87,17,3,0
21046627,87,17,3,1
21060346,87,17,3,0
21066527,87,17,3,1
21080226,87,17,3,0
21086347,87,17,3,1
21099746,87,17,3,0
21105887,87,17,3,1
21119586,87,17,3,0
21125687,87,17,3,1
21139226,87,17,3,0
21145367,87,17,3,1
21158946,87,17,3,0
21165047,87,17,3,1
21178566,87,17,3,0
21184727,87,17,3,1
21198406,87,17,3,0
21204527,87,17,3,1
21218086,87,17,3,0
21224227,87,17,3,1
21236586,87,17,3,0
21242607,87,17,3,1
21253846,87,17,3,0
21260007,87,17,3,1
21271646,87,17,3,0
21277887,87,17,3,1
21289606,87,17,3,0
21295907,87,17,3,1
21307666,87,17,3,0
21313927,87,17,3,1
21325466,87,17,3,0
21331827,87,17,3,1
21342986,87,17,3,0
21349147,87,17,3,1
21358426,87,17,3,0
21364587,87,17,3,1
21373286,87,17,3,0
21379707,87,17,3,1
21388346,87,17,3,0
21394747,87,17,3,1
21403446,87,17,3,0
21409847,87,17,3,1
21418466,87,17,3,0
21424827,87,17,3,1
21433526,87,17,3,0
21439947,87,17,3,1
21448666,87,17,3,0
21455007,87,17,3,1
21463586,87,17,3,0
21469967,87,17,3,1
21478726,87,17,3,0
21485067,87,17,3,1
21493726,87,17,3,0
21500107,87,17,3,1
21508766,87,17,3,0
21515087,87,17,3,1
21521726,87,17,3,0
22754530,88,17,3,1
22754550,86,17,3,1
22754550,85,17,3,1
22754550,87,17,3,1
22770901,88,17,3,0
22770921,86,17,3,0
22770941,85,17,3,0
22770961,87,17,3,0
22776322,88,17,3,1
22776342,85,17,3,1
22776342,86,17,3,1
22776362,87,17,3,1
22792681,85,17,3,0
22792701,87,17,3,0
22792721,88,17,3,0
22792741,86,17,3,0
22798082,85,17,3,1
