scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
pv400g_16m_dcqn,dcqcn,2,4,0b000301-0b004001-10000-3,3,64,16777216,0.020000000,0.039705379,0.019705379,16777216,1,6811222864.579,0,0
pv400g_16m_dcqn,dcqcn,2,53,0b003401-0b004001-10000-3,52,64,16777216,0.020000000,0.041126417,0.021126417,16777216,1,6353075772.385,0,0
pv400g_16m_dcqn,dcqcn,2,22,0b001501-0b004001-10000-3,21,64,16777216,0.020000000,0.041128800,0.021128800,16777216,1,6352359244.254,0,0
pv400g_16m_dcqn,dcqcn,2,64,0b003f01-0b004001-10000-3,63,64,16777216,0.020000000,0.041194346,0.021194346,16777216,1,6332713828.490,0,0
pv400g_16m_dcqn,dcqcn,2,52,0b003301-0b004001-10000-3,51,64,16777216,0.020000000,0.041334734,0.021334734,16777216,1,6291042953.711,0,0
pv400g_16m_dcqn,dcqcn,2,49,0b003001-0b004001-10000-3,48,64,16777216,0.020000000,0.041444103,0.021444103,16777216,1,6258957439.255,0,0
pv400g_16m_dcqn,dcqcn,2,1,0b000001-0b004001-10000-3,0,64,16777216,0.020000000,0.041785781,0.021785781,16777216,1,6160794878.090,0,0
pv400g_16m_dcqn,dcqcn,2,57,0b003801-0b004001-10000-3,56,64,16777216,0.020000000,0.041791123,0.021791123,16777216,1,6159284585.746,0,0
pv400g_16m_dcqn,dcqcn,2,33,0b002001-0b004001-10000-3,32,64,16777216,0.020000000,0.041921634,0.021921634,16777216,1,6122615129.876,0,0
pv400g_16m_dcqn,dcqcn,2,41,0b002801-0b004001-10000-3,40,64,16777216,0.020000000,0.042101770,0.022101770,16777216,1,6072713995.304,0,0
pv400g_16m_dcqn,dcqcn,2,21,0b001401-0b004001-10000-3,20,64,16777216,0.020000000,0.042104743,0.022104743,16777216,1,6071897239.430,0,0
pv400g_16m_dcqn,dcqcn,2,42,0b002901-0b004001-10000-3,41,64,16777216,0.020000000,0.042219552,0.022219552,16777216,1,6040523589.314,0,0
pv400g_16m_dcqn,dcqcn,2,43,0b002a01-0b004001-10000-3,42,64,16777216,0.020000000,0.042241707,0.022241707,16777216,1,6034506614.083,0,0
pv400g_16m_dcqn,dcqcn,2,63,0b003e01-0b004001-10000-3,62,64,16777216,0.020000000,0.042245026,0.022245026,16777216,1,6033606254.270,0,0
pv400g_16m_dcqn,dcqcn,2,36,0b002301-0b004001-10000-3,35,64,16777216,0.020000000,0.042317751,0.022317751,16777216,1,6013945043.118,0,0
pv400g_16m_dcqn,dcqcn,2,28,0b001b01-0b004001-10000-3,27,64,16777216,0.020000000,0.042352829,0.022352829,16777216,1,6004507438.410,0,0
pv400g_16m_dcqn,dcqcn,2,51,0b003201-0b004001-10000-3,50,64,16777216,0.020000000,0.042529836,0.022529836,16777216,1,5957332667.668,0,0
pv400g_16m_dcqn,dcqcn,2,17,0b001001-0b004001-10000-3,16,64,16777216,0.020000000,0.042672857,0.022672857,16777216,1,5919753650.808,0,0
pv400g_16m_dcqn,dcqcn,2,32,0b001f01-0b004001-10000-3,31,64,16777216,0.020000000,0.042825820,0.022825820,16777216,1,5880083519.453,0,0
pv400g_16m_dcqn,dcqcn,2,26,0b001901-0b004001-10000-3,25,64,16777216,0.020000000,0.042915663,0.022915663,16777216,1,5857030102.075,0,0
pv400g_16m_dcqn,dcqcn,2,35,0b002201-0b004001-10000-3,34,64,16777216,0.020000000,0.042927486,0.022927486,16777216,1,5854009811.630,0,0
pv400g_16m_dcqn,dcqcn,2,15,0b000e01-0b004001-10000-3,14,64,16777216,0.020000000,0.043005529,0.023005529,16777216,1,5834150912.157,0,0
pv400g_16m_dcqn,dcqcn,2,11,0b000a01-0b004001-10000-3,10,64,16777216,0.020000000,0.043020612,0.023020612,16777216,1,5830328403.085,0,0
pv400g_16m_dcqn,dcqcn,2,9,0b000801-0b004001-10000-3,8,64,16777216,0.020000000,0.043033815,0.023033815,16777216,1,5826986454.480,0,0
pv400g_16m_dcqn,dcqcn,2,19,0b001201-0b004001-10000-3,18,64,16777216,0.020000000,0.043051738,0.023051738,16777216,1,5822455903.325,0,0
pv400g_16m_dcqn,dcqcn,2,62,0b003d01-0b004001-10000-3,61,64,16777216,0.020000000,0.043173883,0.023173883,16777216,1,5791766878.257,0,0
pv400g_16m_dcqn,dcqcn,2,24,0b001701-0b004001-10000-3,23,64,16777216,0.020000000,0.043179901,0.023179901,16777216,1,5790263211.219,0,0
pv400g_16m_dcqn,dcqcn,2,13,0b000c01-0b004001-10000-3,12,64,16777216,0.020000000,0.043296451,0.023296451,16777216,1,5761295057.346,0,0
pv400g_16m_dcqn,dcqcn,2,34,0b002101-0b004001-10000-3,33,64,16777216,0.020000000,0.043366960,0.023366960,16777216,1,5743910547.200,0,0
pv400g_16m_dcqn,dcqcn,2,55,0b003601-0b004001-10000-3,54,64,16777216,0.020000000,0.043393928,0.023393928,16777216,1,5737289094.845,0,0
pv400g_16m_dcqn,dcqcn,2,7,0b000601-0b004001-10000-3,6,64,16777216,0.020000000,0.043398070,0.023398070,16777216,1,5736273461.871,0,0
pv400g_16m_dcqn,dcqcn,2,5,0b000401-0b004001-10000-3,4,64,16777216,0.020000000,0.043409735,0.023409735,16777216,1,5733415094.191,0,0
pv400g_16m_dcqn,dcqcn,2,20,0b001301-0b004001-10000-3,19,64,16777216,0.020000000,0.043443195,0.023443195,16777216,1,5725231906.317,0,0
pv400g_16m_dcqn,dcqcn,2,47,0b002e01-0b004001-10000-3,46,64,16777216,0.020000000,0.043488892,0.023488892,16777216,1,5714093623.488,0,0
pv400g_16m_dcqn,dcqcn,2,44,0b002b01-0b004001-10000-3,43,64,16777216,0.020000000,0.043521821,0.023521821,16777216,1,5706094268.807,0,0
pv400g_16m_dcqn,dcqcn,2,16,0b000f01-0b004001-10000-3,15,64,16777216,0.020000000,0.043758127,0.023758127,16777216,1,5649339613.346,0,0
pv400g_16m_dcqn,dcqcn,2,54,0b003501-0b004001-10000-3,53,64,16777216,0.020000000,0.043866505,0.023866505,16777216,1,5623685914.632,0,0
pv400g_16m_dcqn,dcqcn,2,27,0b001a01-0b004001-10000-3,26,64,16777216,0.020000000,0.043878150,0.023878150,16777216,1,5620943331.037,0,0
pv400g_16m_dcqn,dcqcn,2,45,0b002c01-0b004001-10000-3,44,64,16777216,0.020000000,0.043891395,0.023891395,16777216,1,5617827171.666,0,0
pv400g_16m_dcqn,dcqcn,2,25,0b001801-0b004001-10000-3,24,64,16777216,0.020000000,0.044135438,0.024135438,16777216,1,5561023089.782,0,0
pv400g_16m_dcqn,dcqcn,2,60,0b003b01-0b004001-10000-3,59,64,16777216,0.020000000,0.044154401,0.024154401,16777216,1,5556657273.347,0,0
pv400g_16m_dcqn,dcqcn,2,2,0b000101-0b004001-10000-3,1,64,16777216,0.020000000,0.044157704,0.024157704,16777216,1,5555897530.659,0,0
pv400g_16m_dcqn,dcqcn,2,3,0b000201-0b004001-10000-3,2,64,16777216,0.020000000,0.044157907,0.024157907,16777216,1,5555850844.198,0,0
pv400g_16m_dcqn,dcqcn,2,37,0b002401-0b004001-10000-3,36,64,16777216,0.020000000,0.044167130,0.024167130,16777216,1,5553730542.270,0,0
pv400g_16m_dcqn,dcqcn,2,12,0b000b01-0b004001-10000-3,11,64,16777216,0.020000000,0.044195114,0.024195114,16777216,1,5547307113.329,0,0
pv400g_16m_dcqn,dcqcn,2,46,0b002d01-0b004001-10000-3,45,64,16777216,0.020000000,0.044197712,0.024197712,16777216,1,5546711523.800,0,0
