scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
pv400g_16m_dcqs,dcqcn,2,62,61,64,16777216,14999999,20000000,39151544,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,4,3,64,16777216,14999999,20000000,39189818,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,16,15,64,16777216,14999999,20000000,40042616,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,43,42,64,16777216,14999999,20000000,40098699,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,39,38,64,16777216,14999999,20000000,40511902,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,42,41,64,16777216,14999999,20000000,40805469,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,25,24,64,16777216,14999999,20000000,40938447,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,55,54,64,16777216,14999999,20000000,40942284,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,17,16,64,16777216,14999999,20000000,40982535,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,40,39,64,16777216,14999999,20000000,41064405,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,19,18,64,16777216,14999999,20000000,41210180,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,1,0,64,16777216,14999999,20000000,41240880,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,38,37,64,16777216,14999999,20000000,41819876,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,33,32,64,16777216,14999999,20000000,41870272,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,57,56,64,16777216,14999999,20000000,42022493,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,30,29,64,16777216,14999999,20000000,42029468,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,59,58,64,16777216,14999999,20000000,42465023,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,35,34,64,16777216,14999999,20000000,42606946,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,49,48,64,16777216,14999999,20000000,42788658,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,47,46,64,16777216,14999999,20000000,42820505,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,29,28,64,16777216,14999999,20000000,42844452,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,61,60,64,16777216,14999999,20000000,42921997,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,3,2,64,16777216,14999999,20000000,43039779,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,50,49,64,16777216,14999999,20000000,43055229,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,37,36,64,16777216,14999999,20000000,43076411,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,60,59,64,16777216,14999999,20000000,43138376,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,45,44,64,16777216,14999999,20000000,43199122,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,9,8,64,16777216,14999999,20000000,43363820,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,58,57,64,16777216,14999999,20000000,43520725,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,32,31,64,16777216,14999999,20000000,43576009,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,48,47,64,16777216,14999999,20000000,43708786,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,52,51,64,16777216,14999999,20000000,43958479,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,31,30,64,16777216,14999999,20000000,44078995,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,10,9,64,16777216,14999999,20000000,44088160,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,21,20,64,16777216,14999999,20000000,44107758,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,24,23,64,16777216,14999999,20000000,44180402,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,46,45,64,16777216,14999999,20000000,44200531,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,44,43,64,16777216,14999999,20000000,44544250,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,54,53,64,16777216,14999999,20000000,44562724,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,34,33,64,16777216,14999999,20000000,44611313,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,12,11,64,16777216,14999999,20000000,44629411,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,22,21,64,16777216,14999999,20000000,44879496,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,13,12,64,16777216,14999999,20000000,44968075,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,56,55,64,16777216,14999999,20000000,44991716,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,28,27,64,16777216,14999999,20000000,45042932,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,2,1,64,16777216,14999999,20000000,45140919,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,5,4,64,16777216,14999999,20000000,45162279,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,18,17,64,16777216,14999999,20000000,45167137,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,6,5,64,16777216,14999999,20000000,45230883,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,64,63,64,16777216,14999999,20000000,45356379,0,20000000,16777216
pv400g_16m_dcqs,dcqcn,2,51,50,64,16777216,14999999,20000000,45370169,0,20000000,16777216
