scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
pv400g_16m_dcqs,dcqcn,2,0,0b004101-0b004001-10000-3,0,0,1,0.010000000,0.000000000,0.000000000,0.000000000,3223783276,400000000000,4000000000,12734932666,0,0.000000000,0,22455000,0,3223783276,3380,1.000000000,1.000000000,0,0
pv400g_16m_dcqs,dcqcn,2,1,0b000001-0b004001-10000-3,0,1,64,0.020000000,0.041228853,0.041240880,0.021240880,16777216,400000000000,4000000000,7640942892,0,0.000000000,0,22455000,0,16777216,3963,1.000000000,0.360502883,0,8
pv400g_16m_dcqs,dcqcn,2,2,0b000101-0b004001-10000-3,0,1,64,0.020000000,0.045128903,0.045140919,0.025140919,16777216,400000000000,4000000000,7224495700,0,0.000000000,0,22455000,0,16777216,3611,1.000000000,0.269299497,0,21
pv400g_16m_dcqs,dcqcn,2,3,0b000201-0b004001-10000-3,0,1,64,0.020000000,0.043027763,0.043039779,0.023039779,16777216,400000000000,4000000000,8313541241,0,0.000000000,0,22455000,0,16777216,3656,1.000000000,0.304423101,0,23
pv400g_16m_dcqs,dcqcn,2,4,0b000301-0b004001-10000-3,0,1,64,0.020000000,0.039177698,0.039189818,0.019189818,16777216,400000000000,4000000000,7391024545,0,0.000000000,0,22455000,0,16777216,3998,1.000000000,0.411122690,0,1
pv400g_16m_dcqs,dcqcn,2,5,0b000401-0b004001-10000-3,0,1,64,0.020000000,0.045150263,0.045162279,0.025162279,16777216,400000000000,4000000000,7930795362,0,0.000000000,0,22455000,0,16777216,3459,1.000000000,0.265297782,0,24
pv400g_16m_dcqs,dcqcn,2,6,0b000501-0b004001-10000-3,0,1,64,0.020000000,0.045218867,0.045230883,0.025230883,16777216,400000000000,4000000000,7580307009,0,0.000000000,0,22455000,0,16777216,3841,1.000000000,0.261664374,0,30
pv400g_16m_dcqs,dcqcn,2,7,0b000601-0b004001-10000-3,0,1,64,0.020000000,0.045493963,0.045505979,0.025505979,16777216,400000000000,4000000000,7514237034,0,0.000000000,0,22455000,0,16777216,3540,1.000000000,0.255637023,0,22
pv400g_16m_dcqs,dcqcn,2,8,0b000701-0b004001-10000-3,0,1,64,0.020000000,0.045641649,0.045653682,0.025653682,16777216,400000000000,4000000000,7722506516,0,0.000000000,0,22455000,0,16777216,3648,1.000000000,0.255630122,0,32
pv400g_16m_dcqs,dcqcn,2,9,0b000801-0b004001-10000-3,0,1,64,0.020000000,0.043351779,0.043363820,0.023363820,16777216,400000000000,4000000000,7888655669,0,0.000000000,0,22455000,0,16777216,3825,1.000000000,0.301626894,0,24
