scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
pv400g_1m_cbap,cbap_sba,2,6,5,64,1048576,14999999,20005108,21067938,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,17,16,64,1048576,14999999,20005347,21068007,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,18,17,64,1048576,14999999,20005369,21068036,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,19,18,64,1048576,14999999,20005391,21068085,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,21,20,64,1048576,14999999,20005434,21068094,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,61,60,64,1048576,14999999,20006304,21068163,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,13,12,64,1048576,14999999,20005260,21074572,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,26,25,64,1048576,14999999,20005543,21080881,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,11,10,64,1048576,14999999,20005217,21177160,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,15,14,64,1048576,14999999,20005304,21183895,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,58,57,64,1048576,14999999,20006238,21185993,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,35,34,64,1048576,14999999,20005738,21217054,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,37,36,64,1048576,14999999,20005782,21229081,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,10,9,64,1048576,14999999,20005195,21260040,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,24,23,64,1048576,14999999,20005499,21263053,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,63,62,64,1048576,14999999,20006347,21263824,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,34,33,64,1048576,14999999,20005717,21284082,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,12,11,64,1048576,14999999,20005239,21284551,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,27,26,64,1048576,14999999,20005565,21320325,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,3,2,64,1048576,14999999,20005043,21323624,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,62,61,64,1048576,14999999,20006325,21327012,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,32,31,64,1048576,14999999,20005673,21353762,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,42,41,64,1048576,14999999,20005891,21359974,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,49,48,64,1048576,14999999,20006043,21367856,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,59,58,64,1048576,14999999,20006260,21371736,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,8,7,64,1048576,14999999,20005152,21390524,20000000,20005000,1048576
pv400g_1m_cbap,cbap_sba,2,38,37,64,1048576,14999999,20005804,21402857,20000000,20005000,1048576
