scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
pv400g_1m_hpcc,hpcc,2,0,0b004101-0b004001-10000-3,0,0,1,0.010000000,0.000000000,0.000000000,0.000000000,2018361454,400000000000,4000000000,320000000000,0,0.000004046,0,22530124,0,2018361454,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,1,0b000001-0b004001-10000-3,0,1,64,0.020000000,0.021025410,0.021520088,0.001520088,1048576,400000000000,4000000000,12836040227,0,0.000012097,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,2,0b000101-0b004001-10000-3,0,1,64,0.020000000,0.021025662,0.021520108,0.001520108,1048576,400000000000,4000000000,14477141244,0,0.000013105,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,3,0b000201-0b004001-10000-3,0,1,64,0.020000000,0.021025830,0.021520128,0.001520128,1048576,400000000000,4000000000,14790389304,0,0.000014113,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,4,0b000301-0b004001-10000-3,0,1,64,0.020000000,0.020418762,0.021118219,0.001118219,1048576,400000000000,5718190701,10667623491,0,0.000012118,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,5,0b000401-0b004001-10000-3,0,1,64,0.020000000,0.020764065,0.021499997,0.001499997,1048576,400000000000,4000000000,13738087347,0,0.000012202,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,6,0b000501-0b004001-10000-3,0,1,64,0.020000000,0.020689977,0.021377483,0.001377483,1048576,400000000000,7016379985,9794904496,0,0.000012139,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,7,0b000601-0b004001-10000-3,0,1,64,0.020000000,0.020690397,0.021377617,0.001377617,1048576,400000000000,7063049500,11797128329,0,0.000013147,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,8,0b000701-0b004001-10000-3,0,1,64,0.020000000,0.020764737,0.021500099,0.001500099,1048576,400000000000,4000000000,5735637883,0,0.000013210,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,9,0b000801-0b004001-10000-3,0,1,64,0.020000000,0.020458053,0.021299230,0.001299230,1048576,400000000000,4000000000,8533178567,0,0.000012160,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,10,0b000901-0b004001-10000-3,0,1,64,0.020000000,0.020418846,0.021118229,0.001118229,1048576,400000000000,5813989957,10832828113,0,0.000012223,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,11,0b000a01-0b004001-10000-3,0,1,64,0.020000000,0.020764149,0.021500007,0.001500007,1048576,400000000000,4000000000,12133169949,0,0.000012307,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,12,0b000b01-0b004001-10000-3,0,1,64,0.020000000,0.020764821,0.021500109,0.001500109,1048576,400000000000,4000000000,5777896129,0,0.000013315,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,13,0b000c01-0b004001-10000-3,0,1,64,0.020000000,0.020418867,0.021226196,0.001226196,1048576,400000000000,4000000000,8555257240,0,0.000012244,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,14,0b000d01-0b004001-10000-3,0,1,64,0.020000000,0.020764233,0.021500017,0.001500017,1048576,400000000000,4000000000,7831906297,0,0.000012412,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,15,0b000e01-0b004001-10000-3,0,1,64,0.020000000,0.020458137,0.021299240,0.001299240,1048576,400000000000,4000000000,8598061180,0,0.000012265,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,16,0b000f01-0b004001-10000-3,0,1,64,0.020000000,0.020764905,0.021500119,0.001500119,1048576,400000000000,4000000000,5770749841,0,0.000013420,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,17,0b001001-0b004001-10000-3,0,1,64,0.020000000,0.020719524,0.021404820,0.001404820,1048576,400000000000,5082942422,12077908714,0,0.000012370,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,18,0b001101-0b004001-10000-3,0,1,64,0.020000000,0.020720133,0.021404913,0.001404913,1048576,400000000000,5120540058,13309528539,0,0.000013483,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,19,0b001201-0b004001-10000-3,0,1,64,0.020000000,0.020690061,0.021377493,0.001377493,1048576,400000000000,6835672438,9127532518,0,0.000012349,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,20,0b001301-0b004001-10000-3,0,1,64,0.020000000,0.020690481,0.021377669,0.001377669,1048576,400000000000,6909628685,11232874962,0,0.000013357,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,21,0b001401-0b004001-10000-3,0,1,64,0.020000000,0.021025494,0.021520098,0.001520098,1048576,400000000000,4000000000,13398847314,0,0.000012496,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,22,0b001501-0b004001-10000-3,0,1,64,0.020000000,0.021025746,0.021520118,0.001520118,1048576,400000000000,4000000000,14780258329,0,0.000013504,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,23,0b001601-0b004001-10000-3,0,1,64,0.020000000,0.020418930,0.021118302,0.001118302,1048576,400000000000,5911998682,11378618723,0,0.000012328,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,24,0b001701-0b004001-10000-3,0,1,64,0.020000000,0.021025914,0.021520138,0.001520138,1048576,400000000000,4000000000,14800194769,0,0.000014512,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,25,0b001801-0b004001-10000-3,0,1,64,0.020000000,0.020719944,0.021404830,0.001404830,1048576,400000000000,5288743971,12148560020,0,0.000012475,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,26,0b001901-0b004001-10000-3,0,1,64,0.020000000,0.020690145,0.021377545,0.001377545,1048576,400000000000,6772880655,9426946953,0,0.000012454,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,27,0b001a01-0b004001-10000-3,0,1,64,0.020000000,0.020720217,0.021404944,0.001404944,1048576,400000000000,5127807421,13314132508,0,0.000013567,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,28,0b001b01-0b004001-10000-3,0,1,64,0.020000000,0.020690565,0.021377679,0.001377679,1048576,400000000000,6912857906,11234988645,0,0.000013462,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,29,0b001c01-0b004001-10000-3,0,1,64,0.020000000,0.020458389,0.021299418,0.001299418,1048576,400000000000,4000000000,8706355994,0,0.000012559,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,30,0b001d01-0b004001-10000-3,0,1,64,0.020000000,0.020419161,0.021413910,0.001413910,1048576,400000000000,4000000000,4000000000,0,0.000012601,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,31,0b001e01-0b004001-10000-3,0,1,64,0.020000000,0.020419119,0.021226374,0.001226374,1048576,400000000000,4000000000,8727027872,0,0.000012538,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,32,0b001f01-0b004001-10000-3,0,1,64,0.020000000,0.020419014,0.021118312,0.001118312,1048576,400000000000,6012702528,11809118930,0,0.000012433,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
pv400g_1m_hpcc,hpcc,2,33,0b002001-0b004001-10000-3,0,1,64,0.020000000,0.020458473,0.021299428,0.001299428,1048576,400000000000,4000000000,8774112011,0,0.000012664,0,22530124,0,1048576,0,1.000000000,1.000000000,0,0
