scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
pv400g_256k_cbap,cbap_sba,2,1,0,64,262144,14999999,20005000,20387597,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,2,1,64,262144,14999999,20005021,20387625,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,3,2,64,262144,14999999,20005043,20387633,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,4,3,64,262144,14999999,20005065,20387641,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,5,4,64,262144,14999999,20005086,20387649,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,6,5,64,262144,14999999,20005108,20387657,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,7,6,64,262144,14999999,20005130,20387665,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,8,7,64,262144,14999999,20005152,20387673,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,9,8,64,262144,14999999,20005173,20387681,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,10,9,64,262144,14999999,20005195,20387689,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,11,10,64,262144,14999999,20005217,20387697,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,12,11,64,262144,14999999,20005239,20387705,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,13,12,64,262144,14999999,20005260,20387713,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,14,13,64,262144,14999999,20005282,20387721,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,15,14,64,262144,14999999,20005304,20387729,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,16,15,64,262144,14999999,20005326,20387737,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,17,16,64,262144,14999999,20005347,20387745,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,18,17,64,262144,14999999,20005369,20387753,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,19,18,64,262144,14999999,20005391,20387761,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,20,19,64,262144,14999999,20005412,20387769,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,21,20,64,262144,14999999,20005434,20387777,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,22,21,64,262144,14999999,20005456,20387785,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,23,22,64,262144,14999999,20005478,20387793,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,24,23,64,262144,14999999,20005499,20387801,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,25,24,64,262144,14999999,20005521,20387809,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,26,25,64,262144,14999999,20005543,20387817,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,32,31,64,262144,14999999,20005673,20387825,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,30,29,64,262144,14999999,20005630,20387833,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,29,28,64,262144,14999999,20005608,20387841,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,31,30,64,262144,14999999,20005652,20387849,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,34,33,64,262144,14999999,20005717,20387857,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,33,32,64,262144,14999999,20005695,20387865,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,28,27,64,262144,14999999,20005586,20387873,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,27,26,64,262144,14999999,20005565,20387881,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,35,34,64,262144,14999999,20005738,20387889,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,36,35,64,262144,14999999,20005760,20387897,20000000,20005000,262144
pv400g_256k_cbap,cbap_sba,2,37,36,64,262144,14999999,20005782,20387905,20000000,20005000,262144
