scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
pv400g_256k_dcqs,dcqcn,2,30,29,64,262144,14999999,20000000,20245717,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,4,3,64,262144,14999999,20000000,20245725,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,13,12,64,262144,14999999,20000000,20245733,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,60,59,64,262144,14999999,20000000,20245741,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,10,9,64,262144,14999999,20000000,20245749,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,31,30,64,262144,14999999,20000000,20245757,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,23,22,64,262144,14999999,20000000,20245785,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,43,42,64,262144,14999999,20000000,20245793,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,32,31,64,262144,14999999,20000000,20245821,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,57,56,64,262144,14999999,20000000,20245829,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,34,33,64,262144,14999999,20000000,20245877,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,63,62,64,262144,14999999,20000000,20245885,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,37,36,64,262144,14999999,20000000,20245893,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,52,51,64,262144,14999999,20000000,20245921,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,59,58,64,262144,14999999,20000000,20245969,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,9,8,64,262144,14999999,20000000,20267777,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,15,14,64,262144,14999999,20000000,20267805,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,29,28,64,262144,14999999,20000000,20267853,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,33,32,64,262144,14999999,20000000,20267861,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,39,38,64,262144,14999999,20000000,20267909,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,58,57,64,262144,14999999,20000000,20267937,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,64,63,64,262144,14999999,20000000,20267965,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,45,44,64,262144,14999999,20000000,20290073,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,48,47,64,262144,14999999,20000000,20290141,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,41,40,64,262144,14999999,20000000,20312209,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,42,41,64,262144,14999999,20000000,20312257,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,44,43,64,262144,14999999,20000000,20312285,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,6,5,64,262144,14999999,20000000,20345213,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,19,18,64,262144,14999999,20000000,20345261,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,17,16,64,262144,14999999,20000000,20345269,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,26,25,64,262144,14999999,20000000,20345277,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,25,24,64,262144,14999999,20000000,20345285,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,35,34,64,262144,14999999,20000000,20345293,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,53,52,64,262144,14999999,20000000,20345321,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,38,37,64,262144,14999999,20000000,20345329,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,18,17,64,262144,14999999,20000000,20345337,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,7,6,64,262144,14999999,20000000,20345345,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,27,26,64,262144,14999999,20000000,20345373,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,20,19,64,262144,14999999,20000000,20345381,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,56,55,64,262144,14999999,20000000,20345389,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,28,27,64,262144,14999999,20000000,20345397,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,36,35,64,262144,14999999,20000000,20345405,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,40,39,64,262144,14999999,20000000,20345433,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,49,48,64,262144,14999999,20000000,20356481,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,50,49,64,262144,14999999,20000000,20356509,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,51,50,64,262144,14999999,20000000,20356517,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,5,4,64,262144,14999999,20000000,20367525,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,11,10,64,262144,14999999,20000000,20367553,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,14,13,64,262144,14999999,20000000,20367561,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,46,45,64,262144,14999999,20000000,20367569,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,54,53,64,262144,14999999,20000000,20367577,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,61,60,64,262144,14999999,20000000,20367585,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,8,7,64,262144,14999999,20000000,20367593,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,12,11,64,262144,14999999,20000000,20367601,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,16,15,64,262144,14999999,20000000,20367609,0,20000000,262144
pv400g_256k_dcqs,dcqcn,2,47,46,64,262144,14999999,20000000,20367617,0,20000000,262144
