scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
pv400g_4m_cbap0,cbap_sba,2,1,0,64,4194304,14999999,20005000,25713745,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,2,1,64,4194304,14999999,20005021,25713761,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,3,2,64,4194304,14999999,20005043,25713777,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,4,3,64,4194304,14999999,20005065,25713793,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,5,4,64,4194304,14999999,20005086,25713809,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,6,5,64,4194304,14999999,20005108,25713825,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,7,6,64,4194304,14999999,20005130,25713841,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,8,7,64,4194304,14999999,20005152,25713877,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,9,8,64,4194304,14999999,20005173,25713893,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,10,9,64,4194304,14999999,20005195,25713909,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,11,10,64,4194304,14999999,20005217,25713925,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,12,11,64,4194304,14999999,20005239,25713941,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,13,12,64,4194304,14999999,20005260,25713957,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,14,13,64,4194304,14999999,20005282,25713973,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,15,14,64,4194304,14999999,20005304,25713989,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,16,15,64,4194304,14999999,20005326,25714005,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,17,16,64,4194304,14999999,20005347,25714021,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,18,17,64,4194304,14999999,20005369,25714037,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,19,18,64,4194304,14999999,20005391,25714053,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,20,19,64,4194304,14999999,20005412,25714069,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,21,20,64,4194304,14999999,20005434,25714085,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,23,22,64,4194304,14999999,20005478,25714101,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,25,24,64,4194304,14999999,20005521,25714117,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,26,25,64,4194304,14999999,20005543,25714133,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,30,29,64,4194304,14999999,20005630,25714149,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,32,31,64,4194304,14999999,20005673,25714165,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,29,28,64,4194304,14999999,20005608,25714181,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,28,27,64,4194304,14999999,20005586,25714197,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,22,21,64,4194304,14999999,20005456,25714213,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,34,33,64,4194304,14999999,20005717,25714229,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,27,26,64,4194304,14999999,20005565,25714245,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,24,23,64,4194304,14999999,20005499,25714261,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,35,34,64,4194304,14999999,20005738,25714277,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,36,35,64,4194304,14999999,20005760,25714293,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,37,36,64,4194304,14999999,20005782,25714309,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,38,37,64,4194304,14999999,20005804,25714325,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,39,38,64,4194304,14999999,20005825,25714341,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,42,41,64,4194304,14999999,20005891,25714357,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,46,45,64,4194304,14999999,20005978,25714373,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,57,56,64,4194304,14999999,20006217,25714389,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,49,48,64,4194304,14999999,20006043,25714405,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,45,44,64,4194304,14999999,20005956,25714421,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,54,53,64,4194304,14999999,20006151,25714437,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,63,62,64,4194304,14999999,20006347,25714453,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,53,52,64,4194304,14999999,20006130,25714469,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,52,51,64,4194304,14999999,20006108,25714485,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,60,59,64,4194304,14999999,20006282,25714501,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,40,39,64,4194304,14999999,20005847,25714517,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,58,57,64,4194304,14999999,20006238,25714533,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,59,58,64,4194304,14999999,20006260,25714549,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,61,60,64,4194304,14999999,20006304,25714565,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,64,63,64,4194304,14999999,20006369,25714581,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,44,43,64,4194304,14999999,20005934,25714597,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,47,46,64,4194304,14999999,20005999,25714613,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,50,49,64,4194304,14999999,20006064,25714629,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,48,47,64,4194304,14999999,20006021,25714645,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,55,54,64,4194304,14999999,20006173,25714661,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,56,55,64,4194304,14999999,20006195,25714677,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,62,61,64,4194304,14999999,20006325,25714693,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,51,50,64,4194304,14999999,20006086,25714709,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,33,32,64,4194304,14999999,20005695,25740200,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,43,42,64,4194304,14999999,20005912,25741652,20000000,20005000,4194304
pv400g_4m_cbap0,cbap_sba,2,41,40,64,4194304,14999999,20005869,25741952,20000000,20005000,4194304
