scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
pv400g_4m_dcqn_b32,dcqcn,2,31,0b001e01-0b004001-10000-3,30,64,4194304,0.020000000,0.025345469,0.005345469,4194304,1,6277172685.877,0,0
pv400g_4m_dcqn_b32,dcqcn,2,1,0b000001-0b004001-10000-3,0,64,4194304,0.020000000,0.025419345,0.005419345,4194304,1,6191602859.755,0,0
pv400g_4m_dcqn_b32,dcqcn,2,55,0b003601-0b004001-10000-3,54,64,4194304,0.020000000,0.025451821,0.005451821,4194304,1,6154720046.751,0,0
pv400g_4m_dcqn_b32,dcqcn,2,48,0b002f01-0b004001-10000-3,47,64,4194304,0.020000000,0.025464417,0.005464417,4194304,1,6140532832.688,0,0
pv400g_4m_dcqn_b32,dcqcn,2,34,0b002101-0b004001-10000-3,33,64,4194304,0.020000000,0.025473853,0.005473853,4194304,1,6129947589.020,0,0
pv400g_4m_dcqn_b32,dcqcn,2,20,0b001301-0b004001-10000-3,19,64,4194304,0.020000000,0.025563869,0.005563869,4194304,1,6030773190.382,0,0
pv400g_4m_dcqn_b32,dcqcn,2,56,0b003701-0b004001-10000-3,55,64,4194304,0.020000000,0.025602365,0.005602365,4194304,1,5989333433.291,0,0
pv400g_4m_dcqn_b32,dcqcn,2,5,0b000401-0b004001-10000-3,4,64,4194304,0.020000000,0.025621761,0.005621761,4194304,1,5968669247.946,0,0
pv400g_4m_dcqn_b32,dcqcn,2,13,0b000c01-0b004001-10000-3,12,64,4194304,0.020000000,0.025643469,0.005643469,4194304,1,5945710342.344,0,0
pv400g_4m_dcqn_b32,dcqcn,2,63,0b003e01-0b004001-10000-3,62,64,4194304,0.020000000,0.025649169,0.005649169,4194304,1,5939711132.735,0,0
pv400g_4m_dcqn_b32,dcqcn,2,54,0b003501-0b004001-10000-3,53,64,4194304,0.020000000,0.025660895,0.005660895,4194304,1,5927407591.909,0,0
pv400g_4m_dcqn_b32,dcqcn,2,53,0b003401-0b004001-10000-3,52,64,4194304,0.020000000,0.025705246,0.005705246,4194304,1,5881329569.312,0,0
pv400g_4m_dcqn_b32,dcqcn,2,45,0b002c01-0b004001-10000-3,44,64,4194304,0.020000000,0.025747286,0.005747286,4194304,1,5838309073.187,0,0
pv400g_4m_dcqn_b32,dcqcn,2,4,0b000301-0b004001-10000-3,3,64,4194304,0.020000000,0.025747545,0.005747545,4194304,1,5838045983.111,0,0
pv400g_4m_dcqn_b32,dcqcn,2,12,0b000b01-0b004001-10000-3,11,64,4194304,0.020000000,0.025763169,0.005763169,4194304,1,5822218990.975,0,0
pv400g_4m_dcqn_b32,dcqcn,2,52,0b003301-0b004001-10000-3,51,64,4194304,0.020000000,0.025801266,0.005801266,4194304,1,5783984392.372,0,0
pv400g_4m_dcqn_b32,dcqcn,2,7,0b000601-0b004001-10000-3,6,64,4194304,0.020000000,0.025829214,0.005829214,4194304,1,5756253244.434,0,0
pv400g_4m_dcqn_b32,dcqcn,2,46,0b002d01-0b004001-10000-3,45,64,4194304,0.020000000,0.025830605,0.005830605,4194304,1,5754879982.438,0,0
pv400g_4m_dcqn_b32,dcqcn,2,35,0b002201-0b004001-10000-3,34,64,4194304,0.020000000,0.025846765,0.005846765,4194304,1,5738973945.421,0,0
pv400g_4m_dcqn_b32,dcqcn,2,9,0b000801-0b004001-10000-3,8,64,4194304,0.020000000,0.025858462,0.005858462,4194304,1,5727515515.164,0,0
pv400g_4m_dcqn_b32,dcqcn,2,36,0b002301-0b004001-10000-3,35,64,4194304,0.020000000,0.025859137,0.005859137,4194304,1,5726855678.575,0,0
