scenario,algorithm,seed,flow_id,qp_id,round_id,round_group_id,participant_count,release_time,injection_end_time,ack_completion_time,round_completion_time,round_bytes,start_rate,minimum_rate,end_rate,next_round_start_rate,feedback_loop_delay,first_feedback_after_injection,selected_link_peak_queue,round_start_seq,round_end_seq,cnp_count,dcqcn_start_alpha,dcqcn_end_alpha,dcqcn_start_recovery_stage,dcqcn_end_recovery_stage
pv400g_4m_dcqn_b8,dcqcn,2,0,0b004101-0b004001-10000-3,0,0,1,0.010000000,0.000000000,0.000000000,0.000000000,2259445819,400000000000,4000000000,186750000000,0,0.000000000,0,2855000,0,2259445819,2925,1.000000000,1.000000000,0,0
pv400g_4m_dcqn_b8,dcqcn,2,1,0b000001-0b004001-10000-3,0,1,64,0.020000000,0.026109064,0.026190983,0.006190983,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,2855000,0,4194304,2499,1.000000000,0.874336922,0,0
pv400g_4m_dcqn_b8,dcqcn,2,2,0b000101-0b004001-10000-3,0,1,64,0.020000000,0.026563443,0.026575511,0.006575511,4194304,400000000000,4000000000,16375000000,0,0.000000000,0,2855000,0,4194304,2343,1.000000000,0.853338386,0,1
pv400g_4m_dcqn_b8,dcqcn,2,3,0b000201-0b004001-10000-3,0,1,64,0.020000000,0.026277630,0.026289698,0.006289698,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,2855000,0,4194304,2580,1.000000000,0.877521067,0,0
pv400g_4m_dcqn_b8,dcqcn,2,4,0b000301-0b004001-10000-3,0,1,64,0.020000000,0.025476089,0.025539177,0.005539177,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,2855000,0,4194304,2879,1.000000000,0.922547860,0,0
pv400g_4m_dcqn_b8,dcqcn,2,5,0b000401-0b004001-10000-3,0,1,64,0.020000000,0.025767212,0.025793129,0.005793129,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,2855000,0,4194304,3183,1.000000000,0.891735034,0,0
pv400g_4m_dcqn_b8,dcqcn,2,6,0b000501-0b004001-10000-3,0,1,64,0.020000000,0.026593216,0.026605292,0.006605292,4194304,400000000000,4000000000,10187500000,0,0.000000000,0,2855000,0,4194304,2704,1.000000000,0.875090505,0,1
pv400g_4m_dcqn_b8,dcqcn,2,7,0b000601-0b004001-10000-3,0,1,64,0.020000000,0.026184272,0.026201095,0.006201095,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,2855000,0,4194304,2944,1.000000000,0.899397065,0,0
pv400g_4m_dcqn_b8,dcqcn,2,8,0b000701-0b004001-10000-3,0,1,64,0.020000000,0.026106336,0.026186051,0.006186051,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,2855000,0,4194304,2957,1.000000000,0.875590827,0,0
pv400g_4m_dcqn_b8,dcqcn,2,9,0b000801-0b004001-10000-3,0,1,64,0.020000000,0.025874921,0.025886989,0.005886989,4194304,400000000000,4000000000,4000000000,0,0.000000000,0,2855000,0,4194304,3096,1.000000000,0.917825610,0,0
