scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
pv400g_4m_hpcc,hpcc,2,23,22,64,4194304,14999999,20000000,25714203,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,34,33,64,4194304,14999999,20000000,25715589,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,52,51,64,4194304,14999999,20000000,25720837,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,10,9,64,4194304,14999999,20000000,25745843,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,32,31,64,4194304,14999999,20000000,25750574,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,37,36,64,4194304,14999999,20000000,25751992,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,59,58,64,4194304,14999999,20000000,25759412,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,4,3,64,4194304,14999999,20000000,25759870,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,44,43,64,4194304,14999999,20000000,25809800,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,42,41,64,4194304,14999999,20000000,25809985,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,48,47,64,4194304,14999999,20000000,25816131,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,41,40,64,4194304,14999999,20000000,25834780,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,36,35,64,4194304,14999999,20000000,25900624,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,38,37,64,4194304,14999999,20000000,25905788,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,45,44,64,4194304,14999999,20000000,25930018,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,26,25,64,4194304,14999999,20000000,25933599,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,19,18,64,4194304,14999999,20000000,25934295,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,40,39,64,4194304,14999999,20000000,25937827,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,20,19,64,4194304,14999999,20000000,25945549,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,28,27,64,4194304,14999999,20000000,25955085,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,35,34,64,4194304,14999999,20000000,25955673,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,7,6,64,4194304,14999999,20000000,25981117,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,31,30,64,4194304,14999999,20000000,25993766,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,6,5,64,4194304,14999999,20000000,25995256,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,13,12,64,4194304,14999999,20000000,25998833,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,43,42,64,4194304,14999999,20000000,26010127,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,63,62,64,4194304,14999999,20000000,26029242,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,57,56,64,4194304,14999999,20000000,26038800,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,17,16,64,4194304,14999999,20000000,26042620,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,39,38,64,4194304,14999999,20000000,26045913,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,15,14,64,4194304,14999999,20000000,26050942,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,29,28,64,4194304,14999999,20000000,26064170,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,56,55,64,4194304,14999999,20000000,26066870,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,27,26,64,4194304,14999999,20000000,26068885,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,58,57,64,4194304,14999999,20000000,26072656,0,20000000,4194304
pv400g_4m_hpcc,hpcc,2,25,24,64,4194304,14999999,20000000,26082056,0,20000000,4194304
