flow_id,round_id,total_feedback,int_hop_count,actionable_feedback,late_same_round_feedback,stale_older_round_feedback,feedback_during_off,live_rate_changes_during_off,first_feedback_time,last_feedback_time,mean_remaining_unsent_ratio,min_remaining_unsent_ratio,mean_remaining_unsent_bytes,min_remaining_unsent_bytes,max_normalized_load,mean_normalized_load,first_rate_before,last_rate_after,feedback_changed_live_rate,late_action_ratio,actionable_byte_ratio
0,0,920000,1,920000,0,0,0,0,0.010004046,0.039999998,0.806117389,0.612299816,1821378563.313,1383458259,5.715535995,0.854582918,400000000000,320000000000,3393,0.000000000,0.806117389
1,0,4406,3,4372,34,0,34,24,0.020012097,0.026291807,0.440082141,0.000000000,1845838.282,0,6.509391702,2.768535448,400000000000,25572174355,2977,0.005447118,0.440082141
2,0,4406,3,4371,35,0,35,1,0.020013105,0.026239279,0.438774035,0.000000000,1840351.690,0,6.491168612,2.786245333,400000000000,23646209967,3145,0.000226963,0.438774035
3,0,4406,3,4374,32,0,32,1,0.020014113,0.026250145,0.438844628,0.000000000,1840647.778,0,6.518271815,2.784766825,400000000000,21985880414,3130,0.000226963,0.438844628
4,0,4406,3,4396,10,0,10,1,0.020012118,0.025562888,0.444111311,0.000000000,1862737.850,0,6.502454416,3.761921092,400000000000,6306485368,2425,0.000226963,0.444111311
5,0,4406,3,4390,16,0,16,16,0.020012202,0.026149423,0.436103084,0.000000000,1829148.911,0,6.483424222,3.209782270,400000000000,15455020960,2579,0.003631412,0.436103084
6,0,4406,3,4392,14,0,14,1,0.020012139,0.026040611,0.445294704,0.000000000,1867701.360,0,6.511496666,3.354537711,400000000000,9054174957,2589,0.000226963,0.445294704
7,0,4406,3,4393,13,0,13,1,0.020013147,0.026024496,0.441644041,0.000000000,1852389.367,0,6.504359109,3.440300895,400000000000,8486255834,2580,0.000226963,0.441644041
8,0,4406,3,4384,22,0,22,1,0.020013210,0.026190339,0.436106449,0.000000000,1829163.023,0,6.513231917,3.206432417,400000000000,14594442001,2585,0.000226963,0.436106449
9,0,4406,3,4394,12,0,12,7,0.020012160,0.025756718,0.448261680,0.000000000,1880145.759,0,7.019993977,3.609838773,400000000000,8539216977,2517,0.001588743,0.448261680
10,0,4406,3,4396,10,0,10,10,0.020012223,0.025531840,0.439840626,0.000000000,1844825.298,0,6.504278186,3.813261194,400000000000,6234238735,2434,0.002269632,0.439840626
11,0,4406,3,4391,15,0,15,1,0.020012307,0.026131295,0.438539984,0.000000000,1839370.008,0,6.515057822,3.329903476,400000000000,9909590327,2578,0.000226963,0.438539984
12,0,4406,3,4391,15,0,15,1,0.020013315,0.026115799,0.438157434,0.000000000,1837765.480,0,6.498705559,3.339247419,400000000000,10046623931,2630,0.000226963,0.438157434
13,0,4406,3,4396,10,0,10,1,0.020012244,0.025565781,0.441869230,0.000000000,1853333.879,0,6.511268950,3.768738086,400000000000,6371336853,2449,0.000226963,0.441869230
14,0,4406,3,4385,21,0,21,2,0.020012412,0.026155775,0.437314152,0.000000000,1834228.498,0,6.498696351,3.257513249,400000000000,14911450435,2589,0.000453926,0.437314152
15,0,4406,3,4395,11,0,11,1,0.020012265,0.025623857,0.444194416,0.000000000,1863086.417,0,7.021821629,3.729372749,400000000000,6980974299,2488,0.000226963,0.444194416
16,0,4406,3,4385,21,0,21,2,0.020013420,0.026152514,0.436797716,0.000000000,1832062.406,0,6.516876544,3.268324771,400000000000,14554436446,2628,0.000453926,0.436797716
17,0,4406,3,4390,16,0,16,1,0.020012370,0.026127757,0.443807287,0.000000000,1861462.678,0,7.031480119,3.253284389,400000000000,10857435716,2625,0.000226963,0.443807287
18,0,4406,3,4392,14,0,14,1,0.020013483,0.026014786,0.441766967,0.000000000,1852904.955,0,6.999087533,3.294727895,400000000000,9348345207,2713,0.000226963,0.441766967
19,0,4406,3,4392,14,0,14,9,0.020012349,0.026076717,0.439900944,0.000000000,1845078.288,0,6.515142880,3.313356705,400000000000,10168741556,2615,0.002042669,0.439900944
20,0,4406,3,4392,14,0,14,4,0.020013357,0.026009220,0.439367198,0.000000000,1842839.597,0,6.500582918,3.323976577,400000000000,9130384409,2688,0.000907853,0.439367198
21,0,4406,3,4367,39,0,39,1,0.020012496,0.026309522,0.442501283,0.000000000,1855984.902,0,6.502049633,2.673076153,400000000000,27349321398,3043,0.000226963,0.442501283
22,0,4406,3,4373,33,0,33,1,0.020013504,0.026275058,0.442021303,0.000000000,1853971.720,0,6.525444646,2.686878470,400000000000,22652934267,3264,0.000226963,0.442021303
23,0,4406,3,4397,9,0,9,7,0.020012328,0.025613723,0.441705350,0.000000000,1852646.517,0,6.506107105,3.814604640,400000000000,6123957078,2396,0.001588743,0.441705350
24,0,4406,3,4372,34,0,34,27,0.020014512,0.026286412,0.442064123,0.000000000,1854151.321,0,6.507392566,2.686474527,400000000000,26181445784,3285,0.006128007,0.442064123
25,0,4406,3,4384,22,0,22,1,0.020012475,0.026173857,0.445130823,0.000000000,1867013.990,0,7.000956158,3.246105181,400000000000,14944471031,2617,0.000226963,0.445130823
26,0,4406,3,4391,15,0,15,1,0.020012454,0.026111401,0.442149991,0.000000000,1854511.475,0,6.498781409,3.319055829,400000000000,10203095343,2610,0.000226963,0.442149991
27,0,4406,3,4384,22,0,22,1,0.020013567,0.026167321,0.444893597,0.000000000,1866018.992,0,7.033312318,3.254713672,400000000000,14782374894,2645,0.000226963,0.444893597
28,0,4406,3,4390,16,0,16,14,0.020013462,0.026146167,0.441571593,0.000000000,1852085.500,0,6.516961602,3.328743865,400000000000,14904740912,2611,0.003177485,0.441571593
29,0,4406,3,4396,10,0,10,1,0.020012559,0.025649625,0.440302612,0.000000000,1846763.005,0,7.032993379,3.767592379,400000000000,6551762332,2441,0.000226963,0.440302612
30,0,4406,3,4395,11,0,11,1,0.020012601,0.025682713,0.439036542,0.000000000,1841452.724,0,6.518630561,3.788150798,400000000000,7123318923,2411,0.000226963,0.439036542
31,0,4406,3,4396,10,0,10,1,0.020012538,0.025552425,0.440705612,0.000000000,1848453.313,0,6.516847556,3.757570943,400000000000,6409651683,2477,0.000226963,0.440705612
