scenario,algorithm,seed,flow_id,qp_id,src,dst,total_size_bytes,start_time,finish_time,fct,acked_bytes,completed,flow_goodput,retx_bytes,retx_events
scrv2_d04_b020,cbap_sba,2,26,0b001901-0b004001-10000-3,25,64,4194304,0.020000000,0.023260109,0.003260109,4194304,1,10292426418.871,0,0
scrv2_d04_b020,cbap_sba,2,43,0b002a01-0b004001-10000-3,42,64,4194304,0.020000000,0.024372805,0.004372805,4194304,1,7673434328.766,0,0
scrv2_d04_b020,cbap_sba,2,27,0b001a01-0b004001-10000-3,26,64,4194304,0.020000000,0.024512641,0.004512641,4194304,1,7435652869.351,0,0
scrv2_d04_b020,cbap_sba,2,28,0b001b01-0b004001-10000-3,27,64,4194304,0.020000000,0.024712197,0.004712197,4194304,1,7120761716.881,0,0
scrv2_d04_b020,cbap_sba,2,62,0b003d01-0b004001-10000-3,61,64,4194304,0.020000000,0.024762473,0.004762473,4194304,1,7045589969.749,0,0
scrv2_d04_b020,cbap_sba,2,20,0b001301-0b004001-10000-3,19,64,4194304,0.020000000,0.024855449,0.004855449,4194304,1,6910675408.186,0,0
scrv2_d04_b020,cbap_sba,2,57,0b003801-0b004001-10000-3,56,64,4194304,0.020000000,0.024894345,0.004894345,4194304,1,6855755366.653,0,0
scrv2_d04_b020,cbap_sba,2,5,0b000401-0b004001-10000-3,4,64,4194304,0.020000000,0.024939661,0.004939661,4194304,1,6792861291.493,0,0
scrv2_d04_b020,cbap_sba,2,13,0b000c01-0b004001-10000-3,12,64,4194304,0.020000000,0.024948037,0.004948037,4194304,1,6781362386.740,0,0
scrv2_d04_b020,cbap_sba,2,8,0b000701-0b004001-10000-3,7,64,4194304,0.020000000,0.025050273,0.005050273,4194304,1,6644082805.029,0,0
scrv2_d04_b020,cbap_sba,2,21,0b001401-0b004001-10000-3,20,64,4194304,0.020000000,0.025092949,0.005092949,4194304,1,6588409190.824,0,0
scrv2_d04_b020,cbap_sba,2,12,0b000b01-0b004001-10000-3,11,64,4194304,0.020000000,0.025098085,0.005098085,4194304,1,6581771782.934,0,0
scrv2_d04_b020,cbap_sba,2,7,0b000601-0b004001-10000-3,6,64,4194304,0.020000000,0.025192361,0.005192361,4194304,1,6462268705.893,0,0
scrv2_d04_b020,cbap_sba,2,53,0b003401-0b004001-10000-3,52,64,4194304,0.020000000,0.025260517,0.005260517,4194304,1,6378542641.341,0,0
scrv2_d04_b020,cbap_sba,2,50,0b003101-0b004001-10000-3,49,64,4194304,0.020000000,0.025267473,0.005267473,4194304,1,6370119410.199,0,0
scrv2_d04_b020,cbap_sba,2,42,0b002901-0b004001-10000-3,41,64,4194304,0.020000000,0.025322069,0.005322069,4194304,1,6304772072.666,0,0
scrv2_d04_b020,cbap_sba,2,1,0b000001-0b004001-10000-3,0,64,4194304,0.020000000,0.025372825,0.005372825,4194304,1,6245212155.616,0,0
