scenario,algorithm,seed,flow_id,src,dst,total_size_bytes,app_start_ns,first_data_tx_ns,last_ack_ns,application_ready_ns,network_release_ns,acked_bytes
scrv2_d08_b040,cbap_sba,2,7,6,64,4194304,14999999,20005130,23938403,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,52,51,64,4194304,14999999,20006108,24209485,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,53,52,64,4194304,14999999,20006130,24335301,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,34,33,64,4194304,14999999,20005717,24515697,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,35,34,64,4194304,14999999,20005738,24516813,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,48,47,64,4194304,14999999,20006021,24531869,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,62,61,64,4194304,14999999,20006325,24642065,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,64,63,64,4194304,14999999,20006369,24700941,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,6,5,64,4194304,14999999,20005108,24754357,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,36,35,64,4194304,14999999,20005760,24868673,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,43,42,64,4194304,14999999,20005912,24884549,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,63,62,64,4194304,14999999,20006347,25121365,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,60,59,64,4194304,14999999,20006282,25361601,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,50,49,64,4194304,14999999,20006064,25365477,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,18,17,64,4194304,14999999,20005369,25381013,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,1,0,64,4194304,14999999,20005000,25381429,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,58,57,64,4194304,14999999,20006238,25407665,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,22,21,64,4194304,14999999,20005456,25407761,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,49,48,64,4194304,14999999,20006043,25418737,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,17,16,64,4194304,14999999,20005347,25437133,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,46,45,64,4194304,14999999,20005978,25459689,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,29,28,64,4194304,14999999,20005608,25483945,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,45,44,64,4194304,14999999,20005956,25485001,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,2,1,64,4194304,14999999,20005021,25512297,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,39,38,64,4194304,14999999,20005825,25520453,20000000,20005000,4194304
scrv2_d08_b040,cbap_sba,2,44,43,64,4194304,14999999,20005934,25524749,20000000,20005000,4194304
